concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,PAD (broad),dani_PAD_broad
316795,From initial search,Congenital anomaly of peripheral blood vessel,Condition,SNOMED,S,,F
761896,From initial search,Late effect of injury to peripheral blood vessel,Condition,SNOMED,S,x,F
40761363,From initial search,Ever told by doctor that you had claudication or peripheral arterial disease,Observation,LOINC,S,x,T
43021861,From initial search,Congenital peripheral pulmonary artery stenosis,Condition,SNOMED,S,,F
4076794,From initial search,Peripheral arteriovenous malformation,Condition,SNOMED,S,x,F
40761364,From initial search,Ever had angiography for claudication or peripheral arterial disease,Observation,LOINC,S,x,T
40761366,From initial search,Ever had surgery to improve blood flow in legs for claudication or peripheral arterial disease,Observation,LOINC,S,x,T
43021846,From initial search,Peripheral arterial insufficiency,Condition,SNOMED,S,x,T
4111847,From initial search,Peripheral artery spasm,Condition,SNOMED,S,,F
4117679,From initial search,Peripheral arterial embolism,Condition,SNOMED,S,x,T
21491680,From initial search,Peripheral vessels fluoroscopic angiogram performed,Observation,LOINC,S,x,F
3001048,From initial search,Peripheral artery measurement site,Observation,LOINC,S,,F
4354083,From initial search,Peripheral pulmonary artery disease,Condition,SNOMED,S,,F
43021868,From initial search,Aneurysm of peripheral artery,Condition,SNOMED,S,x,T
44806699,From initial search,Excepted from peripheral arterial disease quality indicators - patient unsuitable,Observation,SNOMED,S,?,F
44813087,From initial search,Referred for peripheral artery disease assessment,Observation,SNOMED,S,x,F
4108610,From initial search,Peripheral pulmonary artery A/V aneurysm,Condition,SNOMED,S,,F
37168346,From initial search,Acute occlusion of peripheral artery due to thrombosis,Condition,SNOMED,S,x,T
4354085,From initial search,Multiple peripheral pulmonary artery stenoses,Condition,SNOMED,S,,F
44806801,From initial search,Excepted from peripheral arterial disease quality indicators - informed dissent,Observation,SNOMED,S,x,F
44811093,From initial search,Education about peripheral arterial embolism care,Observation,SNOMED,S,x,F
4108739,From initial search,Peripheral pulmonary artery stenosis,Condition,SNOMED,S,,F
44806697,From initial search,Exception reporting - peripheral arterial disease quality indicators,Observation,SNOMED,S,x,F
317309,From initial search,Peripheral arterial occlusive disease,Condition,SNOMED,S,x,T
4270620,From initial search,Peripheral congenital arteriovenous aneurysm,Condition,SNOMED,S,,F
40761365,From initial search,Ever had angioplasty for claudication or peripheral arterial disease,Observation,LOINC,S,x,T
3654996,From initial search,Peripheral arterial disease,Condition,SNOMED,S,x,T
4354084,From initial search,Peripheral pulmonary artery pruning,Condition,SNOMED,S,,F
4108609,From initial search,Peripheral pulmonary artery sparseness,Condition,SNOMED,S,,F
1340431,From initial search,Exacerbation of peripheral arterial occlusive disease,Condition,OMOP Extension,S,x,T
4131950,From initial search,Peripheral artery graft,Observation,SNOMED,S,x,T
194385,From descendants,Aneurysm of renal artery,Condition,SNOMED,S,x,T
432335,From descendants,Aneurysm of subclavian artery,Condition,SNOMED,S,x,T
