concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
1243726,Acute phase rehabilitation,Procedure,SNOMED,Procedure,S,1300121009,2024-01-01,2099-12-31,NA
1389506,NA,NA,NA,NA,NA,NA,NA,NA,NA
1389520,NA,NA,NA,NA,NA,NA,NA,NA,NA
1389626,NA,NA,NA,NA,NA,NA,NA,NA,NA
1449040,Placement of object on side of body affected by hemiplegia,Observation,SNOMED,Procedure,S,1345208007,2024-10-01,2099-12-31,NA
1450667,Outdoor walking practice,Procedure,SNOMED,Procedure,S,57001000087105,2024-09-01,2099-12-31,NA
1450675,Placement of object on side of body unaffected by hemiplegia,Observation,SNOMED,Procedure,S,57371000087103,2024-10-01,2099-12-31,NA
1552155,NA,NA,NA,NA,NA,NA,NA,NA,NA
1552156,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007653,Speech and reading rehabilitation and rehabilitation of the blind,Procedure,ICD9Proc,3-dig nonbill code,S,93.7,1970-01-01,2099-12-31,NA
2007658,Other speech training and therapy,Procedure,ICD9Proc,4-dig billing code,S,93.75,1970-01-01,2099-12-31,NA
2007661,Other rehabilitation for the blind,Procedure,ICD9Proc,4-dig billing code,S,93.78,1970-01-01,2099-12-31,NA
2007672,Other rehabilitation therapy,Procedure,ICD9Proc,3-dig nonbill code,S,93.8,1970-01-01,2099-12-31,NA
2007678,"Rehabilitation, not elsewhere classified",Procedure,ICD9Proc,4-dig billing code,S,93.89,1970-01-01,2099-12-31,NA
2103572,NA,NA,NA,NA,NA,NA,NA,NA,NA
2108543,NA,NA,NA,NA,NA,NA,NA,NA,NA
2108590,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313700,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313701,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313760,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313769,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313770,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313783,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313784,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313785,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313786,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313943,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313971,NA,NA,NA,NA,NA,NA,NA,NA,NA
2313972,NA,NA,NA,NA,NA,NA,NA,NA,NA
2314295,NA,NA,NA,NA,NA,NA,NA,NA,NA
2314296,NA,NA,NA,NA,NA,NA,NA,NA,NA
2314317,NA,NA,NA,NA,NA,NA,NA,NA,NA
2617982,"Rehabilitation services for low vision by certified low vision rehabilitation therapist, direct one-on-one contact, each 15 minutes (Deprecated)",Observation,HCPCS,HCPCS,S,G9043,2006-01-01,2011-12-31,NA
2617983,"Rehabilitation services for low vision by certified low vision rehabilitation teacher, direct one-on-one contact, each 15 minutes (Deprecated)",Observation,HCPCS,HCPCS,S,G9044,2006-01-01,2011-12-31,NA
2618180,"Mental health clubhouse services, per 15 minutes",Observation,HCPCS,HCPCS,S,H2030,2003-04-01,2099-12-31,NA
2618181,"Mental health clubhouse services, per diem",Observation,HCPCS,HCPCS,S,H2031,2003-04-01,2099-12-31,NA
2795771,Motor Speech Treatment using Biosensory Feedback Equipment,Procedure,ICD10PCS,ICD10PCS,S,F06Z8NZ,2014-04-22,2099-12-31,NA
2795772,Motor Speech Treatment using Computer,Procedure,ICD10PCS,ICD10PCS,S,F06Z8PZ,2014-04-22,2099-12-31,NA
2795773,Motor Speech Treatment using Speech Analysis Equipment,Procedure,ICD10PCS,ICD10PCS,S,F06Z8QZ,2014-04-22,2099-12-31,NA
2795774,Motor Speech Treatment using Voice Analysis Equipment,Procedure,ICD10PCS,ICD10PCS,S,F06Z8SZ,2014-04-22,2099-12-31,NA
