concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
437758,Dependence on enabling machine or device,Observation,SNOMED,Clinical Finding,S,105501005,2002-01-31,2099-12-31,NA
604484,Dependence on prolonged intermittent renal replacement therapy due to renal failure,Observation,SNOMED,Clinical Finding,S,898185002,2021-01-31,2099-12-31,NA
1741001,Kidney disease with dialysis,Observation,PPI,Answer,S,PPI2,2022-04-07,2099-12-31,NA
3178000,Dependence on tracheostomy,Condition,Nebraska Lexicon,Clinical Finding,S,24550001000004109,2016-01-28,2099-12-31,NA
3194066,Requires sustained low efficiency dialysis,Observation,Nebraska Lexicon,Clinical Finding,S,16920001000004107,2016-01-28,2099-12-31,NA
4019967,Dependence on renal dialysis,Observation,SNOMED,Clinical Finding,S,105502003,2002-01-31,2099-12-31,NA
4022073,Dependence on wheelchair,Observation,SNOMED,Clinical Finding,S,105503008,2002-01-31,2099-12-31,NA
4022074,Dependence on walking stick,Observation,SNOMED,Clinical Finding,S,105504002,2002-01-31,2099-12-31,NA
4177685,Dependence on peritoneal dialysis due to end stage renal disease,Observation,SNOMED,Clinical Finding,S,428937001,2008-01-31,2099-12-31,NA
4179226,Dependence on dialysis due to end stage renal disease,Observation,SNOMED,Clinical Finding,S,429075005,2008-01-31,2099-12-31,NA
4180290,Dependence on continuous positive airway pressure ventilation,Condition,SNOMED,Clinical Finding,S,429487005,2008-01-31,2099-12-31,NA
4181476,Dependence on hemodialysis due to end stage renal disease,Observation,SNOMED,Clinical Finding,S,428982002,2008-01-31,2099-12-31,NA
4327886,Dependence on biphasic positive airway pressure ventilation,Condition,SNOMED,Clinical Finding,S,429091008,2008-01-31,2099-12-31,NA
37017389,Dependence on non-invasive ventilation,Observation,SNOMED,Clinical Finding,S,713655003,2016-01-31,2099-12-31,NA
37167787,Dependence on electric motor driven wheelchair,Observation,SNOMED,Clinical Finding,S,1268970001,2023-03-31,2099-12-31,NA
37209515,Dependence on continuous ambulatory peritoneal dialysis due to end stage renal disease,Observation,SNOMED,Clinical Finding,S,16320631000119104,2019-07-31,2099-12-31,NA
37311997,Dependence on artificial heart,Observation,SNOMED,Clinical Finding,S,788900007,2020-01-31,2099-12-31,NA
40480136,Dependence on hemodialysis,Observation,SNOMED,Clinical Finding,S,443143006,2010-01-31,2099-12-31,NA
40481547,Dependence on ventilator,Condition,SNOMED,Clinical Finding,S,444932008,2010-07-31,2099-12-31,NA
40482357,Dependence on peritoneal dialysis,Observation,SNOMED,Clinical Finding,S,443596009,2010-01-31,2099-12-31,NA
42535241,Dependence on biphasic positive airway pressure ventilation due to central sleep apnea syndrome,Condition,SNOMED,Clinical Finding,S,16419651000119103,2018-01-31,2099-12-31,NA
42873170,Dependence on supplemental oxygen,Condition,SNOMED,Clinical Finding,S,931000119107,2012-07-31,2099-12-31,NA
46269984,Dependence on continuous ambulatory peritoneal dialysis,Observation,SNOMED,Clinical Finding,S,11000731000119102,2015-07-31,2099-12-31,NA
46269985,Dependence on continuous cycling peritoneal dialysis,Observation,SNOMED,Clinical Finding,S,11000771000119104,2015-07-31,2099-12-31,NA
46270151,Dependence on respiratory device,Condition,SNOMED,Clinical Finding,S,152921000119101,2015-07-31,2099-12-31,NA
46270565,Dependence on continuous supplemental oxygen,Condition,SNOMED,Clinical Finding,S,60651000119103,2015-07-31,2099-12-31,NA
46273389,Dependence on aspirator,Observation,SNOMED,Clinical Finding,S,79021000119104,2015-07-31,2099-12-31,NA
46273390,Dependence on respirator,Condition,SNOMED,Clinical Finding,S,79031000119101,2015-07-31,2099-12-31,NA
46273422,Dependence on nocturnal oxygen therapy,Condition,SNOMED,Clinical Finding,S,89241000119108,2015-07-31,2099-12-31,NA
46273505,Dependence on supplemental oxygen when ambulating,Condition,SNOMED,Clinical Finding,S,89201000119106,2015-07-31,2099-12-31,NA
46273524,Dependence on home ventilator,Condition,SNOMED,Clinical Finding,S,60631000119109,2015-07-31,2099-12-31,NA
