concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
73241,Anal and rectal polyp,Condition,SNOMED,Disorder,S,197210001,2002-01-31,2099-12-31,NA
73349,Injury of rectum without open wound into abdominal cavity,Condition,SNOMED,Disorder,S,52087004,2002-01-31,2099-12-31,NA
74582,Primary malignant neoplasm of rectum,Condition,SNOMED,Disorder,S,93984006,2002-01-31,2099-12-31,NA
75210,Carcinoma in situ of rectum,Condition,SNOMED,Disorder,S,92696009,2002-01-31,2099-12-31,NA
75512,Carcinoma in situ of colon,Condition,SNOMED,Disorder,S,92568009,2002-01-31,2099-12-31,NA
75576,Irritable bowel syndrome,Condition,SNOMED,Disorder,S,10743008,2002-01-31,2099-12-31,NA
75580,Chronic ulcerative proctitis,Condition,SNOMED,Disorder,S,52231000,2002-01-31,2099-12-31,NA
75708,Foreign body in anus and rectum,Condition,SNOMED,Disorder,S,211644003,2002-01-31,2099-12-31,NA
76022,Amebic nondysenteric colitis,Condition,SNOMED,Disorder,S,55023005,2002-01-31,2099-12-31,NA
76150,Ulcer of rectum,Condition,SNOMED,Disorder,S,54609002,2002-01-31,2099-12-31,NA
77025,Diverticulitis of colon,Condition,SNOMED,Disorder,S,111359004,2002-01-31,2099-12-31,NA
77234,Benign neoplasm of colon,Condition,SNOMED,Disorder,S,92065004,2002-01-31,2099-12-31,NA
77317,Chronic ulcerative rectosigmoiditis,Condition,SNOMED,Disorder,S,52506002,2002-01-31,2099-12-31,NA
77923,Eosinophilic colitis,Condition,SNOMED,Disorder,S,29120000,2002-01-31,2099-12-31,NA
78799,Chronic ulcerative ileocolitis,Condition,SNOMED,Disorder,S,13470001,2002-01-31,2099-12-31,NA
79061,Slow transit constipation,Condition,SNOMED,Disorder,S,35298007,2002-01-31,2099-12-31,NA
79069,Disorder of rectum,Condition,SNOMED,Disorder,S,5964004,2002-01-31,2099-12-31,NA
79740,Overlapping malignant neoplasm of colon,Condition,SNOMED,Disorder,S,109838007,2002-01-31,2099-12-31,NA
80141,Functional diarrhea,Condition,SNOMED,Disorder,S,47812002,2002-01-31,2099-12-31,NA
81064,Pseudopolyposis of colon,Condition,SNOMED,Disorder,S,13025001,2002-01-31,2099-12-31,NA
81336,Rectal prolapse,Condition,SNOMED,Disorder,S,57773001,2002-01-31,2099-12-31,NA
81611,Diverticular disease of colon,Condition,SNOMED,Disorder,S,398050005,2003-07-31,2099-12-31,NA
81893,Ulcerative colitis,Condition,SNOMED,Disorder,S,64766004,2002-01-31,2099-12-31,NA
134404,Anal spasm,Condition,SNOMED,Disorder,S,17440005,2002-01-31,2099-12-31,NA
192259,Ascariasis,Condition,SNOMED,Disorder,S,2435008,2002-01-31,2099-12-31,NA
192286,Intestinal disaccharidase deficiency,Condition,SNOMED,Disorder,S,22169002,2002-01-31,2099-12-31,NA
192291,Carcinoma in situ of intestinal tract,Condition,SNOMED,Disorder,S,92617001,2002-01-31,2099-12-31,NA
192357,Paralytic ileus,Condition,SNOMED,Disorder,S,55525008,2002-01-31,2099-12-31,NA
192673,Vascular insufficiency of intestine,Condition,SNOMED,Disorder,S,82196007,2002-01-31,2099-12-31,NA
192674,Allergic gastroenteritis and colitis,Condition,SNOMED,Disorder,S,266451002,2002-01-31,2099-12-31,NA
192753,Injury of small intestine with open wound into abdominal cavity,Condition,SNOMED,Disorder,S,210114006,2002-01-31,2099-12-31,NA
192815,Intestinal infection caused by Escherichia coli,Condition,SNOMED,Disorder,S,111839008,2002-01-31,2099-12-31,NA
192819,Typhoid fever,Condition,SNOMED,Disorder,S,4834000,2002-01-31,2099-12-31,NA
192836,Primary malignant neoplasm of small intestine,Condition,SNOMED,Disorder,S,94048009,2002-01-31,2099-12-31,NA
192953,Intestinal adhesions with obstruction,Condition,SNOMED,Disorder,S,67766009,2002-01-31,2099-12-31,NA
192960,Noninfectious gastroenteritis,Condition,SNOMED,Disorder,S,12574004,2002-01-31,2099-12-31,NA
193120,Adenoviral enteritis,Condition,SNOMED,Disorder,S,70880006,2002-01-31,2099-12-31,NA
193174,Cystic fibrosis with meconium ileus,Condition,SNOMED,Disorder,S,86092005,2002-01-31,2099-12-31,NA
193238,Acute appendicitis with peritoneal abscess,Condition,SNOMED,Disorder,S,51036000,2002-01-31,2099-12-31,NA
193239,Diverticulitis of small intestine,Condition,SNOMED,Disorder,S,56165008,2002-01-31,2099-12-31,NA
193242,Perforation of intestine,Condition,SNOMED,Disorder,S,56905009,2002-01-31,2099-12-31,NA
193402,Bacterial enteritis of intestine,Condition,SNOMED,Disorder,S,75375008,2002-01-31,2099-12-31,NA
193518,Intestinal obstruction,Condition,SNOMED,Disorder,S,81060008,2002-01-31,2099-12-31,NA
193521,Tropical sprue,Condition,SNOMED,Disorder,S,47384003,2002-01-31,2099-12-31,NA
193591,Meconium ileus,Condition,SNOMED,Disorder,S,206523001,2002-01-31,2099-12-31,NA
193707,Hymenolepiasis,Condition,SNOMED,Disorder,S,44917000,2002-01-31,2099-12-31,NA
193807,Anorectal fistula,Condition,SNOMED,Disorder,S,72779005,2002-01-31,2099-12-31,NA
193953,Paratyphoid B fever,Condition,SNOMED,Disorder,S,71085009,2002-01-31,2099-12-31,NA
194077,Chronic ulcerative enterocolitis,Condition,SNOMED,Disorder,S,15342002,2002-01-31,2099-12-31,NA
194149,Congenital aganglionic megacolon,Condition,SNOMED,Disorder,S,204739008,2002-01-31,2099-12-31,NA
194265,Cryptosporidiosis,Condition,SNOMED,Disorder,S,240370009,2002-01-31,2099-12-31,NA
194395,Hemorrhage of large intestine with diverticular disease of large intestine,Condition,SNOMED,Disorder,S,197092000,2002-01-31,2099-12-31,NA
194421,Endometriosis of intestine,Condition,SNOMED,Disorder,S,5562006,2002-01-31,2099-12-31,NA
194558,Enterovirus enteritis,Condition,SNOMED,Disorder,S,32580004,2002-01-31,2099-12-31,NA
194683,Obstructed umbilical hernia,Condition,SNOMED,Disorder,S,196859000,2002-01-31,2099-12-31,NA
194684,Crohn's disease of large bowel,Condition,SNOMED,Disorder,S,7620006,2002-01-31,2099-12-31,NA
194873,Mixed intestinal infection caused by Cestoda and/or Trematoda and/or Phylum Nematoda,Condition,SNOMED,Disorder,S,90679001,2002-01-31,2099-12-31,NA
194992,Celiac disease,Condition,SNOMED,Disorder,S,396331005,2003-07-31,2099-12-31,NA
194993,Intestinal malabsorption,Condition,SNOMED,Disorder,S,197476001,2002-01-31,2099-12-31,NA
195002,Ulceration of intestine,Condition,SNOMED,Disorder,S,85942002,2002-01-31,2099-12-31,NA
195005,Congenital vaginal enterocele,Condition,SNOMED,Disorder,S,198273008,2002-01-31,2099-12-31,NA
195107,Injury of appendix with open wound into abdominal cavity,Condition,SNOMED,Disorder,S,210159003,2002-01-31,2099-12-31,NA
195177,Paratyphoid fever,Condition,SNOMED,Disorder,S,85904008,2002-01-31,2099-12-31,NA
195306,Gastroduodenitis,Condition,SNOMED,Disorder,S,196731005,2002-01-31,2099-12-31,NA
195460,Paratyphoid A fever,Condition,SNOMED,Disorder,S,76623002,2002-01-31,2099-12-31,NA
195461,Staphylococcal enterocolitis,Condition,SNOMED,Disorder,S,32527003,2002-01-31,2099-12-31,NA
195462,Intestinal infection caused by Pseudomonas,Condition,SNOMED,Disorder,S,82930004,2002-01-31,2099-12-31,NA
195482,Primary malignant neoplasm of intestinal tract,Condition,SNOMED,Disorder,S,371992003,2002-07-31,2099-12-31,NA
195575,Crohn's disease of small and large intestines,Condition,SNOMED,Disorder,S,71833008,2002-01-31,2099-12-31,NA
195585,Crohn's disease of small intestine,Condition,SNOMED,Disorder,S,56689002,2002-01-31,2099-12-31,NA
196149,Acute appendicitis with generalized peritonitis,Condition,SNOMED,Disorder,S,28845006,2002-01-31,2099-12-31,NA
196151,Functional disorder of intestine,Condition,SNOMED,Disorder,S,81120009,2002-01-31,2099-12-31,NA
196160,Fistula of intestine,Condition,SNOMED,Disorder,S,38851006,2002-01-31,2099-12-31,NA
196325,Protozoal intestinal disease,Condition,SNOMED,Disorder,S,89933001,2002-01-31,2099-12-31,NA
196347,Intestinal parasitism,Condition,SNOMED,Disorder,S,87282003,2002-01-31,2099-12-31,NA
196620,Viral enteritis of intestine,Condition,SNOMED,Disorder,S,78420004,2002-01-31,2099-12-31,NA
196623,Acute amebic dysentery without abscess,Condition,SNOMED,Disorder,S,111912001,2002-01-31,2099-12-31,NA
196732,Blind loop syndrome,Condition,SNOMED,Disorder,S,77225009,2002-01-31,2099-12-31,NA
196894,Intestinal infection caused by Arizona group,Condition,SNOMED,Disorder,S,90271007,2002-01-31,2099-12-31,NA
196895,Viral gastroenteritis caused by Norwalk-like agent,Condition,SNOMED,Disorder,S,24789006,2002-01-31,2099-12-31,NA
196907,Trichuriasis,Condition,SNOMED,Disorder,S,3752003,2002-01-31,2099-12-31,NA
197024,Small intestinal hemorrhage,Condition,SNOMED,Disorder,S,70375006,2002-01-31,2099-12-31,NA
197034,Intussusception of intestine,Condition,SNOMED,Disorder,S,49723003,2002-01-31,2099-12-31,NA
197084,"Congenital absence, atresia and stenosis of small intestine",Condition,SNOMED,Disorder,S,253764008,2002-01-31,2099-12-31,NA
197136,Injury of small intestine without open wound into abdominal cavity,Condition,SNOMED,Disorder,S,68734002,2002-01-31,2099-12-31,NA
197203,Intestinal trichomoniasis,Condition,SNOMED,Disorder,S,67915005,2002-01-31,2099-12-31,NA
197206,Balantidiasis,Condition,SNOMED,Disorder,S,57725006,2002-01-31,2099-12-31,NA
197218,Capillaria infection,Condition,SNOMED,Disorder,S,52979002,2002-01-31,2099-12-31,NA
197223,Enterobiasis,Condition,SNOMED,Disorder,S,266162007,2002-01-31,2099-12-31,NA
197328,Abscess of intestine,Condition,SNOMED,Disorder,S,24557004,2002-01-31,2099-12-31,NA
197418,Injury of duodenum with open wound into abdominal cavity,Condition,SNOMED,Disorder,S,210116008,2002-01-31,2099-12-31,NA
