concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
136030,Sweating fever,Condition,SNOMED,Clinical Finding,S,186694006,2002-01-31,2099-12-31,NA
435028,Puerperal pyrexia of unknown origin,Condition,SNOMED,Disorder,S,200277008,2002-01-31,2099-12-31,NA
437663,Fever,Condition,SNOMED,Clinical Finding,S,386661006,2003-01-31,2099-12-31,NA
438963,Tick-borne relapsing fever,Condition,SNOMED,Disorder,S,10301003,2002-01-31,2099-12-31,NA
440285,Malignant hyperthermia,Condition,SNOMED,Disorder,S,405501007,2004-01-31,2099-12-31,NA
443908,Relapsing fever caused by Borrelia recurrentis,Condition,SNOMED,Disorder,S,14683004,2002-01-31,2099-12-31,NA
763017,Febrile transfusion reaction without hemolysis,Condition,SNOMED,Disorder,S,435001000124103,2013-09-01,2099-12-31,NA
1075940,Systemic onset juvenile idiopathic arthritis of ankle,Condition,SNOMED,Disorder,S,1332542008,2024-06-01,2099-12-31,NA
1075944,Systemic onset juvenile idiopathic arthritis of foot,Condition,SNOMED,Disorder,S,1332547002,2024-06-01,2099-12-31,NA
1075945,Systemic onset juvenile idiopathic arthritis of hand,Condition,SNOMED,Disorder,S,1332548007,2024-06-01,2099-12-31,NA
1075946,Systemic onset juvenile idiopathic arthritis of joint of shoulder region,Condition,SNOMED,Disorder,S,1332550004,2024-06-01,2099-12-31,NA
1075947,Systemic onset juvenile idiopathic arthritis of hip,Condition,SNOMED,Disorder,S,1332551000,2024-06-01,2099-12-31,NA
1076670,Systemic onset juvenile idiopathic arthritis of bilateral hands,Condition,SNOMED,Disorder,S,16040431000119100,2024-06-01,2099-12-31,NA
1076671,Systemic onset juvenile idiopathic arthritis of left ankle,Condition,SNOMED,Disorder,S,16040471000119102,2024-06-01,2099-12-31,NA
1076672,Systemic onset juvenile idiopathic arthritis of left hand,Condition,SNOMED,Disorder,S,16040591000119102,2024-06-01,2099-12-31,NA
1076673,Systemic onset juvenile idiopathic arthritis of joint of left shoulder region,Condition,SNOMED,Disorder,S,16040631000119102,2024-06-01,2099-12-31,NA
1076674,Systemic onset juvenile idiopathic arthritis of left foot,Condition,SNOMED,Disorder,S,16040671000119104,2024-06-01,2099-12-31,NA
1076675,Systemic onset juvenile idiopathic arthritis of right hand,Condition,SNOMED,Disorder,S,16040791000119109,2024-06-01,2099-12-31,NA
1076676,Systemic onset juvenile idiopathic arthritis of bilateral hips,Condition,SNOMED,Disorder,S,16040871000119100,2024-06-01,2099-12-31,NA
1076677,Systemic onset juvenile idiopathic arthritis of right hip,Condition,SNOMED,Disorder,S,16040951000119101,2024-06-01,2099-12-31,NA
1076678,Systemic onset juvenile idiopathic arthritis of right foot,Condition,SNOMED,Disorder,S,16041031000119100,2024-06-01,2099-12-31,NA
1076679,Systemic onset juvenile idiopathic arthritis of joint of bilateral shoulder regions,Condition,SNOMED,Disorder,S,16041191000119100,2024-06-01,2099-12-31,NA
1076680,Systemic onset juvenile idiopathic arthritis of right ankle,Condition,SNOMED,Disorder,S,16041231000119109,2024-06-01,2099-12-31,NA
1076681,Systemic onset juvenile idiopathic arthritis of bilateral ankles,Condition,SNOMED,Disorder,S,16041311000119107,2024-06-01,2099-12-31,NA
