concept_id,concept_code,icd_description,points
45533052,F00,Dementia in Alzheimer's disease,7.1
45571827,G81,Hemiplegia,4.4
45538101,G30,Alzheimer's disease,4
45543192,I69,Sequelae of cerebrovascular disease,3.7
45755636,R29,"Other symptoms and signs involving the
nervous and musculoskeletal systems (R29·6
Tendency to fall)",3.6
45567841,N39,"Other disorders of urinary system (includes
urinary tract infection and urinary
incontinence)",3.2
45581397,F05,"Delirium, not induced by alcohol and other
psychoactive substances",3.2
45756257,W19,Unspecified fall,3.2
45553757,S00,Superficial injury of head,3.2
45553726,R31,Unspecified haematuria,3
45755312,B96,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9
45544146,R41,Other symptoms and signs involving cognitive functions and awareness,2.7
45606801,R26,Abnormalities of gait and mobility,2.6
45581786,I67,Other cerebrovascular diseases,2.6
45592425,R56,"Convulsions, not elsewhere classified",2.6
45755637,R40,"Somnolence, stupor and coma",2.5
45756008,T83,"Complications of genitourinary prosthetic
devices, implants and grafts",2.4
45544245,S06,Intracranial injury,2.4
45597678,S42,Fracture of shoulder and upper arm,2.3
45755369,E87,"Other disorders of fluid, electrolyte and acid-
base balance",2.3
45538734,M25,"Other joint disorders, not elsewhere classified",2.3
45581386,E86,Volume depletion,2.3
45568140,R54,Senility,2.2
45590736,Z50,"Care involving use of rehabilitation
procedures",2.1
45566772,F03,Unspecified dementia,2.1
45756256,W18,Other fall on same level,2.1
45756340,Z75,"Problems related to medical facilities and
other health care",2
45557147,F01,Vascular dementia,2
45603531,S80,Superficial injury of lower leg,2
45591621,L03,Cellulitis,2
45755414,H54,Blindness and low vision,1.9
45566745,E53,Deficiency of other B group vitamins,1.9
45547330,Z60,Problems related to social environment,1.8
45538098,G20,Parkinson's disease,1.8
45568141,R55,Syncope and collapse,1.8
45755806,S22,"Fracture of rib(s), sternum and thoracic spine",1.8
45543326,K59,Other functional intestinal disorders,1.8
45606484,N17,Acute renal failure,1.8
45601235,L89,Decubitus ulcer,1.7
45595490,Z22,Carrier of infectious disease,1.7
45755311,B95,"Streptococcus and staphylococcus as the
cause of diseases classified to other chapters",1.7
45591659,L97,"Ulcer of lower limb, not elsewhere classified",1.6
45755638,R44,"Other symptoms and signs involving general
sensations and perceptions",1.6
45552919,K26,Duodenal ulcer,1.6
45586653,I95,Hypotension,1.6
45601718,N19,Unspecified renal failure,1.6
45532831,A41,Other septicaemia,1.6
45756483,Z87,"Personal history of other diseases and
conditions",1.5
45586686,J96,"Respiratory failure, not elsewhere classified",1.5
45756412,X59,Exposure to unspecified factor,1.5
45601352,M19,Other arthrosis,1.5
45595935,G40,Epilepsy,1.5
45587093,M81,Osteoporosis without pathological fracture,1.4
45569417,S72,Fracture of femur,1.4
45592752,S32,Fracture of lumbar spine and pelvis,1.4
45571665,E16,"Other disorders of pancreatic internal
secretion",1.4
45755749,R94,Abnormal results of function studies,1.4
45582391,N18,Chronic renal failure,1.4
45587507,R33,Retention of urine,1.3
45558480,R69,"Unknown and unspecified causes of
morbidity",1.3
45587239,N28,"Other disorders of kidney and ureter, not
elsewhere classified",1.3
45606803,R32,Unspecified urinary incontinence,1.2
45538102,G31,"Other degenerative diseases of nervous
system, not elsewhere classified",1.2
45595474,Y95,Nosocomial condition,1.2
45592553,S09,Other and unspecified injuries of head,1.2
45755639,R45,"Symptoms and signs involving emotional
state",1.2
45562092,G45,"Transient cerebral ischaemic attacks and
related syndromes",1.2
45585853,Z74,Problems related to care-provider dependency,1.1
45562836,M79,"Other soft tissue disorders, not elsewhere
classified",1.1
45575895,W06,Fall involving bed,1.1
45582756,S01,Open wound of head,1.1
45532809,A04,Other bacterial intestinal infections,1.1
45605189,A09,"Diarrhoea and gastroenteritis of presumed
infectious origin",1.1
45548107,J18,"Pneumonia, organism unspecified",1.1
45755429,J69,Pneumonitis due to solids and liquids,1
45755640,R47,"Speech disturbances, not elsewhere classified",1
45591049,E55,Vitamin D deficiency,1
45581091,Z93,Artificial opening status,1
45534421,R02,"Gangrene, not elsewhere classified",1
45755630,R63,"Symptoms and signs concerning food and
fluid intake",0.9
45581753,H91,Other hearing loss,0.9
45756250,W10,Fall on and from stairs and steps,0.9
45756243,W01,"Fall on same level from slipping, tripping and
stumbling",0.9
45533007,E05,Thyrotoxicosis [hyperthyroidism],0.9
45562714,M41,Scoliosis,0.9
45573013,R13,Dysphagia,0.8
45756557,Z99,"Dependence on enabling machines and
devices",0.8
45756102,U80,"Agent resistant to penicillin and related
antibiotics",0.8
45577360,M80,Osteoporosis with pathological fracture,0.8
45567332,K92,Other diseases of digestive system,0.8
45543186,I63,Cerebral Infarction,0.8
45587237,N20,Calculus of kidney and ureter,0.7
45581401,F10,"Mental and behavioural disorders due to use
of alcohol",0.7
45605063,Y84,"Other medical procedures as the cause of
abnormal reaction of the patient",0.7
45577775,R00,Abnormalities of heart beat,0.7
45586665,J22,Unspecified acute lower respiratory infection,0.7
45581066,Z73,"Problems related to life-management
difficulty",0.6
45587527,R79,Other abnormal findings of blood chemistry,0.6
45542488,Z91,"Personal history of risk-factors, not elsewhere
classified",0.5
45607470,S51,Open wound of forearm,0.5
45595904,F32,Depressive episode,0.5
45562734,M48,Spinal stenosis (secondary code only),0.5
45537988,E83,Disorders of mineral metabolism,0.4
45596490,M15,Polyarthrosis,0.4
45537924,D64,Other anaemias,0.4
45596365,L08,"Other local infections of skin and
subcutaneous tissue",0.4
45539317,R11,Nausea and vomiting,0.3
45586724,K52,Other noninfective gastroenteritis and colitis,0.3
45568138,R50,Fever of unknown origin,0.1
