icd_concept_id,concept_code,concept_id,icd_description,points,concept_name,domain_id,vocabulary_id
45533052,F00,378419,Dementia in Alzheimer's disease,7.1,Alzheimer's disease,Condition,SNOMED
45571827,G81,374022,Hemiplegia,4.4,Hemiplegia,Condition,SNOMED
45538101,G30,378419,Alzheimer's disease,4,Alzheimer's disease,Condition,SNOMED
45543192,I69,434056,Sequelae of cerebrovascular disease,3.7,Late effects of cerebrovascular disease,Condition,SNOMED
45755636,R29,441840,"Other symptoms and signs involving the
nervous and musculoskeletal systems (R29·6
Tendency to fall)",3.6,Clinical finding,Condition,SNOMED
45567841,N39,75865,"Other disorders of urinary system (includes
urinary tract infection and urinary
incontinence)",3.2,Disorder of urinary system,Condition,SNOMED
45581397,F05,373995,"Delirium, not induced by alcohol and other
psychoactive substances",3.2,Delirium,Condition,SNOMED
45756257,W19,436583,Unspecified fall,3.2,Fall,Observation,SNOMED
45553757,S00,4086195,Superficial injury of head,3.2,Superficial injury of head,Condition,SNOMED
45553726,R31,437038,Unspecified haematuria,3,Blood in urine,Condition,SNOMED
45755312,B96,432545,"Other bacterial agents as the cause of diseases
classified to other chapters (secondary code)",2.9,Bacterial infectious disease,Condition,SNOMED
45544146,R41,4293175,Other symptoms and signs involving cognitive functions and awareness,2.7,"Mental state, behavior and/or psychosocial function finding",Observation,SNOMED
45606801,R26,437643,Abnormalities of gait and mobility,2.6,Abnormal gait,Observation,SNOMED
45581786,I67,381591,Other cerebrovascular diseases,2.6,Cerebrovascular disease,Condition,SNOMED
45592425,R56,377091,"Convulsions, not elsewhere classified",2.6,Seizure,Condition,SNOMED
45755637,R40,376961,"Somnolence, stupor and coma",2.5,Disturbance of consciousness,Observation,SNOMED
45756008,T83,43021248,"Complications of genitourinary prosthetic
devices, implants and grafts",2.4,Disorder associated with urogenital device,Condition,SNOMED
45544245,S06,437409,Intracranial injury,2.4,Intracranial injury,Condition,SNOMED
45597678,S42,4050747,Fracture of shoulder and upper arm,2.3,Fracture of upper limb,Condition,SNOMED
45755369,E87,436670,"Other disorders of fluid, electrolyte and acid-
base balance",2.3,Metabolic disease,Condition,SNOMED
