concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
1245002,Osteoporotic fracture due to idiopathic osteoporosis,Condition,SNOMED,Disorder,S,1295480004,2023-12-01,2099-12-31,NA
1245005,Osteoporotic fracture due to postmenopausal osteoporosis,Condition,SNOMED,Disorder,S,1295483002,2023-12-01,2099-12-31,NA
1245006,Osteoporotic fracture due to disuse osteoporosis,Condition,SNOMED,Disorder,S,1295484008,2023-12-01,2099-12-31,NA
4003482,Osteoporotic fracture due to postoophorectomy osteoporosis,Condition,SNOMED,Disorder,S,203444008,2002-01-31,2099-12-31,NA
4004624,Post-surgical malabsorption osteoporosis with pathological fracture,Condition,SNOMED,Disorder,S,203446005,2002-01-31,2099-12-31,NA
4067765,Drug-induced osteoporosis with osteoporotic fracture,Condition,SNOMED,Disorder,S,203447001,2002-01-31,2099-12-31,NA
4068133,Osteoporotic fracture of thoracic vertebra,Condition,SNOMED,Disorder,S,203451004,2002-01-31,2099-12-31,NA
4069524,Osteoporotic fracture of lumbar vertebra,Condition,SNOMED,Disorder,S,203450003,2002-01-31,2099-12-31,NA
4069525,Osteoporotic fracture of cervical vertebra,Condition,SNOMED,Disorder,S,203452006,2002-01-31,2099-12-31,NA
4160572,Osteoporotic fracture of neck of femur,Condition,SNOMED,Disorder,S,431031001,2008-07-31,2099-12-31,NA
4206888,Osteoporotic collapse of thoracic vertebra,Condition,SNOMED,Disorder,S,311891006,2002-01-31,2099-12-31,NA
4207924,Osteoporotic collapse of cervical vertebra,Condition,SNOMED,Disorder,S,311806008,2002-01-31,2099-12-31,NA
4210556,Osteoporotic collapse of lumbar vertebra,Condition,SNOMED,Disorder,S,311890007,2002-01-31,2099-12-31,NA
4347301,Osteoporotic vertebral collapse,Condition,SNOMED,Disorder,S,240198002,2002-01-31,2099-12-31,NA
37209180,Osteoporotic fracture of left rib,Condition,SNOMED,Disorder,S,11874341000119106,2019-07-31,2099-12-31,NA
37209181,Osteoporotic fracture of right rib,Condition,SNOMED,Disorder,S,11874381000119101,2019-07-31,2099-12-31,NA
40480160,Osteoporotic fracture,Condition,SNOMED,Disorder,S,443165006,2010-01-31,2099-12-31,NA
45757314,Secondary osteoporotic fracture of thoracic vertebra,Condition,SNOMED,Disorder,S,11311361000119103,2015-01-31,2099-12-31,NA
45757316,Secondary osteoporotic fracture of lumbar vertebra,Condition,SNOMED,Disorder,S,11311441000119109,2015-01-31,2099-12-31,NA
45757318,Secondary osteoporotic fracture of cervical vertebra,Condition,SNOMED,Disorder,S,11311521000119104,2015-01-31,2099-12-31,NA
45757320,Osteoporotic fracture of vertebra,Condition,SNOMED,Disorder,S,11311601000119109,2015-01-31,2099-12-31,NA
45757323,Secondary osteoporotic fracture of vertebra,Condition,SNOMED,Disorder,S,11311801000119105,2015-01-31,2099-12-31,NA
45757324,Secondary osteoporotic fracture of sacral vertebra,Condition,SNOMED,Disorder,S,11311841000119107,2015-01-31,2099-12-31,NA
45767001,Secondary osteoporotic fracture of ulna,Condition,SNOMED,Disorder,S,704282002,2015-01-31,2099-12-31,NA
45767002,Secondary osteoporotic fracture of tibia,Condition,SNOMED,Disorder,S,704283007,2015-01-31,2099-12-31,NA
45767003,Secondary osteoporotic fracture of scapula,Condition,SNOMED,Disorder,S,704284001,2015-01-31,2099-12-31,NA
45767004,Secondary osteoporotic fracture of humerus,Condition,SNOMED,Disorder,S,704286004,2015-01-31,2099-12-31,NA
45767005,Secondary osteoporotic fracture of proximal femur,Condition,SNOMED,Disorder,S,704287008,2015-01-31,2099-12-31,NA
