concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
22820,Tuberculosis of esophagus,Condition,SNOMED,Disorder,S,15284007,2002-01-31,2099-12-31,NA
23137,Chlamydial pharyngitis,Condition,SNOMED,Disorder,S,232403001,2002-01-31,2099-12-31,NA
26899,Tuberculous laryngitis,Condition,SNOMED,Disorder,S,70341005,2002-01-31,2099-12-31,NA
26908,Vincent's angina,Condition,SNOMED,Disorder,S,186963008,2002-01-31,2099-12-31,NA
28060,Streptococcal sore throat,Condition,SNOMED,Disorder,S,43878008,2002-01-31,2099-12-31,NA
30333,Gonorrhea of pharynx,Condition,SNOMED,Disorder,S,74372003,2002-01-31,2099-12-31,NA
72245,Chlamydial infection of lower genitourinary tract,Condition,SNOMED,Disorder,S,186729003,2002-01-31,2099-12-31,NA
72562,Gonococcal spondylitis,Condition,SNOMED,Disorder,S,53664003,2002-01-31,2099-12-31,NA
72817,Tuberculosis of urinary organs,Condition,SNOMED,Disorder,S,111830007,2002-01-31,2099-12-31,NA
73122,Tuberculosis of knee,Condition,SNOMED,Disorder,S,17136009,2002-01-31,2099-12-31,NA
73409,Primary anal syphilis,Condition,SNOMED,Disorder,S,31015008,2002-01-31,2099-12-31,NA
73686,Tuberculosis of genitourinary system,Condition,SNOMED,Disorder,S,4445009,2002-01-31,2099-12-31,NA
74862,Syphilis of bone,Condition,SNOMED,Disorder,S,50528008,2002-01-31,2099-12-31,NA
74864,Gonococcal infection of joint,Condition,SNOMED,Disorder,S,44743006,2002-01-31,2099-12-31,NA
75456,Tuberculosis of epididymis,Condition,SNOMED,Disorder,S,83652003,2002-01-31,2099-12-31,NA
75741,Tropical pyomyositis,Condition,SNOMED,Disorder,S,65110003,2002-01-31,2099-12-31,NA
76032,Syphilis of muscle,Condition,SNOMED,Disorder,S,88943008,2002-01-31,2099-12-31,NA
76629,Chronic gonococcal epididymo-orchitis,Condition,SNOMED,Disorder,S,35526001,2002-01-31,2099-12-31,NA
78672,Tuberculosis of hip,Condition,SNOMED,Disorder,S,14188007,2002-01-31,2099-12-31,NA
78956,Meningococcal arthropathy,Condition,SNOMED,Disorder,S,9467007,2002-01-31,2099-12-31,NA
79732,Genitourinary chlamydia infection,Condition,SNOMED,Disorder,S,312099009,2002-01-31,2099-12-31,NA
79742,Primary genital syphilis,Condition,SNOMED,Disorder,S,186847001,2002-01-31,2099-12-31,NA
80316,Salmonella arthritis,Condition,SNOMED,Disorder,S,71299003,2002-01-31,2099-12-31,NA
80626,Tuberculosis of bone,Condition,SNOMED,Disorder,S,38279006,2002-01-31,2099-12-31,NA
81496,Tuberculosis of vertebral column,Condition,SNOMED,Disorder,S,35984006,2002-01-31,2099-12-31,NA
132238,Indeterminate leprosy,Condition,SNOMED,Disorder,S,14386001,2002-01-31,2099-12-31,NA
132391,Furuncle of face,Condition,SNOMED,Disorder,S,37396007,2002-01-31,2099-12-31,NA
132392,Staphylococcal scalded skin syndrome,Condition,SNOMED,Disorder,S,200946001,2002-01-31,2099-12-31,NA
132563,Gonococcal keratosis,Condition,SNOMED,Disorder,S,60335002,2002-01-31,2099-12-31,NA
132987,Carbuncle of upper arm and forearm,Condition,SNOMED,Disorder,S,200588003,2002-01-31,2099-12-31,NA
133024,Tetanus neonatorum,Condition,SNOMED,Disorder,S,43424001,2002-01-31,2099-12-31,NA
133228,Dental caries,Condition,SNOMED,Disorder,S,80967001,2002-01-31,2099-12-31,NA
133566,Necrotizing fasciitis,Condition,SNOMED,Disorder,S,52486002,2002-01-31,2099-12-31,NA
133685,Salmonella infection,Condition,SNOMED,Disorder,S,302231008,2002-01-31,2099-12-31,NA
133959,Syphilitic alopecia,Condition,SNOMED,Disorder,S,59307008,2002-01-31,2099-12-31,NA
133965,Acute gonorrhea of upper genitourinary tract,Condition,SNOMED,Disorder,S,50970007,2002-01-31,2099-12-31,NA
134067,"Primary dental caries, root surface origin",Condition,SNOMED,Disorder,S,109576008,2002-01-31,2099-12-31,NA
134264,Salmonella osteomyelitis,Condition,SNOMED,Disorder,S,6803002,2002-01-31,2099-12-31,NA
134276,Cutaneous actinomycosis,Condition,SNOMED,Disorder,S,6365004,2002-01-31,2099-12-31,NA
134284,Initial lesion of yaws,Condition,SNOMED,Disorder,S,49442000,2002-01-31,2099-12-31,NA
134851,Tuberculosis of intrathoracic lymph nodes,Condition,SNOMED,Disorder,S,78436002,2002-01-31,2099-12-31,NA
135027,Carbuncle of leg (excluding foot),Condition,SNOMED,Disorder,S,200594006,2002-01-31,2099-12-31,NA
135335,Carbuncle of trunk,Condition,SNOMED,Disorder,S,53770004,2002-01-31,2099-12-31,NA
135466,Gonococcal bursitis,Condition,SNOMED,Disorder,S,46699001,2002-01-31,2099-12-31,NA
135611,Furuncle of hand,Condition,SNOMED,Disorder,S,10453005,2002-01-31,2099-12-31,NA
136898,Tuberculoid leprosy,Condition,SNOMED,Disorder,S,70143003,2002-01-31,2099-12-31,NA
136911,Hyperkeratosis of yaws,Condition,SNOMED,Disorder,S,53734002,2002-01-31,2099-12-31,NA
137205,Tuberculosis of skin,Condition,SNOMED,Disorder,S,66986005,2002-01-31,2099-12-31,NA
137207,Lepromatous leprosy,Condition,SNOMED,Disorder,S,21560005,2002-01-31,2099-12-31,NA
137212,Cardiovascular syphilis,Condition,SNOMED,Disorder,S,83883001,2002-01-31,2099-12-31,NA
138346,Erysipelas,Condition,SNOMED,Disorder,S,44653001,2002-01-31,2099-12-31,NA
138954,Cutaneous anthrax,Condition,SNOMED,Disorder,S,84980006,2002-01-31,2099-12-31,NA
138973,Chancroid,Condition,SNOMED,Disorder,S,266143009,2002-01-31,2099-12-31,NA
139046,Odontoclasia,Condition,SNOMED,Disorder,S,196305005,2002-01-31,2099-12-31,NA
139722,Tuberculoma of spinal cord,Condition,SNOMED,Disorder,S,416903004,2005-07-31,2099-12-31,NA
139734,Early yaws skin lesion,Condition,SNOMED,Disorder,S,302814007,2002-01-31,2099-12-31,NA
140435,Arrested dental caries,Condition,SNOMED,Disorder,S,80753001,2002-01-31,2099-12-31,NA
140480,Impetigo,Condition,SNOMED,Disorder,S,48277006,2002-01-31,2099-12-31,NA
140627,Cutaneous plague,Condition,SNOMED,Disorder,S,43484003,2002-01-31,2099-12-31,NA
141089,Carbuncle of foot,Condition,SNOMED,Disorder,S,18929007,2002-01-31,2099-12-31,NA
141209,Localized Salmonella infection,Condition,SNOMED,Disorder,S,47375003,2002-01-31,2099-12-31,NA
141213,Scarlet fever,Condition,SNOMED,Disorder,S,30242009,2002-01-31,2099-12-31,NA
141498,Cutaneous infectious disease caused by Mycobacteria,Condition,SNOMED,Disorder,S,25626000,2002-01-31,2099-12-31,NA
141777,Tuberculosis of thyroid gland,Condition,SNOMED,Disorder,S,26935004,2002-01-31,2099-12-31,NA
141795,Multiple yaws papillomata,Condition,SNOMED,Disorder,S,271449003,2002-01-31,2099-12-31,NA
192361,Pneumococcal peritonitis,Condition,SNOMED,Disorder,S,58710009,2002-01-31,2099-12-31,NA
192549,Abdominal actinomycosis,Condition,SNOMED,Disorder,S,43894001,2002-01-31,2099-12-31,NA
192815,Intestinal infection caused by Escherichia coli,Condition,SNOMED,Disorder,S,111839008,2002-01-31,2099-12-31,NA
192818,Tuberculosis of male genital organs,Condition,SNOMED,Disorder,S,240379005,2002-01-31,2099-12-31,NA
192819,Typhoid fever,Condition,SNOMED,Disorder,S,4834000,2002-01-31,2099-12-31,NA
192826,Gastrointestinal anthrax,Condition,SNOMED,Disorder,S,111798006,2002-01-31,2099-12-31,NA
193132,Chronic gonorrhea lower genitourinary tract,Condition,SNOMED,Disorder,S,186915005,2002-01-31,2099-12-31,NA
193136,Acute gonococcal cervicitis,Condition,SNOMED,Disorder,S,20943002,2002-01-31,2099-12-31,NA
193140,Acute gonococcal cystitis,Condition,SNOMED,Disorder,S,24868007,2002-01-31,2099-12-31,NA
193402,Bacterial enteritis of intestine,Condition,SNOMED,Disorder,S,75375008,2002-01-31,2099-12-31,NA
193688,Clostridioides difficile infection,Condition,SNOMED,Disorder,S,186431008,2002-01-31,2099-12-31,NA
193699,Chronic gonococcal endometritis,Condition,SNOMED,Disorder,S,31999004,2002-01-31,2099-12-31,NA
193700,Chronic gonococcal salpingitis,Condition,SNOMED,Disorder,S,53529004,2002-01-31,2099-12-31,NA
193814,Chronic parametritis and pelvic cellulitis,Condition,SNOMED,Disorder,S,198159006,2002-01-31,2099-12-31,NA
193953,Paratyphoid B fever,Condition,SNOMED,Disorder,S,71085009,2002-01-31,2099-12-31,NA
193955,Tuberculosis of kidney,Condition,SNOMED,Disorder,S,44323002,2002-01-31,2099-12-31,NA
194268,Tuberculous peritonitis,Condition,SNOMED,Disorder,S,44572005,2002-01-31,2099-12-31,NA
194287,Lymphogranuloma venereum,Condition,SNOMED,Disorder,S,186946009,2002-01-31,2099-12-31,NA
194288,Chlamydial infection of anus and rectum,Condition,SNOMED,Disorder,S,186731007,2002-01-31,2099-12-31,NA
194571,Acute gonococcal prostatitis,Condition,SNOMED,Disorder,S,111806005,2002-01-31,2099-12-31,NA
194861,Syphilis of liver,Condition,SNOMED,Disorder,S,86028001,2002-01-31,2099-12-31,NA
194863,Chronic gonococcal cervicitis,Condition,SNOMED,Disorder,S,76802005,2002-01-31,2099-12-31,NA
195176,Tuberculosis of spleen,Condition,SNOMED,Disorder,S,28399005,2002-01-31,2099-12-31,NA
195177,Paratyphoid fever,Condition,SNOMED,Disorder,S,85904008,2002-01-31,2099-12-31,NA
195460,Paratyphoid A fever,Condition,SNOMED,Disorder,S,76623002,2002-01-31,2099-12-31,NA
195461,Staphylococcal enterocolitis,Condition,SNOMED,Disorder,S,32527003,2002-01-31,2099-12-31,NA
195462,Intestinal infection caused by Pseudomonas,Condition,SNOMED,Disorder,S,82930004,2002-01-31,2099-12-31,NA
195743,Diphtheritic cystitis,Condition,SNOMED,Disorder,S,48278001,2002-01-31,2099-12-31,NA
196019,"Tuberculosis of intestines, peritoneum and mesenteric glands",Condition,SNOMED,Disorder,S,186225008,2002-01-31,2099-12-31,NA
196324,Food poisoning caused by Clostridium perfringens,Condition,SNOMED,Disorder,S,70014009,2002-01-31,2099-12-31,NA
196328,Salmonella gastroenteritis,Condition,SNOMED,Disorder,S,42338000,2002-01-31,2099-12-31,NA
196338,Chronic gonococcal cystitis,Condition,SNOMED,Disorder,S,88813005,2002-01-31,2099-12-31,NA
196345,Gonococcal peritonitis,Condition,SNOMED,Disorder,S,186939000,2002-01-31,2099-12-31,NA
196894,Intestinal infection caused by Arizona group,Condition,SNOMED,Disorder,S,90271007,2002-01-31,2099-12-31,NA
197204,Tuberculosis of female genital organs,Condition,SNOMED,Disorder,S,74181004,2002-01-31,2099-12-31,NA
197782,Whipple's disease,Condition,SNOMED,Disorder,S,41545003,2002-01-31,2099-12-31,NA
197790,Diphtheritic peritonitis,Condition,SNOMED,Disorder,S,13596001,2002-01-31,2099-12-31,NA
198076,Chlamydial peritonitis,Condition,SNOMED,Disorder,S,197172005,2002-01-31,2099-12-31,NA
198334,Enteric campylobacteriosis,Condition,SNOMED,Disorder,S,18081009,2002-01-31,2099-12-31,NA
198336,Tuberculous salpingitis,Condition,SNOMED,Disorder,S,49558004,2002-01-31,2099-12-31,NA
198345,Syphilitic peritonitis,Condition,SNOMED,Disorder,S,34964002,2002-01-31,2099-12-31,NA
