concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
433374,Fall due to roller skates or skateboard,Observation,SNOMED,Event,S,242397005,2002-01-31,2099-12-31,NA
433946,Fall on same level due to impact against another person,Observation,SNOMED,Event,S,274919008,2002-01-31,2099-12-31,NA
437175,"Fall on same level from slipping, tripping or stumbling",Observation,SNOMED,Event,S,217154006,2002-01-31,2099-12-31,NA
438303,Fall on same level from sports contact,Observation,SNOMED,Event,S,217161005,2002-01-31,2099-12-31,NA
1447569,Fall on same level due to deliberate assault by push,Observation,SNOMED,Event,S,1345137003,2024-09-01,2099-12-31,NA
4053863,Fall due to slipping on ice or snow,Observation,SNOMED,Event,S,242387001,2002-01-31,2099-12-31,NA
4053864,Fall due to defective pavement,Observation,SNOMED,Event,S,242393009,2002-01-31,2099-12-31,NA
4053865,Fall due to accidental trip by another person,Observation,SNOMED,Event,S,242394003,2002-01-31,2099-12-31,NA
4053867,Fall on same level due to accidental impact with another person,Observation,SNOMED,Event,S,242402009,2002-01-31,2099-12-31,NA
4054086,Fall on ice wearing ice-skates,Observation,SNOMED,Event,S,242388006,2002-01-31,2099-12-31,NA
4054087,Fall due to wet surface,Observation,SNOMED,Event,S,242389003,2002-01-31,2099-12-31,NA
4054088,Fall due to uneven surface indoors,Observation,SNOMED,Event,S,242396001,2002-01-31,2099-12-31,NA
4054090,Fall due to impact against pedestrian conveyance,Observation,SNOMED,Event,S,242404005,2002-01-31,2099-12-31,NA
4054091,Fall due to impact against supermarket shopping cart,Observation,SNOMED,Event,S,242406007,2002-01-31,2099-12-31,NA
4054484,Fall due to polished surface,Observation,SNOMED,Event,S,242390007,2002-01-31,2099-12-31,NA
4054485,Fall due to discarded object,Observation,SNOMED,Event,S,242391006,2002-01-31,2099-12-31,NA
4054488,Fall due to impact against wheelbarrow,Observation,SNOMED,Event,S,242407003,2002-01-31,2099-12-31,NA
4072954,Fall in bath or shower,Observation,SNOMED,Event,S,242392004,2002-01-31,2099-12-31,NA
4072955,Fall due to trip on loose carpet,Observation,SNOMED,Event,S,242395002,2002-01-31,2099-12-31,NA
4072956,Fall on same level due to deliberate assault by another person,Observation,SNOMED,Event,S,242403004,2002-01-31,2099-12-31,NA
4072957,Fall due to impact against baby buggy,Observation,SNOMED,Event,S,242405006,2002-01-31,2099-12-31,NA
4140830,Fall on same level,Observation,SNOMED,Event,S,33036003,2002-01-31,2099-12-31,NA
4151392,Fall on same level from impact against object,Observation,SNOMED,Event,S,269699007,2002-01-31,2099-12-31,NA
4168384,Fall on same level due to nature of surface,Observation,SNOMED,Event,S,274918000,2002-01-31,2099-12-31,NA
4311377,Fall on moving sidewalk,Observation,SNOMED,Event,S,217158009,2002-01-31,2099-12-31,NA
4311378,Fall from tackle in sport,Observation,SNOMED,Event,S,217162003,2002-01-31,2099-12-31,NA
4315647,Fall on same level from slipping,Observation,SNOMED,Event,S,217155007,2002-01-31,2099-12-31,NA
4316837,Fall on same level from tripping,Observation,SNOMED,Event,S,217156008,2002-01-31,2099-12-31,NA
4316838,Fall on same level from stumbling,Observation,SNOMED,Event,S,217157004,2002-01-31,2099-12-31,NA
