concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
72377,Shoulder girdle dystocia,Condition,SNOMED,Disorder,S,89700002,2002-01-31,2099-12-31,NA
76487,Deep transverse arrest,Condition,SNOMED,Disorder,S,1343000,2002-01-31,2099-12-31,NA
78650,Complication of reattached upper extremity,Condition,SNOMED,Disorder,S,82427000,2002-01-31,2099-12-31,NA
81685,Fracture of clavicle due to birth trauma,Condition,SNOMED,Disorder,S,206209004,2002-01-31,2099-12-31,NA
133650,Complication of reattached forearm,Condition,SNOMED,Disorder,S,213157000,2002-01-31,2099-12-31,NA
135779,Iatrogenic thyroiditis,Condition,SNOMED,Disorder,S,61556008,2002-01-31,2099-12-31,NA
138056,Subcutaneous emphysema due to procedure,Condition,SNOMED,Disorder,S,23851004,2002-01-31,2099-12-31,NA
138299,Complication of reattached extremity AND/OR body part,Condition,SNOMED,Disorder,S,24854000,2002-01-31,2099-12-31,NA
192694,Obstructed labor caused by pelvic soft tissues,Condition,SNOMED,Disorder,S,199767004,2002-01-31,2099-12-31,NA
192698,Hypertonic uterine dysfunction,Condition,SNOMED,Disorder,S,34981006,2002-01-31,2099-12-31,NA
192974,Secondary uterine inertia,Condition,SNOMED,Disorder,S,43715006,2002-01-31,2099-12-31,NA
192979,Obstetric high vaginal laceration,Condition,SNOMED,Disorder,S,199977005,2002-01-31,2099-12-31,NA
193827,Obstructed labor,Condition,SNOMED,Disorder,S,199746004,2002-01-31,2099-12-31,NA
193830,Third degree perineal laceration,Condition,SNOMED,Disorder,S,10217006,2002-01-31,2099-12-31,NA
194100,Obstructed labor due to fetal malposition,Condition,SNOMED,Disorder,S,199747008,2002-01-31,2099-12-31,NA
195329,Inversion of uterus during delivery,Condition,SNOMED,Disorder,S,23885003,2002-01-31,2099-12-31,NA
195981,Complication of reattached lower extremity,Condition,SNOMED,Disorder,S,32600006,2002-01-31,2099-12-31,NA
197051,Obstructed labor caused by bony pelvis,Condition,SNOMED,Disorder,S,199757009,2002-01-31,2099-12-31,NA
197089,Peripheral nerve injury due to birth trauma,Condition,SNOMED,Disorder,S,206235003,2002-01-31,2099-12-31,NA
197343,First degree perineal laceration,Condition,SNOMED,Disorder,S,57759005,2002-01-31,2099-12-31,NA
197444,Vascular complication of medical care,Condition,SNOMED,Disorder,S,28104001,2002-01-31,2099-12-31,NA
197625,Third stage hemorrhage,Condition,SNOMED,Disorder,S,47236005,2002-01-31,2099-12-31,NA
197938,Uterine inertia,Condition,SNOMED,Disorder,S,26158002,2002-01-31,2099-12-31,NA
198221,Pelvic hematoma during delivery,Condition,SNOMED,Disorder,S,5740008,2002-01-31,2099-12-31,NA
198492,Second degree perineal laceration,Condition,SNOMED,Disorder,S,6234006,2002-01-31,2099-12-31,NA
198495,Fourth degree perineal laceration,Condition,SNOMED,Disorder,S,399031001,2003-07-31,2099-12-31,NA
198496,Fourth degree perineal tear during delivery with postnatal problem,Condition,SNOMED,Disorder,S,199935005,2002-01-31,2099-12-31,NA
