concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
135360,Syncope,Condition,SNOMED,Clinical Finding,S,271594007,2002-01-31,2099-12-31,NA
140586,Heat syncope,Condition,SNOMED,Clinical Finding,S,89797005,2002-01-31,2099-12-31,NA
194856,Hepatic coma due to viral hepatitis A,Condition,SNOMED,Disorder,S,16060001,2002-01-31,2099-12-31,NA
196029,Hepatic coma due to viral hepatitis,Condition,SNOMED,Disorder,S,40946000,2002-01-31,2099-12-31,NA
200031,Hepatic coma due to viral hepatitis B,Condition,SNOMED,Disorder,S,26206000,2002-01-31,2099-12-31,NA
201530,Hyperosmolar coma due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,190331003,2002-01-31,2099-12-31,NA
201531,Hyperosmolar coma due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,190330002,2002-01-31,2099-12-31,NA
372444,Coma in the newborn,Condition,SNOMED,Disorder,S,90224001,2002-01-31,2099-12-31,NA
372448,Loss of consciousness,Observation,SNOMED,Clinical Finding,S,419045004,2006-01-31,2099-12-31,NA
372599,Severe mixed bipolar I disorder without psychotic features,Condition,SNOMED,Disorder,S,46229002,2002-01-31,2099-12-31,NA
372607,Alcohol hallucinosis,Condition,SNOMED,Disorder,S,7052005,2002-01-31,2099-12-31,NA
373175,Organic hallucinosis,Condition,SNOMED,Disorder,S,45912004,2002-01-31,2099-12-31,NA
373176,Organic mood disorder,Condition,SNOMED,Disorder,S,23645006,2002-01-31,2099-12-31,NA
375671,Concussion with loss of consciousness,Condition,SNOMED,Disorder,S,62564004,2002-01-31,2099-12-31,NA
376961,Disturbance of consciousness,Observation,SNOMED,Clinical Finding,S,3006004,2002-01-31,2099-12-31,NA
377604,Hepatic coma,Condition,SNOMED,Disorder,S,72836002,2002-01-31,2099-12-31,NA
377842,Frontal lobe syndrome,Condition,SNOMED,Disorder,S,129606007,2002-01-31,2099-12-31,NA
378163,Hyperacusis,Condition,SNOMED,Disorder,S,25289003,2002-01-31,2099-12-31,NA
380375,Organic personality disorder,Condition,SNOMED,Disorder,S,36217008,2002-01-31,2099-12-31,NA
380688,Hypoglycemic coma,Condition,SNOMED,Disorder,S,267384006,2002-01-31,2099-12-31,NA
380834,Coma,Condition,SNOMED,Disorder,S,371632003,2002-07-31,2099-12-31,NA
380844,Prolonged loss of consciousness,Observation,SNOMED,Clinical Finding,S,7862002,2002-01-31,2099-12-31,NA
381135,Brief loss of consciousness,Observation,SNOMED,Clinical Finding,S,32834005,2002-01-31,2099-12-31,NA
381537,Organic anxiety disorder,Condition,SNOMED,Disorder,S,17496003,2002-01-31,2099-12-31,NA
381966,Moderate loss of consciousness,Observation,SNOMED,Clinical Finding,S,40863000,2002-01-31,2099-12-31,NA
432285,Recurrent major depressive episodes,Condition,SNOMED,Disorder,S,268621008,2002-01-31,2099-12-31,NA
432290,"Mild bipolar I disorder, single manic episode",Condition,SNOMED,Disorder,S,41552001,2002-01-31,2099-12-31,NA
432300,Latent schizophrenia in remission,Condition,SNOMED,Disorder,S,191565008,2002-01-31,2099-12-31,NA
432301,Opioid dependence in remission,Condition,SNOMED,Disorder,S,191821007,2002-01-31,2099-12-31,NA
432302,Cocaine dependence in remission,Condition,SNOMED,Disorder,S,191833002,2002-01-31,2099-12-31,NA
432303,Harmful pattern of use of cocaine,Condition,SNOMED,Disorder,S,78267003,2002-01-31,2099-12-31,NA
432304,"Hallucinogen dependence, episodic",Condition,SNOMED,Disorder,S,191850000,2002-01-31,2099-12-31,NA
432600,Stress reaction causing mixed disturbance of emotion and conduct,Condition,SNOMED,Disorder,S,192044009,2002-01-31,2099-12-31,NA
432601,Childhood and adolescent disturbance with elective mutism,Condition,SNOMED,Disorder,S,268669006,2002-01-31,2099-12-31,NA
432611,Explosive personality disorder,Condition,SNOMED,Disorder,S,231527003,2002-01-31,2099-12-31,NA
432612,Mild intellectual disability,Condition,SNOMED,Disorder,S,86765009,2002-01-31,2099-12-31,NA
432866,"Bipolar I disorder, single manic episode",Condition,SNOMED,Disorder,S,9340000,2002-01-31,2099-12-31,NA
432876,Bipolar I disorder,Condition,SNOMED,Disorder,S,371596008,2002-07-31,2099-12-31,NA
432883,"Recurrent major depressive episodes, moderate",Condition,SNOMED,Disorder,S,191611001,2002-01-31,2099-12-31,NA
432898,Severe intellectual disability,Condition,SNOMED,Disorder,S,40700009,2002-01-31,2099-12-31,NA
433031,Hallucinations,Condition,SNOMED,Clinical Finding,S,7011001,2002-01-31,2099-12-31,NA
433178,Anxiety disorder of childhood OR adolescence,Condition,SNOMED,Disorder,S,109006,2002-01-31,2099-12-31,NA
433180,Hallucinogen dependence,Condition,SNOMED,Disorder,S,38247002,2002-01-31,2099-12-31,NA
433440,Dysthymia,Condition,SNOMED,Disorder,S,78667006,2002-01-31,2099-12-31,NA
433452,"Cannabis dependence, continuous",Condition,SNOMED,Disorder,S,191837001,2002-01-31,2099-12-31,NA
433453,Motor function behavior finding,Condition,SNOMED,Clinical Finding,S,106129007,2002-01-31,2099-12-31,NA
433624,Intracranial hemorrhage following injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,13289004,2002-01-31,2099-12-31,NA
433742,Latent schizophrenia,Condition,SNOMED,Disorder,S,191559008,2002-01-31,2099-12-31,NA
433743,Mixed bipolar I disorder in remission,Condition,SNOMED,Disorder,S,35481005,2002-01-31,2099-12-31,NA
433753,Harmful pattern of use of alcohol,Condition,SNOMED,Disorder,S,15167005,2002-01-31,2099-12-31,NA
433991,Recurrent major depression in remission,Condition,SNOMED,Disorder,S,68019004,2002-01-31,2099-12-31,NA
433992,"Bipolar affective disorder, currently manic, moderate",Condition,SNOMED,Disorder,S,191621009,2002-01-31,2099-12-31,NA
433994,"Cocaine dependence, continuous",Condition,SNOMED,Disorder,S,191831000,2002-01-31,2099-12-31,NA
434010,Schizotypal personality disorder,Condition,SNOMED,Disorder,S,31027006,2002-01-31,2099-12-31,NA
434016,Continuous nondependent harmful pattern of use of opioid,Condition,SNOMED,Disorder,S,191912005,2002-01-31,2099-12-31,NA
434019,Continuous nondependent harmful pattern of use of cannabis,Condition,SNOMED,Disorder,S,191893000,2002-01-31,2099-12-31,NA
434253,Victim of terrorism,Observation,SNOMED,Clinical Finding,S,95317002,2002-01-31,2099-12-31,NA
434327,Harmful pattern of use of cannabis,Condition,SNOMED,Disorder,S,37344009,2002-01-31,2099-12-31,NA
434328,Episodic nondependent harmful pattern of use of cannabis,Condition,SNOMED,Disorder,S,191894006,2002-01-31,2099-12-31,NA
434613,Generalized anxiety disorder,Condition,SNOMED,Disorder,S,21897009,2002-01-31,2099-12-31,NA
434626,Borderline personality disorder,Condition,SNOMED,Disorder,S,20010003,2002-01-31,2099-12-31,NA
434628,Separation anxiety,Condition,SNOMED,Disorder,S,126943008,2002-01-31,2099-12-31,NA
434774,Cortex contusion with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,81412002,2002-01-31,2099-12-31,NA
434890,Stereotyped routines,Condition,SNOMED,Clinical Finding,S,84328007,2002-01-31,2099-12-31,NA
434903,Ego-dystonic sexual orientation,Observation,SNOMED,Clinical Finding,S,52813007,2002-01-31,2099-12-31,NA
434911,"Recurrent major depressive episodes, severe, with psychosis",Condition,SNOMED,Disorder,S,191613003,2002-01-31,2099-12-31,NA
434921,Hallucinogen dependence in remission,Condition,SNOMED,Disorder,S,191851001,2002-01-31,2099-12-31,NA
435131,Victim of neglect,Observation,SNOMED,Clinical Finding,S,95930005,2002-01-31,2099-12-31,NA
435220,Severe recurrent major depression without psychotic features,Condition,SNOMED,Disorder,S,36474008,2002-01-31,2099-12-31,NA
435222,Behavior problem of childhood and adolescence,Observation,SNOMED,Clinical Finding,S,386817001,2003-01-31,2099-12-31,NA
435225,Depressed bipolar I disorder in full remission,Condition,SNOMED,Disorder,S,22121000,2002-01-31,2099-12-31,NA
435226,"Bipolar affective disorder, current episode mixed",Condition,SNOMED,Disorder,S,192362008,2002-01-31,2099-12-31,NA
435230,Multiple personality disorder,Condition,SNOMED,Disorder,S,31611000,2002-01-31,2099-12-31,NA
435231,Nondependent harmful pattern of use of cannabis in remission,Condition,SNOMED,Disorder,S,191895007,2002-01-31,2099-12-31,NA
435243,Alcohol dependence,Condition,SNOMED,Disorder,S,66590003,2002-01-31,2099-12-31,NA
435520,Reactive depressive psychosis,Condition,SNOMED,Disorder,S,191676002,2002-01-31,2099-12-31,NA
435532,Episodic chronic alcoholism,Condition,SNOMED,Disorder,S,191812006,2002-01-31,2099-12-31,NA
435534,Continuous nondependent harmful pattern of use of alcohol,Condition,SNOMED,Disorder,S,191882002,2002-01-31,2099-12-31,NA
435798,Episodic nondependent harmful pattern of use of opioid,Condition,SNOMED,Disorder,S,191913000,2002-01-31,2099-12-31,NA
436072,Bipolar disorder in partial remission,Condition,SNOMED,Disorder,S,5703000,2002-01-31,2099-12-31,NA
436074,Panic disorder,Condition,SNOMED,Disorder,S,371631005,2002-07-31,2099-12-31,NA
436079,Mood disorder caused by drug,Condition,SNOMED,Disorder,S,429672007,2008-01-31,2099-12-31,NA
436086,Manic bipolar I disorder in full remission,Condition,SNOMED,Disorder,S,30935000,2002-01-31,2099-12-31,NA
436087,Excitement,Condition,SNOMED,Clinical Finding,S,58901008,2002-01-31,2099-12-31,NA
436088,Nondependent harmful pattern of use of opioid in remission,Condition,SNOMED,Disorder,S,191914006,2002-01-31,2099-12-31,NA
436089,Episodic nondependent harmful pattern of use of cocaine,Condition,SNOMED,Disorder,S,191919001,2002-01-31,2099-12-31,NA
436098,Nondependent harmful pattern of use of cocaine in remission,Condition,SNOMED,Disorder,S,191920007,2002-01-31,2099-12-31,NA
436222,Altered mental status,Observation,SNOMED,Clinical Finding,S,419284004,2006-01-31,2099-12-31,NA
436246,Reduced libido,Observation,SNOMED,Clinical Finding,S,8357008,2002-01-31,2099-12-31,NA
436313,Shaken baby syndrome,Observation,SNOMED,Clinical Finding,S,102458000,2002-01-31,2099-12-31,NA
436371,Harmful pattern of use of barbiturate,Condition,SNOMED,Disorder,S,231462006,2002-01-31,2099-12-31,NA
436386,Severe depressed bipolar I disorder with psychotic features,Condition,SNOMED,Disorder,S,59617007,2002-01-31,2099-12-31,NA
436389,Cocaine dependence,Condition,SNOMED,Disorder,S,31956009,2002-01-31,2099-12-31,NA
436526,Intracranial hemorrhage following injury with prolonged loss of consciousness AND return to pre-existing conscious level,Condition,SNOMED,Disorder,S,127311008,2002-01-31,2099-12-31,NA
436665,Bipolar disorder,Condition,SNOMED,Disorder,S,13746004,2002-01-31,2099-12-31,NA
436676,Posttraumatic stress disorder,Condition,SNOMED,Disorder,S,47505003,2002-01-31,2099-12-31,NA
436682,Moderate intellectual disability,Condition,SNOMED,Disorder,S,61152003,2002-01-31,2099-12-31,NA
436803,Fragile X syndrome,Condition,SNOMED,Disorder,S,613003,2002-01-31,2099-12-31,NA
436817,Feeling nervous,Observation,SNOMED,Clinical Finding,S,424196004,2007-01-31,2099-12-31,NA
436953,Continuous chronic alcoholism,Condition,SNOMED,Disorder,S,191811004,2002-01-31,2099-12-31,NA
436959,Compulsive gambling,Condition,SNOMED,Disorder,S,18085000,2002-01-31,2099-12-31,NA
437106,Intracranial hemorrhage following injury with prolonged loss of consciousness without return to pre-existing conscious level,Condition,SNOMED,Disorder,S,127312001,2002-01-31,2099-12-31,NA
437245,Harmful pattern of use of hallucinogen,Condition,SNOMED,Disorder,S,74851005,2002-01-31,2099-12-31,NA
437249,Recurrent manic episodes,Condition,SNOMED,Disorder,S,191590005,2002-01-31,2099-12-31,NA
437250,Mild depressed bipolar I disorder,Condition,SNOMED,Disorder,S,74686005,2002-01-31,2099-12-31,NA
437255,Passive aggressive personality disorder,Condition,SNOMED,Disorder,S,44966003,2002-01-31,2099-12-31,NA
437264,Tobacco dependence syndrome,Condition,SNOMED,Disorder,S,89765005,2002-01-31,2099-12-31,NA
437385,Intracranial injury with loss of consciousness,Condition,SNOMED,Disorder,S,127297005,2002-01-31,2099-12-31,NA
437449,Victim of child abuse,Observation,SNOMED,Clinical Finding,S,397940009,2003-07-31,2099-12-31,NA
437522,Severe mood disorder without psychotic features,Condition,SNOMED,Disorder,S,88939009,2002-01-31,2099-12-31,NA
437523,Dependent personality disorder,Condition,SNOMED,Disorder,S,84466009,2002-01-31,2099-12-31,NA
437524,Avoidant personality disorder,Condition,SNOMED,Disorder,S,37746008,2002-01-31,2099-12-31,NA
437528,"Bipolar affective disorder, currently depressed, moderate",Condition,SNOMED,Disorder,S,191630001,2002-01-31,2099-12-31,NA
437529,Mixed bipolar I disorder in partial remission,Condition,SNOMED,Disorder,S,36583000,2002-01-31,2099-12-31,NA
