concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
252351,Pneumonia caused by Pseudomonas,Condition,SNOMED,Disorder,S,41381004,2002-01-31,2099-12-31,NA
252548,Anthrax pneumonia,Condition,SNOMED,Disorder,S,195902009,2002-01-31,2099-12-31,NA
252552,Ornithosis with pneumonia,Condition,SNOMED,Disorder,S,81164001,2002-01-31,2099-12-31,NA
252655,Group B streptococcal pneumonia,Condition,SNOMED,Disorder,S,195886008,2002-01-31,2099-12-31,NA
252949,Cytomegaloviral pneumonia,Condition,SNOMED,Disorder,S,7678002,2002-01-31,2099-12-31,NA
253235,Pneumonia in pertussis,Condition,SNOMED,Disorder,S,59475000,2002-01-31,2099-12-31,NA
253790,Pneumonia caused by Klebsiella pneumoniae,Condition,SNOMED,Disorder,S,64479007,2002-01-31,2099-12-31,NA
254066,Pneumonia caused by Chlamydiaceae,Condition,SNOMED,Disorder,S,233609002,2002-01-31,2099-12-31,NA
254266,Tuberculous pneumonia,Condition,SNOMED,Disorder,S,80003002,2002-01-31,2099-12-31,NA
254677,Adenoviral pneumonia,Condition,SNOMED,Disorder,S,41207000,2002-01-31,2099-12-31,NA
255084,Congenital pneumonia,Condition,SNOMED,Disorder,S,78895009,2002-01-31,2099-12-31,NA
255848,Pneumonia,Condition,SNOMED,Disorder,S,233604007,2002-01-31,2099-12-31,NA
256036,Hemorrhagic varicella pneumonia,Condition,SNOMED,Disorder,S,31920006,2002-01-31,2099-12-31,NA
256722,Bronchopneumonia,Condition,SNOMED,Disorder,S,396285007,2003-07-31,2099-12-31,NA
256723,Pneumonia and influenza,Condition,SNOMED,Disorder,S,195878008,2002-01-31,2099-12-31,NA
257315,Bacterial pneumonia,Condition,SNOMED,Disorder,S,53084003,2002-01-31,2099-12-31,NA
257908,Pneumonia caused by anaerobic bacteria,Condition,SNOMED,Disorder,S,409664000,2004-07-31,2099-12-31,NA
258061,Pulmonary tularemia,Condition,SNOMED,Disorder,S,45556008,2002-01-31,2099-12-31,NA
258180,Pneumonia caused by Gram negative bacteria,Condition,SNOMED,Disorder,S,430395005,2008-07-31,2099-12-31,NA
258333,Salmonella pneumonia,Condition,SNOMED,Disorder,S,2523007,2002-01-31,2099-12-31,NA
258354,Pulmonary African histoplasmosis,Condition,SNOMED,Disorder,S,187052004,2002-01-31,2099-12-31,NA
258785,Pneumococcal pneumonia,Condition,SNOMED,Disorder,S,233607000,2002-01-31,2099-12-31,NA
259048,Pneumonia in systemic mycosis,Condition,SNOMED,Disorder,S,84753008,2002-01-31,2099-12-31,NA
259852,Staphylococcal pneumonia,Condition,SNOMED,Disorder,S,22754005,2002-01-31,2099-12-31,NA
259992,Ventilator associated pneumonia,Condition,SNOMED,Disorder,S,429271009,2008-01-31,2099-12-31,NA
260028,Post measles pneumonia,Condition,SNOMED,Disorder,S,191727003,2002-01-31,2099-12-31,NA
260041,Candidiasis of lung,Condition,SNOMED,Disorder,S,3487004,2002-01-31,2099-12-31,NA
260430,Pneumonia caused by Escherichia coli,Condition,SNOMED,Disorder,S,51530003,2002-01-31,2099-12-31,NA
260754,Haemophilus influenzae pneumonia,Condition,SNOMED,Disorder,S,70036007,2002-01-31,2099-12-31,NA
261053,Pneumonia in aspergillosis,Condition,SNOMED,Disorder,S,111900000,2002-01-31,2099-12-31,NA
261324,Pneumonia caused by Streptococcus,Condition,SNOMED,Disorder,S,34020007,2002-01-31,2099-12-31,NA
261326,Viral pneumonia,Condition,SNOMED,Disorder,S,75570004,2002-01-31,2099-12-31,NA
436145,Pneumonia caused by respiratory syncytial virus,Condition,SNOMED,Disorder,S,195881003,2002-01-31,2099-12-31,NA
439857,Parainfluenza virus pneumonia,Condition,SNOMED,Disorder,S,64917006,2002-01-31,2099-12-31,NA
440431,Pneumonia caused by Mycoplasma pneumoniae,Condition,SNOMED,Disorder,S,46970008,2002-01-31,2099-12-31,NA
442637,Secondary pneumonic plague,Condition,SNOMED,Disorder,S,67525007,2002-01-31,2099-12-31,NA
605209,Pneumonia caused by Acinetobacter,Condition,SNOMED,Disorder,S,1010634002,2021-01-31,2099-12-31,NA
607087,Pneumonia caused by vancomycin resistant Enterococcus,Condition,SNOMED,Disorder,S,1149093006,2021-07-31,2099-12-31,NA
1340380,Exacerbation of interstitial pneumonia,Condition,OMOP Extension,Disorder,S,OMOP5166035,2022-05-06,2099-12-31,NA
1340436,Exacerbation of pneumonia,Condition,OMOP Extension,Disorder,S,OMOP5166091,2022-05-06,2099-12-31,NA
1340437,Exacerbation of pneumonia caused by SARS-CoV-2,Condition,OMOP Extension,Disorder,S,OMOP5166092,2022-05-06,2099-12-31,NA
3170862,Methicillin resistant Staphylococcus aureus pneumonia,Condition,Nebraska Lexicon,Clinical Finding,S,31150001000004106,2016-01-28,2099-12-31,NA
3180888,Cystic fibrosis related bronchopneumonia,Condition,Nebraska Lexicon,Clinical Finding,S,21840001000004103,2016-01-28,2099-12-31,NA
3189306,Enterobacter cloacae pneumonia,Condition,Nebraska Lexicon,Clinical Finding,S,30210001000004107,2016-01-28,2099-12-31,NA
3661408,Pneumonia caused by SARS-CoV-2,Condition,SNOMED,Disorder,S,882784691000119100,2020-07-31,2099-12-31,NA
4025165,Abscess of lung with pneumonia,Condition,SNOMED,Disorder,S,196112005,2002-01-31,2099-12-31,NA
4046011,Focal pneumonia,Condition,SNOMED,Disorder,S,123590007,2002-01-31,2099-12-31,NA
4048052,Necrotizing bronchopneumonia,Condition,SNOMED,Disorder,S,123589003,2002-01-31,2099-12-31,NA
4048147,Congenital group A hemolytic streptococcal pneumonia,Condition,SNOMED,Disorder,S,206284006,2002-01-31,2099-12-31,NA
4048148,Congenital Escherichia coli pneumonia,Condition,SNOMED,Disorder,S,206286008,2002-01-31,2099-12-31,NA
4048149,Congenital pseudomonal pneumonia,Condition,SNOMED,Disorder,S,206287004,2002-01-31,2099-12-31,NA
4048517,Acute bronchopneumonia,Condition,SNOMED,Disorder,S,123587001,2002-01-31,2099-12-31,NA
4048518,Confluent bronchopneumonia with abscess formation,Condition,SNOMED,Disorder,S,123588006,2002-01-31,2099-12-31,NA
4048519,Confluent pneumonia,Condition,SNOMED,Disorder,S,123591006,2002-01-31,2099-12-31,NA
4049965,Fungal pneumonia,Condition,SNOMED,Disorder,S,233613009,2002-01-31,2099-12-31,NA
4050869,Atypical pneumonia,Condition,SNOMED,Disorder,S,233606009,2002-01-31,2099-12-31,NA
4050872,Pneumonia due to parasitic infestation,Condition,SNOMED,Disorder,S,233620002,2002-01-31,2099-12-31,NA
4050874,Rickettsial pneumonia,Condition,SNOMED,Disorder,S,233621003,2002-01-31,2099-12-31,NA
4051333,Neonatal chlamydial pneumonia,Condition,SNOMED,Disorder,S,233610007,2002-01-31,2099-12-31,NA
4051335,Hemorrhagic pneumonia,Condition,SNOMED,Disorder,S,233617005,2002-01-31,2099-12-31,NA
4051336,Mycobacterial pneumonia,Condition,SNOMED,Disorder,S,233618000,2002-01-31,2099-12-31,NA
4051337,Neonatal pneumonia,Condition,SNOMED,Disorder,S,233619008,2002-01-31,2099-12-31,NA
4051338,Herpes simplex pneumonia,Condition,SNOMED,Disorder,S,233624006,2002-01-31,2099-12-31,NA
4051339,Giant cell pneumonia,Condition,SNOMED,Disorder,S,233625007,2002-01-31,2099-12-31,NA
