concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
72991,Traumatic arthropathy of multiple sites,Condition,SNOMED,Disorder,S,201940003,2002-01-31,2099-12-31,NA
73289,Pathological dislocation of multiple joints,Condition,SNOMED,Disorder,S,202175000,2002-01-31,2099-12-31,NA
73838,Pyogenic arthritis of multiple sites,Condition,SNOMED,Disorder,S,34934005,2002-01-31,2099-12-31,NA
73851,Effusion of joint of multiple sites,Condition,SNOMED,Disorder,S,36662003,2002-01-31,2099-12-31,NA
74125,Inflammatory polyarthropathy,Condition,SNOMED,Disorder,S,417373000,2005-07-31,2099-12-31,NA
74724,Transient arthropathy of multiple sites,Condition,SNOMED,Disorder,S,201996005,2002-01-31,2099-12-31,NA
75617,Generalized osteoarthritis,Condition,SNOMED,Disorder,S,201819000,2002-01-31,2099-12-31,NA
75897,Polyarthropathy,Condition,SNOMED,Disorder,S,36186002,2002-01-31,2099-12-31,NA
75898,Loose joint body in multiple joints,Condition,SNOMED,Disorder,S,202155009,2002-01-31,2099-12-31,NA
76194,Osteoarthrosis involving multiple sites but not designated as generalized,Condition,SNOMED,Disorder,S,33262002,2002-01-31,2099-12-31,NA
80188,Ankylosis of joint of multiple sites,Condition,SNOMED,Disorder,S,90242006,2002-01-31,2099-12-31,NA
80804,Allergic arthritis of multiple sites,Condition,SNOMED,Disorder,S,201972000,2002-01-31,2099-12-31,NA
80806,Climacteric arthritis of multiple sites,Condition,SNOMED,Disorder,S,201985002,2002-01-31,2099-12-31,NA
81945,Palindromic rheumatism of multiple sites,Condition,SNOMED,Disorder,S,202465007,2002-01-31,2099-12-31,NA
439666,Contracture of multiple joints,Condition,SNOMED,Disorder,S,202264009,2002-01-31,2099-12-31,NA
603005,Polyarticular acute primary gout,Condition,SNOMED,Disorder,S,1153331004,2021-07-31,2099-12-31,NA
603006,Polyarticular chronic gout caused by lead,Condition,SNOMED,Disorder,S,1153332006,2021-07-31,2099-12-31,NA
603008,Polyarticular acute gout caused by lead,Condition,SNOMED,Disorder,S,1153334007,2021-07-31,2099-12-31,NA
607387,Polyarticular chronic primary gouty arthritis,Condition,SNOMED,Disorder,S,1153351000,2021-07-31,2099-12-31,NA
608041,Rheumatoid factor positive and anti-citrullinated protein antibody positive juvenile polyarthritis,Condition,SNOMED,Disorder,S,1156774008,2021-07-31,2099-12-31,NA
608042,Rheumatoid factor positive and anti-citrullinated protein antibody negative juvenile polyarthritis,Condition,SNOMED,Disorder,S,1156777001,2021-07-31,2099-12-31,NA
608043,Rheumatoid factor negative and anti-citrullinated protein antibody negative juvenile polyarthritis,Condition,SNOMED,Disorder,S,1156778006,2021-07-31,2099-12-31,NA
608044,Rheumatoid factor negative and anti-citrullinated protein antibody positive juvenile polyarthritis,Condition,SNOMED,Disorder,S,1156779003,2021-07-31,2099-12-31,NA
618647,Polyarticular viral arthritis,Condition,SNOMED,Disorder,S,71581000119108,2021-07-31,2099-12-31,NA
619732,Distal arthrogryposis type 3,Condition,SNOMED,Disorder,S,897570002,2021-01-31,2099-12-31,NA
761945,Pyogenic bacterial polyarthritis,Condition,SNOMED,Disorder,S,22841000119105,2012-09-01,2099-12-31,NA
762720,Arthritis due to alkaptonuria,Condition,SNOMED,Disorder,S,431011000124103,2012-09-01,2099-12-31,NA
764931,Villous arthropathy of multiple joints,Condition,SNOMED,Disorder,S,86901000119106,2016-03-01,2099-12-31,NA
765773,Polyarthritis associated with hemochromatosis,Condition,SNOMED,Disorder,S,430741000124108,2012-09-01,2099-12-31,NA
1245372,Congenital pontocerebellar hypoplasia type 12,Condition,SNOMED,Disorder,S,1300190004,2024-02-01,2099-12-31,NA
1448446,"Flexion contracture of proximal interphalangeal joints of index, middle, ring and little finger",Condition,SNOMED,Disorder,S,1003723004,2024-12-01,2099-12-31,NA
1449313,Alkuraya Kucinskas syndrome,Condition,SNOMED,Disorder,S,1351836007,2024-12-01,2099-12-31,NA
3168431,Chronic polyarthritis,Condition,Nebraska Lexicon,Clinical Finding,S,9780001000004103,2016-01-28,2099-12-31,NA
4007586,Congenital contractural arachnodactyly,Condition,SNOMED,Disorder,S,205821003,2002-01-31,2099-12-31,NA
4009040,Arthrogryposis,Condition,SNOMED,Disorder,S,111246005,2002-01-31,2099-12-31,NA
4009504,Migratory polyarthritis,Condition,SNOMED,Disorder,S,111211002,2002-01-31,2099-12-31,NA
4025957,Degenerative polyarthritis,Condition,SNOMED,Disorder,S,225655006,2002-01-31,2099-12-31,NA
4033630,Arthritis of temporomandibular joint as part of polyarthritis,Condition,SNOMED,Disorder,S,109663009,2002-01-31,2099-12-31,NA
4034672,Acute infective polyarthritis,Condition,SNOMED,Disorder,S,23950002,2002-01-31,2099-12-31,NA
4035612,Early onset polyarticular juvenile chronic arthritis,Condition,SNOMED,Disorder,S,239799007,2002-01-31,2099-12-31,NA
4066952,Staphylococcal arthritis and polyarthritis,Condition,SNOMED,Disorder,S,201466005,2002-01-31,2099-12-31,NA
4066957,Sexually acquired reactive arthritis of multiple sites,Condition,SNOMED,Disorder,S,201481004,2002-01-31,2099-12-31,NA
4066958,Reactive arthritis of joint of multiple sites due to and following dysentery,Condition,SNOMED,Disorder,S,201504007,2002-01-31,2099-12-31,NA
4067196,Pneumococcal arthritis and polyarthritis,Condition,SNOMED,Disorder,S,201467001,2002-01-31,2099-12-31,NA
4083558,Late onset polyarticular juvenile chronic arthritis,Condition,SNOMED,Disorder,S,239800006,2002-01-31,2099-12-31,NA
4085264,Distal arthrogryposis syndrome,Condition,SNOMED,Disorder,S,24269006,2002-01-31,2099-12-31,NA
4109057,Boomerang dysplasia,Condition,SNOMED,Disorder,S,254054000,2002-01-31,2099-12-31,NA
4109180,Multiple dislocations with dysplasia,Condition,SNOMED,Disorder,S,254098000,2002-01-31,2099-12-31,NA
4111311,Atelosteogenesis type 2,Condition,SNOMED,Disorder,S,254055004,2002-01-31,2099-12-31,NA
4113605,Pseudodiastrophic dysplasia,Condition,SNOMED,Disorder,S,254058002,2002-01-31,2099-12-31,NA
4113729,Desbuquois syndrome,Condition,SNOMED,Disorder,S,254099008,2002-01-31,2099-12-31,NA
4116009,Gouty arthritis of multiple sites,Condition,SNOMED,Disorder,S,201670006,2002-01-31,2099-12-31,NA
4117686,Rheumatoid arthritis of multiple joints,Condition,SNOMED,Disorder,S,287006005,2002-01-31,2099-12-31,NA
4132809,Juvenile seropositive polyarthritis,Condition,SNOMED,Disorder,S,410796000,2004-07-31,2099-12-31,NA
4132810,Juvenile seronegative polyarthritis,Condition,SNOMED,Disorder,S,410797009,2004-07-31,2099-12-31,NA
4147779,Osteoarthritis of multiple joints,Condition,SNOMED,Disorder,S,268054009,2002-01-31,2099-12-31,NA
4151218,Inherited arthrogryposis,Condition,SNOMED,Disorder,S,28204005,2002-01-31,2099-12-31,NA
4153650,Congenital arthrogryposis caused by teratogen,Condition,SNOMED,Disorder,S,370473000,2002-07-31,2099-12-31,NA
4172431,Chronic infective polyarthritis,Condition,SNOMED,Disorder,S,49761000,2002-01-31,2099-12-31,NA
4173925,Post-infective polyarthritis,Condition,SNOMED,Disorder,S,422565003,2007-01-31,2099-12-31,NA
4179092,Acute polyarthritis,Condition,SNOMED,Disorder,S,42898009,2002-01-31,2099-12-31,NA
4184046,Atelosteogenesis,Condition,SNOMED,Disorder,S,43814000,2002-01-31,2099-12-31,NA
4195770,Idiopathic polyarthritis,Condition,SNOMED,Disorder,S,44221002,2002-01-31,2099-12-31,NA
4198076,Polyarthropathy associated with another disorder,Condition,SNOMED,Disorder,S,51891008,2002-01-31,2099-12-31,NA
4203639,Freeman-Sheldon syndrome,Condition,SNOMED,Disorder,S,52616002,2002-01-31,2099-12-31,NA
4218311,Undifferentiated inflammatory polyarthritis,Condition,SNOMED,Disorder,S,416956002,2005-07-31,2099-12-31,NA
4224167,Lipoid dermatoarthritis,Condition,SNOMED,Disorder,S,84241008,2002-01-31,2099-12-31,NA
4227121,Hecht syndrome,Condition,SNOMED,Disorder,S,8757006,2002-01-31,2099-12-31,NA
4238810,Diastrophic dysplasia,Condition,SNOMED,Disorder,S,58561002,2002-01-31,2099-12-31,NA
4243832,Subacute infective polyarthritis,Condition,SNOMED,Disorder,S,60140004,2002-01-31,2099-12-31,NA
4245641,Chlamydial polyarthritis,Condition,SNOMED,Disorder,S,59484000,2002-01-31,2099-12-31,NA
4254769,Polyarthritis caused by Erysipelothrix rhusiopathiae,Condition,SNOMED,Disorder,S,410020008,2004-07-31,2099-12-31,NA
4265212,Familial arthrogryposis-cholestatic hepatorenal syndrome,Condition,SNOMED,Disorder,S,62216007,2002-01-31,2099-12-31,NA
4265764,Polyarthritis associated with another disorder,Condition,SNOMED,Disorder,S,6211002,2002-01-31,2099-12-31,NA
4266078,Infective polyarthritis,Condition,SNOMED,Disorder,S,61126009,2002-01-31,2099-12-31,NA
4266181,Fibroblastic rheumatism,Condition,SNOMED,Disorder,S,399964004,2003-07-31,2099-12-31,NA
4269041,Pena-Shokeir syndrome type I,Condition,SNOMED,Disorder,S,401138005,2003-07-31,2099-12-31,NA
4272804,Larsen syndrome,Condition,SNOMED,Disorder,S,63387002,2002-01-31,2099-12-31,NA
4322887,Arthropathy of multiple joints associated with a neurological disorder,Condition,SNOMED,Disorder,S,428106000,2008-01-31,2099-12-31,NA
4344281,Congenital muscular dystrophy with arthrogryposis multiplex congenita,Condition,SNOMED,Disorder,S,240061000,2002-01-31,2099-12-31,NA
35622034,Lethal congenital contracture syndrome type 5,Condition,SNOMED,Disorder,S,763346009,2018-07-31,2099-12-31,NA
35622121,X-linked lethal multiple pterygium syndrome,Condition,SNOMED,Disorder,S,763462004,2018-07-31,2099-12-31,NA
35622345,Larsen-like syndrome B3GAT3 type,Condition,SNOMED,Disorder,S,763778003,2018-07-31,2099-12-31,NA
35622689,Autosomal recessive myogenic arthrogryposis multiplex congenita,Condition,SNOMED,Disorder,S,764812008,2018-07-31,2099-12-31,NA
