concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
435642,Disturbance in speech,Condition,SNOMED,Clinical Finding,S,29164008,2002-01-31,2099-12-31,NA
441594,Dysphasia,Condition,SNOMED,Clinical Finding,S,20301004,2002-01-31,2099-12-31,NA
762097,Dysarthria due to and following spontaneous intracranial subarachnoid hemorrhage,Condition,SNOMED,Disorder,S,291651000119101,2017-09-01,2099-12-31,NA
762098,Dysarthria due to and following spontaneous intracerebral hemorrhage,Condition,SNOMED,Disorder,S,291741000119108,2017-09-01,2099-12-31,NA
765134,Dysphasia due to and following spontaneous subarachnoid hemorrhage,Condition,SNOMED,Disorder,S,291641000119103,2017-09-01,2099-12-31,NA
765135,Dysphasia due to and following spontaneous intracerebral hemorrhage,Condition,SNOMED,Disorder,S,291731000119104,2017-09-01,2099-12-31,NA
3169760,Dysphasia complicating stroke,Condition,Nebraska Lexicon,Clinical Finding,S,5430001000004105,2016-01-28,2099-12-31,NA
4009721,Staccato speech,Condition,SNOMED,Clinical Finding,S,102936006,2002-01-31,2099-12-31,NA
4011624,Embololalia,Condition,SNOMED,Clinical Finding,S,102934009,2002-01-31,2099-12-31,NA
4011625,Mimmation,Condition,SNOMED,Clinical Finding,S,102937002,2002-01-31,2099-12-31,NA
4012110,Mirror speech,Condition,SNOMED,Clinical Finding,S,102933003,2002-01-31,2099-12-31,NA
4025836,Verbigeration,Condition,SNOMED,Clinical Finding,S,19538009,2002-01-31,2099-12-31,NA
4027310,Impairment of voice production,Condition,SNOMED,Clinical Finding,S,228144006,2002-01-31,2099-12-31,NA
4027311,Impairment of speech form,Condition,SNOMED,Clinical Finding,S,228145007,2002-01-31,2099-12-31,NA
4036950,Has difficulty with speech,Condition,SNOMED,Clinical Finding,S,162294008,2002-01-31,2099-12-31,NA
4039732,Frontal dynamic dysphasia,Condition,SNOMED,Disorder,S,229656001,2002-01-31,2099-12-31,NA
4039734,Expressive dysphasia,Condition,SNOMED,Clinical Finding,S,229665008,2002-01-31,2099-12-31,NA
4039737,Dysarthria of velopharynx,Condition,SNOMED,Clinical Finding,S,229691009,2002-01-31,2099-12-31,NA
4040417,Efferent motor dysphasia,Condition,SNOMED,Clinical Finding,S,229666009,2002-01-31,2099-12-31,NA
4040425,Extrapyramidal dysarthria,Condition,SNOMED,Clinical Finding,S,229688009,2002-01-31,2099-12-31,NA
4041817,Immature sound system,Condition,SNOMED,Clinical Finding,S,229722000,2002-01-31,2099-12-31,NA
4041826,Developmental dysphasia,Condition,SNOMED,Clinical Finding,S,229747003,2002-01-31,2099-12-31,NA
4042719,Broca's dysphasia,Condition,SNOMED,Clinical Finding,S,229654003,2002-01-31,2099-12-31,NA
4042720,Transcortical sensory dysphasia,Condition,SNOMED,Disorder,S,229658000,2002-01-31,2099-12-31,NA
4042721,Mixed dysphasia,Condition,SNOMED,Disorder,S,229662006,2002-01-31,2099-12-31,NA
4043885,Congenital expressive dysphasia,Condition,SNOMED,Disorder,S,230787005,2002-01-31,2099-12-31,NA
4043886,Congenital receptive dysphasia,Condition,SNOMED,Disorder,S,230788000,2002-01-31,2099-12-31,NA
4044417,Spastic dysarthria,Condition,SNOMED,Clinical Finding,S,229684006,2002-01-31,2099-12-31,NA
4044418,Flaccid dysarthria,Condition,SNOMED,Clinical Finding,S,229685007,2002-01-31,2099-12-31,NA
4044419,Dysarthriapneumophonia,Condition,SNOMED,Clinical Finding,S,229690005,2002-01-31,2099-12-31,NA
4045741,Dysarthria-clumsy hand syndrome,Condition,SNOMED,Disorder,S,230703006,2002-01-31,2099-12-31,NA
4045845,Congenital dysarthria,Condition,SNOMED,Disorder,S,230785002,2002-01-31,2099-12-31,NA
4046085,Non-Alzheimer's progressive dysphasia,Condition,SNOMED,Disorder,S,230279005,2002-01-31,2099-12-31,NA
4046810,Transcortical motor dysphasia,Condition,SNOMED,Disorder,S,229655002,2002-01-31,2099-12-31,NA
4046811,Mixed transcortical dysphasia,Condition,SNOMED,Disorder,S,229659008,2002-01-31,2099-12-31,NA
4046909,Congenital dysphasia,Condition,SNOMED,Disorder,S,230786001,2002-01-31,2099-12-31,NA
4047105,Receptive dysphasia,Condition,SNOMED,Disorder,S,229664007,2002-01-31,2099-12-31,NA
4047112,Mixed dysarthria,Condition,SNOMED,Clinical Finding,S,229686008,2002-01-31,2099-12-31,NA
4047113,Cerebellar dysarthria,Condition,SNOMED,Clinical Finding,S,229687004,2002-01-31,2099-12-31,NA
4111812,Does not use pulmonic airstream for speech,Condition,SNOMED,Clinical Finding,S,286221003,2002-01-31,2099-12-31,NA
4111814,Unable to use glottalic airstream for speech,Condition,SNOMED,Clinical Finding,S,286225007,2002-01-31,2099-12-31,NA
4111816,Difficulty using glottalic airstream for speech,Condition,SNOMED,Clinical Finding,S,286228009,2002-01-31,2099-12-31,NA
4111828,Does not make speech sounds,Condition,SNOMED,Clinical Finding,S,286257008,2002-01-31,2099-12-31,NA
4111840,Difficulty using sounds in isolation,Condition,SNOMED,Clinical Finding,S,286304005,2002-01-31,2099-12-31,NA
4111955,Difficulty using blended sounds,Condition,SNOMED,Clinical Finding,S,286324009,2002-01-31,2099-12-31,NA
4114553,Unable to use pulmonic airstream for speech,Condition,SNOMED,Clinical Finding,S,286219008,2002-01-31,2099-12-31,NA
4114554,Difficulty using pulmonic airstream for speech,Condition,SNOMED,Clinical Finding,S,286222005,2002-01-31,2099-12-31,NA
4114557,Difficulty using velaric airstream for speech,Condition,SNOMED,Clinical Finding,S,286234002,2002-01-31,2099-12-31,NA
4114562,Difficulty making speech sounds,Condition,SNOMED,Clinical Finding,S,286258003,2002-01-31,2099-12-31,NA
4114573,Does not imitate speech sounds,Condition,SNOMED,Clinical Finding,S,286291007,2002-01-31,2099-12-31,NA
4114574,Difficulty imitating speech sounds,Condition,SNOMED,Clinical Finding,S,286292000,2002-01-31,2099-12-31,NA
4114580,Unable to use sounds in isolation,Condition,SNOMED,Clinical Finding,S,286303004,2002-01-31,2099-12-31,NA
4114583,Unable to use single consonant,Condition,SNOMED,Clinical Finding,S,286311009,2002-01-31,2099-12-31,NA
