concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
28060,Streptococcal sore throat,Condition,SNOMED,Disorder,S,43878008,2002-01-31,2099-12-31,NA
132392,Staphylococcal scalded skin syndrome,Condition,SNOMED,Disorder,S,200946001,2002-01-31,2099-12-31,NA
138346,Erysipelas,Condition,SNOMED,Disorder,S,44653001,2002-01-31,2099-12-31,NA
141213,Scarlet fever,Condition,SNOMED,Disorder,S,30242009,2002-01-31,2099-12-31,NA
192361,Pneumococcal peritonitis,Condition,SNOMED,Disorder,S,58710009,2002-01-31,2099-12-31,NA
195461,Staphylococcal enterocolitis,Condition,SNOMED,Disorder,S,32527003,2002-01-31,2099-12-31,NA
252655,Group B streptococcal pneumonia,Condition,SNOMED,Disorder,S,195886008,2002-01-31,2099-12-31,NA
258785,Pneumococcal pneumonia,Condition,SNOMED,Disorder,S,233607000,2002-01-31,2099-12-31,NA
259852,Staphylococcal pneumonia,Condition,SNOMED,Disorder,S,22754005,2002-01-31,2099-12-31,NA
261324,Pneumonia caused by Streptococcus,Condition,SNOMED,Disorder,S,34020007,2002-01-31,2099-12-31,NA
432879,Pneumococcal meningitis,Condition,SNOMED,Disorder,S,51169003,2002-01-31,2099-12-31,NA
433125,Infection caused by Staphylococcus aureus,Condition,SNOMED,Disorder,S,406602003,2004-01-31,2099-12-31,NA
435459,Staphylococcal infectious disease,Condition,SNOMED,Disorder,S,56038003,2002-01-31,2099-12-31,NA
436090,Staphylococcal meningitis,Condition,SNOMED,Disorder,S,12166008,2002-01-31,2099-12-31,NA
437779,Streptococcal infectious disease,Condition,SNOMED,Disorder,S,85769006,2002-01-31,2099-12-31,NA
440328,Pneumococcal infectious disease,Condition,SNOMED,Disorder,S,16814004,2002-01-31,2099-12-31,NA
440390,Streptococcal meningitis,Condition,SNOMED,Disorder,S,4510004,2002-01-31,2099-12-31,NA
440940,Methicillin resistant Staphylococcus aureus infection,Condition,SNOMED,Disorder,S,266096002,2002-01-31,2099-12-31,NA
601026,Left hip joint arthritis caused by Streptococcus pneumoniae,Condition,SNOMED,Disorder,S,317811000119100,2021-07-31,2099-12-31,NA
601027,Left shoulder region pneumococcal arthritis,Condition,SNOMED,Disorder,S,317831000119105,2021-07-31,2099-12-31,NA
601028,Right hip joint arthritis caused by Streptococcus pneumoniae,Condition,SNOMED,Disorder,S,317881000119106,2021-07-31,2099-12-31,NA
601029,Right shoulder region pneumococcal arthritis,Condition,SNOMED,Disorder,S,317901000119108,2021-07-31,2099-12-31,NA
605409,Arthritis of right hip caused by Streptococcus,Condition,SNOMED,Disorder,S,1073141000119105,2021-01-31,2099-12-31,NA
605410,Arthritis of left hip caused by Streptococcus,Condition,SNOMED,Disorder,S,1073151000119107,2021-01-31,2099-12-31,NA
605411,Arthritis of right ankle caused by Streptococcus,Condition,SNOMED,Disorder,S,1073181000119100,2021-01-31,2099-12-31,NA
605412,Arthritis of left ankle caused by Streptococcus,Condition,SNOMED,Disorder,S,1073201000119104,2021-01-31,2099-12-31,NA
606029,Neonatal staphylococcal mastitis,Condition,SNOMED,Disorder,S,1142032003,2021-07-31,2099-12-31,NA
606033,Neonatal pyoderma caused by Streptococcus pyogenes,Condition,SNOMED,Disorder,S,1142037009,2021-07-31,2099-12-31,NA
606034,Neonatal staphylococcal necrotizing fasciitis,Condition,SNOMED,Disorder,S,1142039007,2021-07-31,2099-12-31,NA
606076,Perinatal staphylococcal infection,Condition,SNOMED,Disorder,S,1142101002,2021-07-31,2099-12-31,NA
606077,Perinatal streptococcal infection,Condition,SNOMED,Disorder,S,1142102009,2021-07-31,2099-12-31,NA
606140,Neonatal necrotizing fasciitis caused by Streptococcus,Condition,SNOMED,Disorder,S,1142205000,2021-07-31,2099-12-31,NA
607088,Meningitis caused by Streptococcus suis,Condition,SNOMED,Disorder,S,1149095004,2021-07-31,2099-12-31,NA
609231,Urinary tract infection caused by Streptococcus agalactiae,Condition,SNOMED,Disorder,S,16916631000119104,2021-01-31,2099-12-31,NA
759843,Acute tonsillitis caused by Streptococcus,Condition,SNOMED,Disorder,S,10629271000119107,2016-09-01,2099-12-31,NA
760984,Sepsis without acute organ dysfunction caused by Streptococcus pneumoniae,Condition,SNOMED,Disorder,S,127121000119101,2017-09-01,2099-12-31,NA
1075948,Staphylococcal arthritis of left hip,Condition,SNOMED,Disorder,S,1332552007,2024-06-01,2099-12-31,NA
1075949,Staphylococcal arthritis of right hip,Condition,SNOMED,Disorder,S,1332553002,2024-06-01,2099-12-31,NA
1076529,Staphylococcal arthritis of bilateral hips,Condition,SNOMED,Disorder,S,15689961000119105,2024-06-01,2099-12-31,NA
1076530,Staphylococcal arthritis of bilateral hands,Condition,SNOMED,Disorder,S,15690001000119102,2024-06-01,2099-12-31,NA
1076886,Staphylococcal arthritis of hand,Condition,SNOMED,Disorder,S,300011000119109,2024-06-01,2099-12-31,NA
1076887,Staphylococcal arthritis of hip,Condition,SNOMED,Disorder,S,300021000119102,2024-06-01,2099-12-31,NA
1076988,Staphylococcal arthritis of left hand,Condition,SNOMED,Disorder,S,321671000119105,2024-06-01,2099-12-31,NA
1076989,Staphylococcal arthritis of right hand,Condition,SNOMED,Disorder,S,321741000119108,2024-06-01,2099-12-31,NA
1076990,Staphylococcal arthritis of intervertebral joint,Condition,SNOMED,Disorder,S,321791000119100,2024-06-01,2099-12-31,NA
1244126,Arthritis of joint of right foot caused by Staphylococcus,Condition,SNOMED,Disorder,S,1073021000119100,2024-02-01,2099-12-31,NA
1244127,Arthritis of joint of left foot caused by Staphylococcus,Condition,SNOMED,Disorder,S,1073031000119102,2024-02-01,2099-12-31,NA
1244128,Arthritis of joint of right elbow caused by Streptococcus,Condition,SNOMED,Disorder,S,1073081000119101,2024-02-01,2099-12-31,NA
1244129,Arthritis of joint of left elbow caused by Streptococcus,Condition,SNOMED,Disorder,S,1073091000119103,2024-02-01,2099-12-31,NA
1244130,Arthritis of joint of right wrist region caused by Streptococcus,Condition,SNOMED,Disorder,S,1073101000119108,2024-02-01,2099-12-31,NA
1244131,Arthritis of joint of left wrist region caused by Streptococcus,Condition,SNOMED,Disorder,S,1073111000119106,2024-02-01,2099-12-31,NA
1244132,Arthritis of joint of right hand caused by Streptococcus,Condition,SNOMED,Disorder,S,1073121000119104,2024-02-01,2099-12-31,NA
