concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
132780,Superficial injury of face with infection,Condition,SNOMED,Disorder,S,44422006,2002-01-31,2099-12-31,NA
134210,Abrasion and/or friction burn of face with infection,Condition,SNOMED,Disorder,S,111703006,2002-01-31,2099-12-31,NA
134232,Epidermal burn of scalp,Condition,SNOMED,Disorder,S,7765006,2002-01-31,2099-12-31,NA
136566,Epidermal burn of lip,Condition,SNOMED,Disorder,S,78202006,2002-01-31,2099-12-31,NA
137436,Epidermal burn of nose,Condition,SNOMED,Disorder,S,58340008,2002-01-31,2099-12-31,NA
138296,Epidermal burn of chin,Condition,SNOMED,Disorder,S,10137002,2002-01-31,2099-12-31,NA
138906,Superficial injury of face without infection,Condition,SNOMED,Disorder,S,28417005,2002-01-31,2099-12-31,NA
141173,Abrasion and/or friction burn of face without infection,Condition,SNOMED,Disorder,S,66176005,2002-01-31,2099-12-31,NA
141753,Epidermal burn of ear,Condition,SNOMED,Disorder,S,9269007,2002-01-31,2099-12-31,NA
373638,Superficial injury of cornea,Condition,SNOMED,Disorder,S,62635000,2002-01-31,2099-12-31,NA
373648,Superficial injury of eyelid AND/OR periocular area,Condition,SNOMED,Disorder,S,63943002,2002-01-31,2099-12-31,NA
376267,Superficial injury of conjunctiva,Condition,SNOMED,Disorder,S,7581004,2002-01-31,2099-12-31,NA
376564,Superficial injury of eye,Condition,SNOMED,Disorder,S,78598000,2002-01-31,2099-12-31,NA
442554,Nonvenomous insect bite of face without infection,Condition,SNOMED,Disorder,S,71696000,2002-01-31,2099-12-31,NA
442623,Abrasion and/or friction burn of scalp without infection,Condition,SNOMED,Disorder,S,62603000,2002-01-31,2099-12-31,NA
443176,"Insect bite, nonvenomous, of scalp",Condition,SNOMED,Disorder,S,211010006,2002-01-31,2099-12-31,NA
443178,"Insect bite, nonvenomous, of face",Condition,SNOMED,Disorder,S,211008009,2002-01-31,2099-12-31,NA
443766,Abrasion and/or friction burn of scalp with infection,Condition,SNOMED,Disorder,S,26652002,2002-01-31,2099-12-31,NA
443772,Superficial injury of scalp with infection,Condition,SNOMED,Disorder,S,26492007,2002-01-31,2099-12-31,NA
444103,Nonvenomous insect bite of face with infection,Condition,SNOMED,Disorder,S,10662001,2002-01-31,2099-12-31,NA
444368,Nonvenomous insect bite of scalp with infection,Condition,SNOMED,Disorder,S,70294003,2002-01-31,2099-12-31,NA
600768,Traumatic blister of gingiva,Condition,SNOMED,Disorder,S,8891000119108,2021-07-31,2099-12-31,NA
602323,Superficial injury of tongue,Condition,SNOMED,Disorder,S,11847571000119103,2021-07-31,2099-12-31,NA
603209,Foreign body in skin of right ear,Condition,SNOMED,Disorder,S,11843231000119107,2021-07-31,2099-12-31,NA
603210,Foreign body in skin of left ear,Condition,SNOMED,Disorder,S,11843311000119105,2021-07-31,2099-12-31,NA
603211,Traumatic blister of tongue,Condition,SNOMED,Disorder,S,11855251000119102,2021-07-31,2099-12-31,NA
605495,Right superficial conjunctival injury,Condition,SNOMED,Disorder,S,10900111000119107,2021-07-31,2099-12-31,NA
605496,Left superficial conjunctival injury,Condition,SNOMED,Disorder,S,10900151000119108,2021-07-31,2099-12-31,NA
609302,Abrasion of mouth region,Condition,SNOMED,Disorder,S,347218661000119103,2021-07-31,2099-12-31,NA
618716,Superficial foreign body in lip,Condition,SNOMED,Disorder,S,874837003,2021-01-31,2099-12-31,NA
618717,Foreign body in gingival mucous membrane,Condition,SNOMED,Disorder,S,874838008,2021-01-31,2099-12-31,NA
618719,Foreign body in skin of ear,Condition,SNOMED,Disorder,S,874840003,2021-01-31,2099-12-31,NA
618721,Foreign body in skin of face,Condition,SNOMED,Disorder,S,874842006,2021-01-31,2099-12-31,NA
618740,Nonvenomous insect bite of gum,Condition,SNOMED,Disorder,S,874914008,2021-01-31,2099-12-31,NA
618741,Superficial injury of gum,Condition,SNOMED,Disorder,S,874915009,2021-01-31,2099-12-31,NA
618742,Nonvenomous insect bite of nose,Condition,SNOMED,Disorder,S,874916005,2021-01-31,2099-12-31,NA
618786,Foreign body in skin of scalp with infection,Condition,SNOMED,Disorder,S,876803008,2021-01-31,2099-12-31,NA
618790,Foreign body in gingival mucous membrane with infection,Condition,SNOMED,Disorder,S,876807009,2021-01-31,2099-12-31,NA
619354,Superficial injury of skin of eyelid,Condition,SNOMED,Disorder,S,895224009,2021-01-31,2099-12-31,NA
619669,Foreign body in skin of cheek with infection,Condition,SNOMED,Disorder,S,897299008,2021-01-31,2099-12-31,NA
619670,Foreign body in skin of ear with infection,Condition,SNOMED,Disorder,S,897300000,2021-01-31,2099-12-31,NA
619671,Foreign body in skin of face with infection,Condition,SNOMED,Disorder,S,897301001,2021-01-31,2099-12-31,NA
619673,Foreign body in skin of nose with infection,Condition,SNOMED,Disorder,S,897303003,2021-01-31,2099-12-31,NA
619675,Superficial foreign body of lip with infection,Condition,SNOMED,Disorder,S,897304009,2021-01-31,2099-12-31,NA
760526,Superficial injury of right eye,Condition,SNOMED,Disorder,S,10942671000119100,2016-09-01,2099-12-31,NA
760527,Superficial injury of left eye,Condition,SNOMED,Disorder,S,10942711000119101,2016-09-01,2099-12-31,NA
954102,Bone around jaw,Condition,SNOMED Veterinary,Clinical Finding,S,361041000009109,2019-09-10,2099-12-31,NA
1075004,Infected abrasion of skin of nose,Condition,SNOMED,Disorder,S,11843111000119107,2024-03-01,2099-12-31,NA
1075012,Nonvenomous insect bite of forehead,Condition,SNOMED,Disorder,S,11849821000119107,2024-05-01,2099-12-31,NA
1075013,Traumatic blister of right ear,Condition,SNOMED,Disorder,S,11854731000119101,2024-05-01,2099-12-31,NA
1075014,Traumatic blister of left ear,Condition,SNOMED,Disorder,S,11854771000119103,2024-05-01,2099-12-31,NA
1244388,Abrasion of skin of scalp,Condition,SNOMED,Disorder,S,1287525007,2023-09-01,2099-12-31,NA
1244389,Abrasion of skin of scalp due to birth trauma,Condition,SNOMED,Disorder,S,1287526008,2023-09-01,2099-12-31,NA
1244390,Infected abrasion of skin of scalp,Condition,SNOMED,Disorder,S,1287527004,2023-09-01,2099-12-31,NA
1244394,Abrasion of skin of head,Condition,SNOMED,Disorder,S,1287534002,2023-09-01,2099-12-31,NA
1244395,Abrasion of skin of cheek,Condition,SNOMED,Disorder,S,1287535001,2023-09-01,2099-12-31,NA
1244396,Abrasion of skin of face,Condition,SNOMED,Disorder,S,1287536000,2023-09-01,2099-12-31,NA
1244397,Infected abrasion of skin of eyelid,Condition,SNOMED,Disorder,S,1287537009,2023-09-01,2099-12-31,NA
1246541,Abrasion of left conjunctiva,Condition,SNOMED,Disorder,S,41981000087106,2024-01-01,2099-12-31,NA
1246542,Abrasion of right conjunctiva,Condition,SNOMED,Disorder,S,41991000087108,2024-01-01,2099-12-31,NA
1448749,Infected abrasion of skin of forehead,Condition,SNOMED,Disorder,S,11849741000119107,2025-01-01,2099-12-31,NA
1448752,Superficial injury of chin,Condition,SNOMED,Disorder,S,11852861000119106,2024-12-01,2099-12-31,NA
1448755,Traumatic blister of skin of chin,Condition,SNOMED,Disorder,S,11855331000119101,2025-01-01,2099-12-31,NA
1450553,Abrasion of left eye region,Condition,SNOMED,Disorder,S,47401000087104,2025-01-01,2099-12-31,NA
1450554,Abrasion of right eye region,Condition,SNOMED,Disorder,S,47411000087102,2025-01-01,2099-12-31,NA
3176556,Excoriation of right cheek,Condition,Nebraska Lexicon,Clinical Finding,S,21850001000004100,2016-01-28,2099-12-31,NA
3657669,Abrasion of skin of right eyelid,Condition,SNOMED,Disorder,S,11848461000119109,2020-07-31,2099-12-31,NA
3657965,Infected abrasion of oral mucosa,Condition,SNOMED,Disorder,S,11847781000119106,2020-07-31,2099-12-31,NA
3662171,Abrasion of skin of right ear,Condition,SNOMED,Disorder,S,11843711000119106,2020-07-31,2099-12-31,NA
3662172,Abrasion of skin of left ear,Condition,SNOMED,Disorder,S,11843751000119107,2020-07-31,2099-12-31,NA
3662173,Infected abrasion of skin of right ear,Condition,SNOMED,Disorder,S,11843951000119105,2020-07-31,2099-12-31,NA
