concept_id,concept_name,domain_id,vocabulary_id,standard_concept,ancestor_concept_id
588160,Furosemide Injection [Furosemide Special Sdz],Drug,RxNorm Extension,S,956874
741913,furosemide Cartridge,Drug,RxNorm,S,956874
741914,furosemide 8 MG/ML Cartridge,Drug,RxNorm,S,956874
741916,furosemide 8 MG/ML [Furoscix],Drug,RxNorm,S,956874
741918,furosemide Cartridge [Furoscix],Drug,RxNorm,S,956874
741919,furosemide 8 MG/ML Cartridge [Furoscix],Drug,RxNorm,S,956874
742166,10 ML furosemide 8 MG/ML Cartridge,Drug,RxNorm,S,956874
742167,10 ML furosemide 8 MG/ML Cartridge [Furoscix],Drug,RxNorm,S,956874
956874,furosemide,Drug,RxNorm,S,956874
956876,furosemide 8 MG/ML Oral Solution,Drug,RxNorm,S,956874
956877,furosemide 80 MG Oral Tablet,Drug,RxNorm,S,956874
956917,furosemide 20 MG / spironolactone 50 MG Oral Capsule,Drug,RxNorm,S,956874
956918,amiloride 4 MG / furosemide 40 MG Oral Tablet,Drug,RxNorm,S,956874
956919,furosemide 25 MG Oral Tablet,Drug,RxNorm,S,956874
956920,furosemide 50 MG Oral Tablet,Drug,RxNorm,S,956874
956942,furosemide 40 MG Oral Capsule,Drug,RxNorm,S,956874
956943,furosemide 20 MG/ML Oral Solution,Drug,RxNorm,S,956874
956944,furosemide 60 MG Extended Release Oral Capsule,Drug,RxNorm,S,956874
956950,furosemide 20 MG / potassium chloride 750 MG Oral Tablet,Drug,RxNorm,S,956874
956951,furosemide 40 MG / potassium chloride 750 MG Oral Tablet,Drug,RxNorm,S,956874
957132,furosemide 20 MG / spironolactone 100 MG Oral Capsule,Drug,RxNorm,S,956874
957133,furosemide 20 MG/ML Injectable Solution,Drug,RxNorm,S,956874
957136,furosemide 40 MG Oral Tablet,Drug,RxNorm,S,956874
957138,furosemide 40 MG,Drug,RxNorm,S,956874
957139,furosemide 8 MG/ML,Drug,RxNorm,S,956874
957140,furosemide 10 MG/ML,Drug,RxNorm,S,956874
957141,furosemide 80 MG,Drug,RxNorm,S,956874
957202,furosemide 500 MG,Drug,RxNorm,S,956874
957203,furosemide 20 MG/ML,Drug,RxNorm,S,956874
957204,furosemide 60 MG,Drug,RxNorm,S,956874
957205,furosemide 25 MG,Drug,RxNorm,S,956874
957206,furosemide 50 MG,Drug,RxNorm,S,956874
957207,furosemide 1 MG/ML,Drug,RxNorm,S,956874
957208,furosemide 20 MG / potassium chloride 750 MG Extended Release Oral Tablet,Drug,RxNorm,S,956874
957209,furosemide 20 MG Oral Tablet [Delone],Drug,RxNorm,S,956874
957235,10 ML furosemide 10 MG/ML Prefilled Syringe,Drug,RxNorm,S,956874
957236,4 ML furosemide 10 MG/ML Prefilled Syringe,Drug,RxNorm,S,956874
957237,8 ML furosemide 10 MG/ML Prefilled Syringe,Drug,RxNorm,S,956874
1735772,50 ML furosemide 10 MG/ML Injection,Drug,RxNorm,S,956874
1735773,100 ML furosemide 10 MG/ML Injection,Drug,RxNorm,S,956874
2029143,2 ML furosemide 10 MG/ML Injectable Solution [Lasix] by Handok,Drug,RxNorm Extension,S,956874
2905581,25 ML furosemide 10 MG/ML Injection [Lasix] Box of 5,Drug,RxNorm Extension,S,956874
2905582,25 ML furosemide 10 MG/ML Injection Box of 10 by Sandoz,Drug,RxNorm Extension,S,956874
2905583,25 ML furosemide 10 MG/ML Injection Box of 10,Drug,RxNorm Extension,S,956874
2905584,25 ML furosemide 10 MG/ML Injection Box of 5 by Sandoz,Drug,RxNorm Extension,S,956874
2905585,25 ML furosemide 10 MG/ML Injection Box of 5 by Sanofi,Drug,RxNorm Extension,S,956874
2905586,25 ML furosemide 10 MG/ML Injection by Winthrop,Drug,RxNorm Extension,S,956874
2905587,25 ML furosemide 10 MG/ML Injection by Sandoz,Drug,RxNorm Extension,S,956874
2905588,25 ML furosemide 10 MG/ML Injection by Sanofi,Drug,RxNorm Extension,S,956874
2905731,2 ML furosemide 10 MG/ML Injection [Lasix] Box of 5,Drug,RxNorm Extension,S,956874
2905732,2 ML furosemide 10 MG/ML Injection [Lasix],Drug,RxNorm Extension,S,956874
2905733,2 ML furosemide 10 MG/ML Injection Box of 25 by Baxter,Drug,RxNorm Extension,S,956874
2905734,2 ML furosemide 10 MG/ML Injection Box of 5 by Winthrop,Drug,RxNorm Extension,S,956874
2905735,2 ML furosemide 10 MG/ML Injection Box of 5 by Baxter,Drug,RxNorm Extension,S,956874
2905736,2 ML furosemide 10 MG/ML Injection Box of 5 by Sanofi,Drug,RxNorm Extension,S,956874
2905737,2 ML furosemide 10 MG/ML Injection by Winthrop,Drug,RxNorm Extension,S,956874
2905738,2 ML furosemide 10 MG/ML Injection by Baxter,Drug,RxNorm Extension,S,956874
2905739,2 ML furosemide 10 MG/ML Injection by Sanofi,Drug,RxNorm Extension,S,956874
2905740,2 ML furosemide 10 MG/ML Injectable Solution [Frusehexal] Box of 5,Drug,RxNorm Extension,S,956874
2905741,2 ML furosemide 10 MG/ML Injectable Solution [Frusehexal],Drug,RxNorm Extension,S,956874
2905742,2 ML furosemide 10 MG/ML Injectable Solution Box of 25 by Baxter,Drug,RxNorm Extension,S,956874
2905743,2 ML furosemide 10 MG/ML Injectable Solution Box of 5 by Sandoz,Drug,RxNorm Extension,S,956874
2905744,2 ML furosemide 10 MG/ML Injectable Solution Box of 5 by Baxter,Drug,RxNorm Extension,S,956874
2905745,2 ML furosemide 10 MG/ML Injectable Solution by Sandoz,Drug,RxNorm Extension,S,956874
2906213,30 ML furosemide 10 MG/ML Oral Solution by Winthrop,Drug,RxNorm Extension,S,956874
2906214,30 ML furosemide 10 MG/ML Oral Solution by Sanofi,Drug,RxNorm Extension,S,956874
2906783,4 ML furosemide 10 MG/ML Injection [Lasix] Box of 5,Drug,RxNorm Extension,S,956874
2906784,4 ML furosemide 10 MG/ML Injection [Lasix],Drug,RxNorm Extension,S,956874
2906785,4 ML furosemide 10 MG/ML Injection Box of 5 by Winthrop,Drug,RxNorm Extension,S,956874
2906786,4 ML furosemide 10 MG/ML Injection Box of 5 by Sanofi,Drug,RxNorm Extension,S,956874
2906787,4 ML furosemide 10 MG/ML Injection by Winthrop,Drug,RxNorm Extension,S,956874
