concept_id,concept_name,domain_id,vocabulary_id,standard_concept,ancestor_concept_id
701661,spironolactone 20 MG,Drug,RxNorm,S,970250
701665,benazepril / spironolactone Chewable Tablet,Drug,RxNorm,S,970250
701666,benazepril hydrochloride 2.5 MG / spironolactone 20 MG Chewable Tablet,Drug,RxNorm,S,970250
701668,benazepril hydrochloride 2.5 MG [Cardalis],Drug,RxNorm,S,970250
701672,benazepril / spironolactone Chewable Tablet [Cardalis],Drug,RxNorm,S,970250
701673,benazepril hydrochloride 2.5 MG / spironolactone 20 MG Chewable Tablet [Cardalis],Drug,RxNorm,S,970250
701674,spironolactone 40 MG,Drug,RxNorm,S,970250
701675,benazepril hydrochloride 5 MG / spironolactone 40 MG Chewable Tablet,Drug,RxNorm,S,970250
701676,benazepril hydrochloride 5 MG [Cardalis],Drug,RxNorm,S,970250
701677,benazepril hydrochloride 5 MG / spironolactone 40 MG Chewable Tablet [Cardalis],Drug,RxNorm,S,970250
701678,spironolactone 80 MG,Drug,RxNorm,S,970250
701679,benazepril hydrochloride 10 MG / spironolactone 80 MG Chewable Tablet,Drug,RxNorm,S,970250
701680,benazepril hydrochloride 10 MG [Cardalis],Drug,RxNorm,S,970250
701681,benazepril hydrochloride 10 MG / spironolactone 80 MG Chewable Tablet [Cardalis],Drug,RxNorm,S,970250
782708,Spironolactone 25 MG Oral Tablet [Aldactone] Box of 50 by PI-Pharma,Drug,RxNorm Extension,S,970250
783370,eplerenone 25 MG Oral Tablet [EPLERENONE MYLAN] Box of 30,Drug,RxNorm Extension,S,1309799
783371,eplerenone 25 MG Oral Tablet [EPLERENONE MYLAN] Box of 30 by Mylan,Drug,RxNorm Extension,S,1309799
783372,eplerenone 25 MG Oral Tablet [EPLERENONE MYLAN] Box of 90,Drug,RxNorm Extension,S,1309799
783373,eplerenone 25 MG Oral Tablet [EPLERENONE MYLAN] Box of 90 by Mylan,Drug,RxNorm Extension,S,1309799
783374,eplerenone 50 MG Oral Tablet [EPLERENONE MYLAN] Box of 90,Drug,RxNorm Extension,S,1309799
