concept_id,concept_name,codelist,to_remove
312927,Acute cor pulmonale,Both,FALSE
314378,Hypertensive heart disease with congestive heart failure,Both,FALSE
315295,Congestive rheumatic heart failure,Both,FALSE
316139,Heart failure,Both,FALSE
316994,Malignant hypertensive heart disease with congestive heart failure,Both,FALSE
319835,Congestive heart failure,Both,FALSE
321319,Cardiomyopathy,Only in codelist hf_elin,TRUE
439694,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,Both,FALSE
439695,Hypertensive heart and renal disease with renal failure,Only in codelist hf_anna,FALSE
439696,Hypertensive heart and renal disease with (congestive) heart failure,Both,FALSE
439698,Benign hypertensive heart disease with congestive cardiac failure,Both,FALSE
439846,Left heart failure,Both,FALSE
442310,Acute heart failure,Both,FALSE
443580,Systolic heart failure,Both,FALSE
443587,Diastolic heart failure,Both,FALSE
444031,Chronic heart failure,Both,FALSE
444101,Hypertensive heart failure,Both,FALSE
600781,Heart failure management program,Only in codelist hf_anna,FALSE
608954,Acute cor pulmonale due to septic pulmonary embolism,Only in codelist hf_anna,FALSE
618899,Telehealth monitoring for chronic heart failure,Only in codelist hf_anna,FALSE
619797,Heart failure due to thyrotoxicosis,Only in codelist hf_anna,FALSE
762002,Congestive heart failure as post-operative complication of cardiac surgery,Both,FALSE
762003,Congestive heart failure as post-operative complication of non-cardiac surgery,Both,FALSE
762865,Documentation of heart failure medication action plan,Only in codelist hf_anna,FALSE
764871,Reduced ejection fraction co-occurrent and due to acute on chronic heart failure,Both,FALSE
764872,Reduced ejection fraction co-occurrent and due to chronic heart failure,Both,FALSE
764873,Reduced ejection fraction co-occurrent and due to acute heart failure,Both,FALSE
764874,Acute on chronic heart failure co-occurrent with normal ejection fraction,Both,FALSE
764876,Chronic heart failure co-occurrent with normal ejection fraction,Both,FALSE
764877,Acute heart failure co-occurrent with normal ejection fraction,Both,FALSE
1245073,Acute exacerbation of chronic heart failure,Only in codelist hf_anna,FALSE
1340281,Exacerbation of chronic heart failure,Only in codelist hf_anna,FALSE
1340289,Exacerbation of congestive heart failure,Only in codelist hf_anna,FALSE
1340348,Exacerbation of heart failure,Only in codelist hf_anna,FALSE
2108528,NA,Only in codelist hf_anna,TRUE
2108535,NA,Only in codelist hf_anna,TRUE
3656094,Low output heart failure due to and following Fontan operation,Only in codelist hf_anna,FALSE
4004279,High output heart failure,Both,FALSE
4009047,Chronic left-sided heart failure,Both,FALSE
4014159,Chronic right-sided heart failure,Both,FALSE
4023479,Acute congestive heart failure,Both,FALSE
4046878,Congestive heart failure monitoring,Only in codelist hf_anna,FALSE
4071869,Congenital cardiac failure,Both,FALSE
4079296,Sepsis-associated right ventricular failure,Only in codelist hf_elin,FALSE
4079695,Sepsis-associated left ventricular failure,Only in codelist hf_elin,FALSE
4103448,Low output heart failure,Both,FALSE
4108244,Compensated cardiac failure,Both,FALSE
4108245,Acute left ventricular failure,Both,FALSE
4110961,Generalized ischemic myocardial dysfunction,Only in codelist hf_elin,TRUE
4111554,Decompensated cardiac failure,Both,FALSE
4124705,Heart failure as a complication of care,Both,FALSE
4138307,Right heart failure due to pulmonary hypertension,Only in codelist hf_elin,FALSE
4139864,Congestive heart failure due to left ventricular systolic dysfunction,Both,FALSE
4142561,Congestive heart failure due to valvular disease,Both,FALSE
4146456,Cardiac failure therapy,Only in codelist hf_elin,FALSE
4163710,Dilated cardiomyopathy,Only in codelist hf_elin,TRUE
4172864,Neonatal cardiac failure,Only in codelist hf_anna,FALSE
4175137,Miscarriage with cardiac arrest and/or cardiac failure,Only in codelist hf_anna,FALSE
4184497,Rheumatic left ventricular failure,Both,FALSE
4185565,Low cardiac output syndrome,Only in codelist hf_anna,FALSE
4190773,Restrictive cardiomyopathy,Only in codelist hf_elin,TRUE
4193010,Heart failure annual review,Both,FALSE
4195785,Right heart failure secondary to left heart failure,Both,FALSE
4195892,Chronic cor pulmonale,Both,FALSE
4199500,Refractory heart failure,Both,FALSE
4205558,Heart failure following obstetric procedure,Both,FALSE
4206009,Chronic left-sided congestive heart failure,Both,FALSE
4215446,Acute right-sided congestive heart failure,Both,FALSE
4215511,Emergency hospital admission for heart failure,Both,FALSE
4215689,Heart failure confirmed,Both,FALSE
4215802,Cardiac asthma,Only in codelist hf_anna,FALSE
4229440,Chronic congestive heart failure,Both,FALSE
4233224,Cardiac insufficiency during AND/OR resulting from a procedure,Both,FALSE
4233424,Acute right-sided heart failure,Both,FALSE
4236658,Pleural effusion due to congestive heart failure,Both,FALSE
4242669,Biventricular congestive heart failure,Both,FALSE
4249449,Failed attempted termination of pregnancy with cardiac arrest and/or failure,Only in codelist hf_anna,FALSE
4259490,Cardiorespiratory failure,Both,FALSE
4264636,Cardiac insufficiency following cardiac surgery,Both,FALSE
4267800,Acute left-sided heart failure,Both,FALSE
4269927,Cardiac arrest AND/OR failure following anesthesia AND/OR sedation in labor AND/OR delivery,Only in codelist hf_anna,FALSE
