medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	_merge
47966010	Postural hypotension	G870-1	G870.11	28651003	47966010		32	master only (1)
75073011	Hypopiesis	G87-1	G87..11	45007003	75073011		32	master only (1)
300988013	[X]Other hypotension	Gyu90	Gyu9000	45007003	75071013		32	master only (1)
317011019	[D]Blackout	R0020	R002000	271594007	406440010		32	master only (1)
317016012	[D]Syncope and collapse NOS	R002z	R002z00	309585006	453038013		32	master only (1)
370568012	Vasovagal symptom	1B6-3	1B6..13	248229009	370568012		27	master only (1)
1222468014	[D]Syncope	R002-1	R002.11	271594007	406440010		32	master only (1)
303601000000116	[D]Asystolic vasovagal syncope	R0026	R002600	398665005	1778189013		32	master only (1)
514841000006111	Blackout - symptom	1B66-1	1B66.11	271594007	406440010		27	master only (1)
572131000006110	Collapse - symptom	1B65-1	1B65.11	271787007	406722010		27	master only (1)
663641000006119	Faint symptom	1B6-1	1B6..11	248229009	370568012		27	master only (1)
884961000006115	Chronic hypotension-idiopathic	G871-99	G871.99	77545000	884961000006115		32	master only (1)
1138321000000113	History of hypotension	14AS	14AS.00	472960000	2955498019		32	master only (1)
3226171000006113	Low blood pressure	^ESCTLO322617		45007003	494085018		32	master only (1)
3226201000006112	Arterial hypotension	^ESCTAR322620		45007003	75075016		32	master only (1)
3761841000006118	Permanent idiopathic hypotension	^ESCTPE376184		77545000	128723019		32	master only (1)
5060961000006111	Drug-induced hypotension	^ESCTDR506096		234171009	350842012		5	master only (1)
5526491000006115	Syncope attack	^ESCTSY552649		271594007	406439013		32	master only (1)
5526501000006111	Fainting	^ESCTFA552650		271594007	2162374010		32	master only (1)
5526511000006114	Faint	^ESCTFA552651		271594007	2842516018		32	master only (1)
5966441000006112	Implantation of heart pacemaker	^ESCTIM596644		307280005	2476457014		32	master only (1)
6459881000006118	Light-headedness	^ESCTLI645988		386705008	1491723013		32	master only (1)
6459891000006115	Feels light headed	^ESCTFE645989		386705008	1491724019		32	master only (1)
6459901000006116	Lightheaded	^ESCTLI645990		386705008	1491725018		32	master only (1)
6459911000006118	Dizziness - light-headed	^ESCTDI645991		386705008	1491726017		32	master only (1)
6608991000006113	Vagal attack	^ESCTVA660899		398652001	1786507015		32	master only (1)
6609001000006113	Gower's syndrome	^ESCTGO660900		398652001	1786508013		32	master only (1)
6609231000006110	Vaso vagal episode	^ESCTVA660923		398665005	1786516016		32	master only (1)
6609241000006117	Vasodepressor syncope	^ESCTVA660924		398665005	1786517013		32	master only (1)
7480511000006110	History of abnormally low blood pressure	^ESCTHI748051		472960000	2955479016		32	master only (1)
11811691000006118	Blackout	^ESCT1181169		271594007	3505482016		32	master only (1)
11828441000006110	Neurally-mediated syncope	^ESCT1182844		398665005	3520986019		32	master only (1)
11905391000006118	[D]Fainting	^ESCT1190539		271594007	295251000006115		32	master only (1)
