MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
255856012	O/E - skin ulcer present	2FF2	2FF2.00	164397002	255856012		27
300721013	Varicose veins of the leg with ulcer	G830	G830.00	195445008	300721013		32
399908015	Local infection skin/subcut tissue NOS	M07z	M07z.00	19824006	3694623011		32
399941017	Non-pressure ulcer lower limb	M271	M271.00	267816005	399941017		32
309188016	Chronic skin ulcer NOS	M27z	M27z.00	19429009	479493015		32
77910017	Ulcer of skin	M272	M272.00	46742003	77912013		32
1864241000006110	Test request : Skin ulcer swab taken	EMISREQ|4JG3.	4JG3.00	1864241000006106	1864241000006110		46
261398014	Skin ulcer swab taken	4JG3	4JG3.00	168307001	261398014		47
66891000006111	Venous ulcer of leg	M2715	M271500	402863005	1781953019		32
251785016	H/O: chronic skin ulcer	14F3	14F3.00	161563007	251785016		32
255854010	O/E - skin ulcer	2FF	2FF..00	46742003	77912013		27
282156012	Dressing of ulcer	81H1	81H1.00	182532000	282156012		32
608941000006119	Decubitus (pressure) ulcer	M270	M270.00	399912005	1787031010		32
451404016	O/E - Right foot ulcer	2G54	2G54.00	308099008	451404016		27
451405015	O/E - Left foot ulcer	2G55	2G55.00	308100000	451405015		27
357893018	Mixed venous and arterial leg ulcer	M2714	M271400	238792006	357893018		32
479493015	Chronic skin ulcer	M27	M27..00	19429009	479493015		32
309180011	Mixed diabetic ulcer - foot	M2712	M271200	201252003	309180011		32
914591000006113	Venous ulcer of leg	G837	G837.00	402863005	1781953019		32
357894012	Arterial leg ulcer	M2713	M271300	238793001	357894012		32
309179013	Neuropathic diabetic ulcer - foot	M2711	M271100	201251005	309179013		32
300728019	Infected varicose ulcer	G835	G835.00	195450002	300728019		32
458425010	Three layer compression bandage for skin ulcer	7G2EC	7G2EC00	314129003	458425010		32
208311000006115	Pressure sore	39C0	39C0.00	399912005	1779199011		3
275047016	Dressing of skin ulcer NEC	7G2E5	7G2E500	302434002	444109012		32
300723011	Varicose veins of the leg with ulcer and eczema	G832	G832.00	195447000	300723011		32
256980015	Pressure sore index value	39C	39C..00	165257007	256980015		3
456401011	Two layer compression bandage for skin ulcer	7G2EA	7G2EA00	312647006	456401011		32
456402016	Four layer compression bandaging for skin ulcer	7G2EB	7G2EB00	312648001	456402016		32
1780371013	H/O: venous leg ulcer	14F5	14F5.00	401172002	1780371013		32
298211000000119	Referral to leg ulcer clinic	8HTh	8HTh.00	198051000000107	298211000000119		40
1488427018	O/E - ankle ulcer	2G48	2G48.00	394706005	1488427018		27
254880016	O/E - trophic skin ulceration	2924	2924.00	163634008	254880016		27
309187014	Chronic ulcer of skin, other specified sites	M27y	M27y.00	19429009	32731010		32
309177010	Ischaemic ulcer diabetic foot	M2710	M271000	201250006	309177010		32
255857015	O/E - skin ulcer NOS	2FFZ	2FFZ.00	46742003	77912013		27
280551000006114	Non-insulin dependent diabetes mellitus with ulcer	C1094	C109400	190389009	292580015		32
1488396017	O/E - Left diabetic foot - ulcerated	2G5L	2G5L.00	394674001	1488396017		27
1488395018	O/E - Right diabetic foot - ulcerated	2G5H	2G5H.00	394673007	1488395018		27
292579018	Type 2 diabetes mellitus with ulcer	C10F4	C10F400	190389009	292579018		32
2532976019	O/E - left chronic diabetic foot ulcer	2G5W	2G5W.00	414890007	2532976019		27
406091000000115	Attending leg ulcer clinic	9NM5	9NM5.00	248031000000107	406091000000115		37
405721000000110	Leg ulcer compression therapy started	8CV2	8CV2.00	247851000000107	405721000000110		32
2532977011	O/E - right chronic diabetic foot ulcer	2G5V	2G5V.00	414906009	2532977011		27
405741000000115	Leg ulcer compression therapy finished	8CT1	8CT1.00	247861000000105	405741000000115		32
2474712019	O/E - depth of ulcer	2FF3	2FF3.00	413166004	2474712019		27
479631000000114	Seen in primary care leg ulcer clinic	9N0t	9N0t.00	279351000000109	479631000000114		37
