concept_id,concept_name,codelist,to_remove
435088,Senility,Only in codelist dementia,TRUE
436803,Fragile X syndrome,Only in codelist dementia,TRUE
443432,Impaired cognition,Only in codelist dementia,TRUE
600632,Impaired concentration,Only in codelist dementia,TRUE
609090,Memory deficit due to and following spontaneous intracerebral hemorrhage,Only in codelist dementia,TRUE
609091,Memory deficit due to and following spontaneous subarachnoid hemorrhage,Only in codelist dementia,TRUE
609092,Memory deficit due to and following embolic cerebrovascular accident,Only in codelist dementia,TRUE
761978,Cognitive impairment due to multiple sclerosis,Only in codelist dementia,TRUE
764374,Noncompliance with medication regimen due to cognitive impairment,Only in codelist dementia,TRUE
1340245,Exacerbation of amnesia,Only in codelist dementia,TRUE
1340358,Exacerbation of Huntington's chorea,Only in codelist dementia,TRUE
1988434,Aggression factor score [CBS-8],Only in codelist dementia,TRUE
3034709,Memory loss [HIV-SSC],Only in codelist dementia,TRUE
4005009,Lack of thinking ability,Only in codelist dementia,TRUE
4036509,Impaired environmental interpretation syndrome,Only in codelist dementia,TRUE
4046084,Progressive aphasia,Only in codelist dementia,TRUE
4046095,Akinetic-rigid form of Huntington's disease,Only in codelist dementia,TRUE
4047110,Language-related cognitive disorder,Only in codelist dementia,TRUE
4047745,Traumatic encephalopathy,Only in codelist dementia,TRUE
4047752,Late onset Huntington's disease,Only in codelist dementia,TRUE
4076654,Memory lapses,Only in codelist dementia,TRUE
4076655,Mixes past with present,Only in codelist dementia,TRUE
4083451,Forgets what was going to say,Only in codelist dementia,TRUE
4083452,Forgets what has just said,Only in codelist dementia,TRUE
4083453,Forgets what has just seen,Only in codelist dementia,TRUE
4083454,Forgets what has just heard,Only in codelist dementia,TRUE
4083456,Amnesia for important personal information,Only in codelist dementia,TRUE
4084412,Poor short-term memory,Only in codelist dementia,TRUE
4085496,Poor long-term memory,Only in codelist dementia,TRUE
4085497,Forgets what was going to do,Only in codelist dementia,TRUE
4091976,Forgets recent activities,Only in codelist dementia,TRUE
4091977,Forgets what has just done,Only in codelist dementia,TRUE
4092084,Forgets what has just read,Only in codelist dementia,TRUE
4092086,Amnesia for day to day facts,Only in codelist dementia,TRUE
