concept_id,concept_name,Site
4015983,"Closed fracture distal femur, bicondylar",Femur
4015506,"Closed fracture distal femur, medial condyle",Femur
4012444,"Closed fracture distal femur, lateral condyle",Femur
765014,Closed fracture of condyle of right femur,Femur
760430,Closed fracture of condyle of left femur,Femur
760429,Closed fracture of lateral condyle of left femur,Femur
760428,Closed fracture of lateral condyle of right femur,Femur
760427,Closed fracture of medial condyle of left femur,Femur
760426,Closed fracture of medial condyle of right femur,Femur
45767624,Closed fracture of epiphyseal plate of distal femur,Femur
45767623,Closed fracture of apophysis of femur,Femur
45767037,Pathological fracture of femur due to osteoporosis,Femur
45767009,Pathological fracture of femur due to secondary osteoporosis,Femur
45766821,Stress fracture of shaft of femur,Femur
45766816,Stress fracture of lateral condyle of femur,Femur
40492391,Closed comminuted supracondylar fracture of femur,Femur
37312592,Simple fracture of lower end of femur not extending into joint,Femur
37312579,Wedge fracture of lower end of femur not extending into joint,Femur
37312005,Complex fracture of lower end of femur not extending into joint,Femur
4325184,Closed Salter-Harris type IV fracture of distal femur,Femur
4324314,Closed osteochondral fracture of distal femur,Femur
4289013,Multiple closed fractures of lower end of femur,Femur
4219891,Stieda's fracture,Femur
4177356,Closed Salter-Harris type III fracture of distal end of femur,Femur
4177203,Closed Salter-Harris type V fracture of distal femur,Femur
4146440,Closed Salter-Harris type II fracture of lower epiphysis of femur,Femur
4142989,Closed Salter-Harris type I fracture of lower epiphysis of femur,Femur
4135750,Fracture of femoral condyle,Femur
4135749,Fracture of distal end of femur,Femur
4134329,Supracondylar fracture femur,Femur
4016132,Multiple fractures of femur,Femur
4009615,"Closed fracture distal femur, comminuted/intra-articular",Femur
765379,Subchondral insufficiency fracture of condyle of femur,Femur
765015,Closed fracture of left femur,Femur
764997,Closed fracture of epiphyseal plate of distal end of left femur,Femur
760695,Pathological fracture of proximal end of right femur due to secondary osteoporosis,Femur
760686,Stress fracture of shaft of left femur,Femur
760685,Stress fracture of shaft of right femur,Femur
760684,Stress fracture of left femur,Femur
760683,Stress fracture of right femur,Femur
760646,Pathological fracture of left femur due to secondary osteoporosis,Femur
760645,Pathological fracture of right femur due to secondary osteoporosis,Femur
760641,Pathological fracture of left femur,Femur
760640,Pathological fracture of right femur,Femur
760637,Pathological fracture of left femur due to osteoporosis,Femur
760636,Pathological fracture of right femur due to osteoporosis,Femur
760437,Closed fracture of right femur,Femur
760436,Closed fracture of shaft of left femur,Femur
760435,Closed fracture of shaft of right femur,Femur
760434,Closed fracture of distal end of left femur,Femur
760433,Closed fracture of distal end of right femur,Femur
760432,Closed supracondylar fracture of left femur,Femur
760431,Closed supracondylar fracture of right femur,Femur
760424,Closed fracture of apophysis of left femur,Femur
760423,Closed fracture of apophysis of right femur,Femur
760215,Closed fracture of epiphyseal plate of distal end of right femur,Femur
760214,Closed fracture of epiphysis of distal left femur,Femur
760213,Closed fracture of epiphysis of distal right femur,Femur
759834,Stress fracture of lateral condyle of left femur,Femur
759833,Stress fracture of lateral condyle of right femur,Femur
443460,Pathological fracture of femur,Femur
441153,Closed supracondylar fracture of femur,Femur
440865,Closed fracture of epiphysis of femur,Femur
440825,Fracture of shaft of femur,Femur
440548,"Closed fracture of femur, distal end",Femur
438887,Closed fracture of shaft of femur,Femur
437130,"Closed fracture of femur, lower epiphysis",Femur
436249,Closed fracture of femoral condyle of femur,Femur
4135751,Fracture of talus,Foot
74777,Closed fracture of talus,Foot
45767039,Pathological fracture of foot due to osteoporosis,Foot
45767007,Pathological fracture of foot due to secondary osteoporosis,Foot
4178915,Fracture of posterior process of talus,Foot
4175171,Pathological fracture of foot,Foot
4094536,Shepherd's fracture,Foot
4016122,"Closed fracture talus, body",Foot
4016121,"Closed fracture talus, neck",Foot
4016120,"Closed fracture talus, head",Foot
765335,Closed fracture of right talus,Foot
760633,Pathological fracture of right foot due to secondary osteoporosis,Foot
760630,Pathological fracture of left foot,Foot
760629,Pathological fracture of right foot,Foot
760628,Pathological fracture of left foot due to osteoporosis,Foot
760345,Closed fracture of left talus,Foot
45766819,Stress fracture of foot,Foot
45766780,Closed fracture of sesamoid bone of foot,Foot
42539577,Fracture of lateral cuneiform,Foot
42539049,Fracture of intermediate cuneiform,Foot
42536862,Fracture of medial cuneiform,Foot
40491339,Closed fracture of tarsal bone,Foot
40479614,Stress fracture of calcaneus,Foot
40479561,Stress fracture of tarsal bone,Foot
40479201,Stress fracture of navicular bone of foot,Foot
37209600,Closed fracture of left calcaneal apophysis,Foot
37209599,Closed fracture of right calcaneal apophysis,Foot
37209169,Stress fracture of right tarsus,Foot
4282753,Closed fracture of medial cuneiform bone of foot,Foot
4219823,Closed fracture of lateral cuneiform bone of foot,Foot
4138414,Fracture of calcaneus,Foot
4136842,Fracture of cuboid,Foot
4135644,Fracture subluxation of joint of foot,Foot
4135634,Fracture dislocation of foot joint,Foot
4134338,Fracture of bone of forefoot,Foot
4134337,Fracture of navicular,Foot
4134336,Fracture of tarsal bone,Foot
4084803,Closed fracture of intermediate cuneiform bone of foot,Foot
4083490,Fracture of cuneiform,Foot
4048393,Fracture of foot,Foot
4017790,Closed fracture subluxation of midtarsal joint,Foot
4017673,Closed fracture dislocation foot,Foot
4016126,"Closed tarsal fractures, multiple",Foot
4015202,Closed fracture subluxation of subtalar joint,Foot
4015200,Closed fracture dislocation of midtarsal joint,Foot
4015199,Closed fracture dislocation of subtalar joint,Foot
4012580,"Closed fracture calcaneus, intra-articular",Foot
4012292,Closed fracture subluxation of foot,Foot
4009757,Multiple fractures of foot,Foot
4009748,"Closed fracture calcaneus, extra-articular",Foot
765340,Closed fracture of intermediate cuneiform bone of left foot,Foot
765339,Closed fracture of calcaneus bone of right foot,Foot
765012,Closed fracture of cuboid bone of right foot,Foot
760690,Stress fracture of left foot,Foot
760689,Stress fracture of right foot,Foot
760627,Stress fracture of left tarsus,Foot
760626,Stress fracture of left calcaneus,Foot
760625,Stress fracture of right calcaneus,Foot
760622,Stress fracture of navicular bone of left foot,Foot
760621,Stress fracture of navicular bone of right foot,Foot
760402,Closed fracture of sesamoid bone of left foot,Foot
760401,Closed fracture of sesamoid bone of right foot,Foot
760400,Closed fracture of left foot,Foot
760399,Closed fracture of right foot,Foot
760398,Closed fracture of tarsal bone of left foot,Foot
760397,Closed fracture of tarsal bone of right foot,Foot
760396,Closed fracture of intermediate cuneiform bone of right foot,Foot
760395,Closed fracture of lateral cuneiform bone of left foot,Foot
760394,Closed fracture of lateral cuneiform bone of right foot,Foot
760393,Closed fracture of medial cuneiform bone of left foot,Foot
760392,Closed fracture of medial cuneiform bone of right foot,Foot
760391,Closed fracture of calcaneus bone of left foot,Foot
760390,Closed fracture of cuboid bone of left foot,Foot
760349,Closed fracture of navicular bone of left foot,Foot
760348,Closed fracture of navicular bone of right foot,Foot
441980,Closed fracture of foot,Foot
437999,Closed fracture of cuneiform bone of foot,Foot
81707,Closed fracture of cuboid bone of foot,Foot
80241,Closed fracture of navicular bone of foot,Foot
80232,Closed fracture of calcaneus,Foot
40483548,Fracture of head of radius with dislocation of distal radioulnar joint and interosseous membrane disruption,Forearm
4136716,Fracture of radial head,Forearm
4083489,Fracture of coronoid process of ulna,Forearm
4083488,Fracture of olecranon,Forearm
