"concept_id","concept_name"
77365,"Disuse osteoporosis"
4033089,"Drug-induced osteoporosis"
4067765,"Drug-induced osteoporosis with osteoporotic fracture"
4151725,"Localized disuse osteoporosis"
4004623,"Localized osteoporosis - Lequesne"
64859006,"Osteoporosis"
4305731,"Osteoporosis caused by corticosteroid"
42538151,"Osteoporosis co-occurrent and due to multiple myeloma"
1245004,"Osteoporosis due to chronic kidney disease"
45768892,"Osteoporosis due to cystic fibrosis"
1245003,"Osteoporosis due to endocrine disorder"
42536671,"Osteoporosis due to malabsorption"
1245006,"Osteoporotic fracture due to disuse osteoporosis"
1245002,"Osteoporotic fracture due to idiopathic osteoporosis"
1245005,"Osteoporotic fracture due to postmenopausal osteoporosis"
4003482,"Osteoporotic fracture due to postoophorectomy osteoporosis"
4069941,"Osteoporotic kyphosis"
4345586,"Post-irradiation osteoporosis"
4002133,"Postoophorectomy osteoporosis"
4003479,"Post-surgical malabsorption osteoporosis"
4004624,"Post-surgical malabsorption osteoporosis with pathological fracture"
4344377,"Secondary generalized osteoporosis"
4344378,"Secondary localized osteoporosis"
45766159,"Secondary osteoporosis"
45772069,"Secondary osteoporotic fracture"
45767011,"Secondary osteoporotic fracture of ankle"
45757318,"Secondary osteoporotic fracture of cervical vertebra"
45767010,"Secondary osteoporotic fracture of clavicle"
45767009,"Secondary osteoporotic fracture of femur"
45767008,"Secondary osteoporotic fracture of fibula"
45767007,"Secondary osteoporotic fracture of foot"
45767006,"Secondary osteoporotic fracture of hand"
45767004,"Secondary osteoporotic fracture of humerus"
45757316,"Secondary osteoporotic fracture of lumbar vertebra"
45767005,"Secondary osteoporotic fracture of proximal femur"
45772713,"Secondary osteoporotic fracture of radius"
45757324,"Secondary osteoporotic fracture of sacral vertebra"
45767003,"Secondary osteoporotic fracture of scapula"
45757314,"Secondary osteoporotic fracture of thoracic vertebra"
45767002,"Secondary osteoporotic fracture of tibia"
45767001,"Secondary osteoporotic fracture of ulna"
45757323,"Secondary osteoporotic fracture of vertebra"
