concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
437643,Abnormal gait,Observation,SNOMED,Clinical Finding,S,22325002,2002-01-31,2099-12-31,NA
4006477,Double step gait,Observation,SNOMED,Clinical Finding,S,11172006,2002-01-31,2099-12-31,NA
4010603,4 point gait,Observation,SNOMED,Clinical Finding,S,11237000,2002-01-31,2099-12-31,NA
4060361,Limping,Observation,SNOMED,Clinical Finding,S,16973004,2002-01-31,2099-12-31,NA
4092861,Prosthetic limb gait,Observation,SNOMED,Clinical Finding,S,250009009,2002-01-31,2099-12-31,NA
4092863,Stiff knee gait,Observation,SNOMED,Clinical Finding,S,250014008,2002-01-31,2099-12-31,NA
4092865,Bouncy gait,Observation,SNOMED,Clinical Finding,S,250021008,2002-01-31,2099-12-31,NA
4092866,Lurching gait,Observation,SNOMED,Clinical Finding,S,250023006,2002-01-31,2099-12-31,NA
4092867,Peripheral neuropathic gait,Observation,SNOMED,Clinical Finding,S,250024000,2002-01-31,2099-12-31,NA
4092869,Sensory ataxic gait,Observation,SNOMED,Clinical Finding,S,250029005,2002-01-31,2099-12-31,NA
4092870,Middle level sensorimotor gait disorder,Observation,SNOMED,Clinical Finding,S,250034009,2002-01-31,2099-12-31,NA
4092871,Extrapyramidal gait,Observation,SNOMED,Clinical Finding,S,250036006,2002-01-31,2099-12-31,NA
4092874,High level sensorimotor gait disorder,Observation,SNOMED,Clinical Finding,S,250043000,2002-01-31,2099-12-31,NA
4092875,Marche a petits pas,Observation,SNOMED,Clinical Finding,S,250049001,2002-01-31,2099-12-31,NA
4093325,Low level sensorimotor gait disorder,Observation,SNOMED,Clinical Finding,S,250003005,2002-01-31,2099-12-31,NA
4093326,Peripheral skeletomuscular gait disorder,Observation,SNOMED,Clinical Finding,S,250004004,2002-01-31,2099-12-31,NA
4093327,Interrupted gait,Observation,SNOMED,Clinical Finding,S,250005003,2002-01-31,2099-12-31,NA
4094152,Petren's gait,Observation,SNOMED,Clinical Finding,S,250052009,2002-01-31,2099-12-31,NA
4094153,Bizarre gait,Observation,SNOMED,Clinical Finding,S,250056007,2002-01-31,2099-12-31,NA
4094603,Overcomes interrupted gait spontaneously,Observation,SNOMED,Clinical Finding,S,250006002,2002-01-31,2099-12-31,NA
4094604,Use of secondary maneuvres to overcome interrupted gait - finding,Observation,SNOMED,Clinical Finding,S,250007006,2002-01-31,2099-12-31,NA
4094605,Gait with walking aid - finding,Observation,SNOMED,Clinical Finding,S,250010004,2002-01-31,2099-12-31,NA
4094606,Stiff legged gait,Observation,SNOMED,Clinical Finding,S,250013002,2002-01-31,2099-12-31,NA
4094724,Peripheral sensory gait disorder,Observation,SNOMED,Clinical Finding,S,250027007,2002-01-31,2099-12-31,NA
4094725,Vestibular ataxic gait,Observation,SNOMED,Clinical Finding,S,250032008,2002-01-31,2099-12-31,NA
4094726,Paraplegic gait,Observation,SNOMED,Clinical Finding,S,250035005,2002-01-31,2099-12-31,NA
4094727,Retropulsion when walking,Observation,SNOMED,Clinical Finding,S,250038007,2002-01-31,2099-12-31,NA
4094728,Choreic gait,Observation,SNOMED,Clinical Finding,S,250040002,2002-01-31,2099-12-31,NA
4094729,Slipping clutch gait,Observation,SNOMED,Clinical Finding,S,250051002,2002-01-31,2099-12-31,NA
4095175,Arthritic gait,Observation,SNOMED,Clinical Finding,S,250015009,2002-01-31,2099-12-31,NA
4095176,Crouch gait,Observation,SNOMED,Clinical Finding,S,250016005,2002-01-31,2099-12-31,NA
4095177,Toe-walking gait,Observation,SNOMED,Clinical Finding,S,250018006,2002-01-31,2099-12-31,NA
4095179,Dystonic gait,Observation,SNOMED,Clinical Finding,S,250042005,2002-01-31,2099-12-31,NA
4095180,Cautious gait,Observation,SNOMED,Clinical Finding,S,250044006,2002-01-31,2099-12-31,NA
4095181,Thalamic astasia,Observation,SNOMED,Clinical Finding,S,250047004,2002-01-31,2099-12-31,NA
4095183,Incongruous gait,Observation,SNOMED,Clinical Finding,S,250055006,2002-01-31,2099-12-31,NA
