concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
316429,Premature beats,Condition,SNOMED,Disorder,S,29717002,2002-01-31,2099-12-31,NA
441872,Supraventricular premature beats,Condition,SNOMED,Disorder,S,63593006,2002-01-31,2099-12-31,NA
3656145,Multiple atrial ectopics,Condition,SNOMED,Disorder,S,871686004,2020-07-31,2099-12-31,NA
3656226,Multifocal atrial ectopics,Condition,SNOMED,Disorder,S,871832005,2020-07-31,2099-12-31,NA
4023336,Multifocal premature ventricular complexes,Condition,SNOMED,Disorder,S,10626002,2002-01-31,2099-12-31,NA
4088124,Heart irregularly irregular,Condition,SNOMED,Clinical Finding,S,248651005,2002-01-31,2099-12-31,NA
4088125,Heart regularly irregular,Condition,SNOMED,Clinical Finding,S,248652003,2002-01-31,2099-12-31,NA
4088351,Junctional premature complex,Condition,SNOMED,Disorder,S,251164006,2002-01-31,2099-12-31,NA
4088505,Ventricular trigeminy,Condition,SNOMED,Disorder,S,251180001,2002-01-31,2099-12-31,NA
4088506,Ventricular quadrigeminy,Condition,SNOMED,Disorder,S,251181002,2002-01-31,2099-12-31,NA
4088985,Multiple premature ventricular complexes,Condition,SNOMED,Disorder,S,251176006,2002-01-31,2099-12-31,NA
4089463,Multiple ventricular interpolated complexes,Condition,SNOMED,Disorder,S,251179004,2002-01-31,2099-12-31,NA
4089464,Paired ventricular premature complexes,Condition,SNOMED,Disorder,S,251182009,2002-01-31,2099-12-31,NA
4091904,Run of ventricular premature complexes,Condition,SNOMED,Disorder,S,251177002,2002-01-31,2099-12-31,NA
4099778,Unifocal premature ventricular complexes,Condition,SNOMED,Disorder,S,27337007,2002-01-31,2099-12-31,NA
4126570,Irregular fetal heart rhythm,Condition,SNOMED,Clinical Finding,S,289444003,2002-01-31,2099-12-31,NA
4218739,Junctional premature beats,Condition,SNOMED,Disorder,S,81681009,2002-01-31,2099-12-31,NA
4243143,Interpolated ventricular premature complexes,Condition,SNOMED,Disorder,S,38274001,2002-01-31,2099-12-31,NA
4262562,Abnormal heart beat,Condition,SNOMED,Clinical Finding,S,361136003,2002-01-31,2099-12-31,NA
4263255,Irregular heart beat,Condition,SNOMED,Clinical Finding,S,361137007,2002-01-31,2099-12-31,NA
4271464,Multifocal premature beats,Condition,SNOMED,Disorder,S,63232000,2002-01-31,2099-12-31,NA
36675005,"Extrasystoles, short stature, hyperpigmentation, microcephaly syndrome",Condition,SNOMED,Disorder,S,771179007,2019-01-31,2099-12-31,NA
36714539,"Ventricular extrasystoles with syncope, perodactyly and Robin sequence syndrome",Condition,SNOMED,Disorder,S,719823007,2017-01-31,2099-12-31,NA
37163851,Three consecutive ventricular premature complexes,Condition,SNOMED,Disorder,S,1222539006,2022-05-31,2099-12-31,NA
