concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
432594,Osteomalacia,Condition,SNOMED,Disorder,S,4598005,2002-01-31,2099-12-31,NA
434614,Disorder of iron metabolism,Condition,SNOMED,Disorder,S,30913008,2002-01-31,2099-12-31,NA
435510,Hypocalcemia,Condition,SNOMED,Disorder,S,5291005,2002-01-31,2099-12-31,NA
435511,Hypercalcemia,Condition,SNOMED,Disorder,S,66931009,2002-01-31,2099-12-31,NA
435788,Disorder of phosphorus metabolism,Condition,SNOMED,Disorder,S,87049008,2002-01-31,2099-12-31,NA
436672,Disorder of copper metabolism,Condition,SNOMED,Disorder,S,79886009,2002-01-31,2099-12-31,NA
437828,Disorder of calcium metabolism,Condition,SNOMED,Disorder,S,71638002,2002-01-31,2099-12-31,NA
438719,Active rickets,Condition,SNOMED,Disorder,S,190640006,2002-01-31,2099-12-31,NA
438721,Disorder of mineral metabolism,Condition,SNOMED,Disorder,S,45744005,2002-01-31,2099-12-31,NA
438725,Disorder of magnesium metabolism,Condition,SNOMED,Disorder,S,60853003,2002-01-31,2099-12-31,NA
438782,Idiopathic pulmonary hemosiderosis,Condition,SNOMED,Disorder,S,40527005,2002-01-31,2099-12-31,NA
443208,Hungry bone syndrome,Condition,SNOMED,Disorder,S,237883001,2002-01-31,2099-12-31,NA
606059,Neonatal iron overload,Condition,SNOMED,Disorder,S,1142071000,2021-07-31,2099-12-31,NA
606976,Hypophosphatemia due to chronic kidney disease,Condition,SNOMED,Disorder,S,1148926002,2021-07-31,2099-12-31,NA
606978,Hypocalcemia due to chronic kidney disease,Condition,SNOMED,Disorder,S,1148928001,2021-07-31,2099-12-31,NA
606984,Hypercalcemia due to chronic kidney disease,Condition,SNOMED,Disorder,S,1148934008,2021-07-31,2099-12-31,NA
606986,Hyperphosphatemia due to chronic kidney disease,Condition,SNOMED,Disorder,S,1148936005,2021-07-31,2099-12-31,NA
607390,Adult osteomalacia due to liver disease,Condition,SNOMED,Disorder,S,1153361007,2021-07-31,2099-12-31,NA
607391,Adult osteomalacia due to endocrine disease,Condition,SNOMED,Disorder,S,1153362000,2021-07-31,2099-12-31,NA
761955,Iatrogenic hypocalcemia,Condition,SNOMED,Disorder,S,23490001000004109,2015-09-01,2099-12-31,NA
1075392,SLC40A1-related hemochromatosis,Condition,SNOMED,Disorder,S,1303910000,2024-03-01,2099-12-31,NA
1075393,Ferroportin disease,Condition,SNOMED,Disorder,S,1303911001,2024-03-01,2099-12-31,NA
1075448,Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis,Condition,SNOMED,Disorder,S,1304111007,2024-03-01,2099-12-31,NA
1245328,Digenic hemochromatosis,Condition,SNOMED,Disorder,S,1299153008,2024-02-01,2099-12-31,NA
1340361,Exacerbation of hypercalcemia,Condition,OMOP Extension,Disorder,S,OMOP5166016,2022-05-06,2099-12-31,NA
3655267,Hyperphosphatemic familial tumoral calcinosis,Condition,SNOMED,Disorder,S,860796007,2020-07-31,2099-12-31,NA
4006252,Focal hemosiderosis,Condition,SNOMED,Disorder,S,10180006,2002-01-31,2099-12-31,NA
4009174,Pseudohyperparathyroidism,Condition,SNOMED,Disorder,S,111408001,2002-01-31,2099-12-31,NA
4028956,Secondary hypercalcemia,Condition,SNOMED,Disorder,S,237880003,2002-01-31,2099-12-31,NA
4028958,Drug-induced hypocalcemia,Condition,SNOMED,Disorder,S,237884007,2002-01-31,2099-12-31,NA
4028959,Hypophosphatemic rickets with nephrotic-glycosuric dwarfism,Condition,SNOMED,Disorder,S,237888005,2002-01-31,2099-12-31,NA
4029093,Acquired hypophosphatemia,Condition,SNOMED,Disorder,S,237902005,2002-01-31,2099-12-31,NA
4029094,Renal failure-associated hyperphosphatemia,Condition,SNOMED,Disorder,S,237904006,2002-01-31,2099-12-31,NA
4029095,Iatrogenic hyperphosphatemia,Condition,SNOMED,Disorder,S,237905007,2002-01-31,2099-12-31,NA
4029602,"Disorder of phosphate, calcium and vitamin D metabolism",Condition,SNOMED,Disorder,S,237879001,2002-01-31,2099-12-31,NA
4029603,Familial hypocalciuric hypercalcemia,Condition,SNOMED,Disorder,S,237885008,2002-01-31,2099-12-31,NA
4029604,Vitamin D-dependent rickets type II with alopecia,Condition,SNOMED,Disorder,S,237894002,2002-01-31,2099-12-31,NA
4030184,Pseudohypoparathyroidism and pseudopseudohypoparathyroidism,Condition,SNOMED,Disorder,S,237658004,2002-01-31,2099-12-31,NA
4030185,Pseudopseudohypoparathyroidism,Condition,SNOMED,Disorder,S,237659007,2002-01-31,2099-12-31,NA
4030363,Autosomal dominant hypophosphatemic rickets,Condition,SNOMED,Disorder,S,237889002,2002-01-31,2099-12-31,NA
4033463,Enamel-renal syndrome,Condition,SNOMED,Disorder,S,109477002,2002-01-31,2099-12-31,NA
4035146,Familial idiopathic hypercalciuria,Condition,SNOMED,Disorder,S,237886009,2002-01-31,2099-12-31,NA
4035147,Autosomal dominant hypophosphatemic bone disease,Condition,SNOMED,Disorder,S,237890006,2002-01-31,2099-12-31,NA
4035149,Autosomal recessive hypophosphatemic bone disease,Condition,SNOMED,Disorder,S,237891005,2002-01-31,2099-12-31,NA
4035150,Vitamin D-dependent rickets type II without alopecia,Condition,SNOMED,Disorder,S,237895001,2002-01-31,2099-12-31,NA
4035262,Nutritional hypophosphatemia,Condition,SNOMED,Disorder,S,237903000,2002-01-31,2099-12-31,NA
4037501,Parathyroid hypocalcemic tetany,Condition,SNOMED,Disorder,S,16195001,2002-01-31,2099-12-31,NA
4042399,Disorder of selenium metabolism,Condition,SNOMED,Disorder,S,16754006,2002-01-31,2099-12-31,NA
4047528,Hypercupruria,Condition,SNOMED,Disorder,S,123808002,2002-01-31,2099-12-31,NA
