concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
432504,Accident caused by fire and flames,Observation,SNOMED,Event,S,217176002,2002-01-31,2099-12-31,NA
432505,Accidental mechanical suffocation by falling earth,Observation,SNOMED,Event,S,242681009,2002-01-31,2099-12-31,NA
432507,Suicide by hanging,Observation,SNOMED,Event,S,287190007,2002-01-31,2099-12-31,NA
432509,"Accident to motor vehicle on road, not involving collision",Observation,SNOMED,Event,S,242116005,2002-01-31,2099-12-31,NA
432512,Foreign object left in body during procedure,Observation,SNOMED,Event,S,216897005,2002-01-31,2099-12-31,NA
432523,"Motor vehicle traffic accident involving pedestrian hit by motor vehicle, passenger on motor cycle injured",Observation,SNOMED,Event,S,214222003,2002-01-31,2099-12-31,NA
432524,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, pedestrian injured",Observation,SNOMED,Event,S,214444006,2002-01-31,2099-12-31,NA
432528,Mechanical failure of instrument or apparatus during infusion,Observation,SNOMED,Event,S,216974008,2002-01-31,2099-12-31,NA
432530,"Motor vehicle traffic accident involving pedestrian hit by motor vehicle, motor cyclist injured",Observation,SNOMED,Event,S,214221005,2002-01-31,2099-12-31,NA
432531,"Spacecraft launching pad accident, member of ground crew injured",Observation,SNOMED,Event,S,216270007,2002-01-31,2099-12-31,NA
432532,Accidental event,Observation,SNOMED,Event,S,418019003,2006-01-31,2099-12-31,NA
432533,Accident caused by earthquake,Observation,SNOMED,Event,S,217739005,2002-01-31,2099-12-31,NA
432534,Accident caused by machinery,Observation,SNOMED,Event,S,269716005,2002-01-31,2099-12-31,NA
432536,Assault by poisoning by gas or vapor,Observation,SNOMED,Event,S,269733003,2002-01-31,2099-12-31,NA
432537,Assault by handgun,Observation,SNOMED,Event,S,219199009,2002-01-31,2099-12-31,NA
432538,Assault by hot liquid,Observation,SNOMED,Event,S,219239003,2002-01-31,2099-12-31,NA
432540,Accident caused by automatic shotgun,Observation,SNOMED,Event,S,218086002,2002-01-31,2099-12-31,NA
432782,"Motor vehicle traffic accident involving collision with another motor vehicle, parked, pedestrian injured",Observation,SNOMED,Event,S,214089004,2002-01-31,2099-12-31,NA
432788,Accidental bumping into stationary object,Observation,SNOMED,Event,S,217896007,2002-01-31,2099-12-31,NA
432800,Assault by cutting and stabbing instruments,Observation,SNOMED,Event,S,219218005,2002-01-31,2099-12-31,NA
432803,Fall from ladder,Observation,SNOMED,Event,S,86591008,2002-01-31,2099-12-31,NA
432804,Fall from scaffold,Observation,SNOMED,Event,S,2617007,2002-01-31,2099-12-31,NA
432806,Fall from cliff,Observation,SNOMED,Event,S,4521008,2002-01-31,2099-12-31,NA
432807,Accidents caused by cutting and piercing instruments or objects,Observation,SNOMED,Event,S,218016007,2002-01-31,2099-12-31,NA
432808,Accident caused by powered hand tool,Observation,SNOMED,Event,S,302980009,2002-01-31,2099-12-31,NA
433094,Failure in dosage,Observation,SNOMED,Event,S,216952002,2002-01-31,2099-12-31,NA
433095,Fall on or from steps,Observation,SNOMED,Event,S,217092005,2002-01-31,2099-12-31,NA
433098,"Motor vehicle traffic accident due to motor vehicle failing to make curve, without collision on the highway, passenger of motor vehicle injured",Observation,SNOMED,Event,S,214347003,2002-01-31,2099-12-31,NA
433108,"Hit by aircraft, without accident to aircraft, occupant of unpowered aircraft, except parachutist, injured",Observation,SNOMED,Event,S,216184005,2002-01-31,2099-12-31,NA
433109,Accident due to lack of food,Observation,SNOMED,Event,S,217640002,2002-01-31,2099-12-31,NA
433112,"Motor vehicle traffic accident due to motor vehicle failing to make curve, without collision on the highway, driver of motor vehicle injured",Observation,SNOMED,Event,S,214346007,2002-01-31,2099-12-31,NA
433113,"Submersion or drowning due to boat overturning, occupant of small unpowered boat injured",Observation,SNOMED,Event,S,215417008,2002-01-31,2099-12-31,NA
433114,Immersion or drowning due to fall overboard from vessel without accident to vessel,Observation,SNOMED,Event,S,242181005,2002-01-31,2099-12-31,NA
433115,Accident caused by clothes on fire from controlled fire in private dwelling,Observation,SNOMED,Event,S,217496001,2002-01-31,2099-12-31,NA
433116,Dog bite,Observation,SNOMED,Event,S,217697000,2002-01-31,2099-12-31,NA
433117,Accident caused by explosion of boiler,Observation,SNOMED,Event,S,218070009,2002-01-31,2099-12-31,NA
433374,Fall due to roller skates or skateboard,Observation,SNOMED,Event,S,242397005,2002-01-31,2099-12-31,NA
433375,"Accident caused by clothes on fire from controlled fire, not in building or structure",Observation,SNOMED,Event,S,217516002,2002-01-31,2099-12-31,NA
433376,Burning due to contact with hot solid objects and materials,Observation,SNOMED,Event,S,242507000,2002-01-31,2099-12-31,NA
433379,"Motor vehicle traffic accident involving collision with another motor vehicle, parked, passenger on motor cycle injured",Observation,SNOMED,Event,S,214085005,2002-01-31,2099-12-31,NA
433381,Accident caused directly by portable sources of ignition,Observation,SNOMED,Event,S,242484007,2002-01-31,2099-12-31,NA
433392,Mismatched blood transfused,Observation,SNOMED,Event,S,217005002,2002-01-31,2099-12-31,NA
433393,Fall into hole,Observation,SNOMED,Event,S,68274007,2002-01-31,2099-12-31,NA
433398,Assault by explosive device,Observation,SNOMED,Event,S,274954001,2002-01-31,2099-12-31,NA
433652,"Motor vehicle traffic accident involving collision, on highway, between motor vehicle and bridge, motor cyclist injured",Observation,SNOMED,Event,S,214256009,2002-01-31,2099-12-31,NA
433657,Fall from furniture,Observation,SNOMED,Event,S,242413007,2002-01-31,2099-12-31,NA
433660,"Noncollision motor vehicle traffic accident involving injury by being thrown against some part of, or object in, motor vehicle while in motion, pedestrian injured",Observation,SNOMED,Event,S,214601003,2002-01-31,2099-12-31,NA
433662,"Fall in aircraft, not due to an accident to aircraft, occupant of military aircraft injured",Observation,SNOMED,Event,S,216134003,2002-01-31,2099-12-31,NA
433663,Failure in suture and ligature during surgical operation,Observation,SNOMED,Event,S,217007005,2002-01-31,2099-12-31,NA
433664,Accident due to hot weather,Observation,SNOMED,Event,S,217593006,2002-01-31,2099-12-31,NA
433677,Accident caused by ignition of clothing from controlled fire on commercial premises,Observation,SNOMED,Event,S,242470002,2002-01-31,2099-12-31,NA
433680,Overexposure to lasers,Observation,SNOMED,Event,S,218208005,2002-01-31,2099-12-31,NA
433927,Accident involving ice yacht,Observation,SNOMED,Event,S,216308003,2002-01-31,2099-12-31,NA
