concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
74182,Open fracture of ischium,Condition,SNOMED,Disorder,S,76911006,2002-01-31,2099-12-31,NA
75932,Open fracture of pelvis,Condition,SNOMED,Disorder,S,15474008,2002-01-31,2099-12-31,NA
75943,Open fracture of pubis,Condition,SNOMED,Disorder,S,71220005,2002-01-31,2099-12-31,NA
76240,Closed fracture pubis,Condition,SNOMED,Disorder,S,208164008,2002-01-31,2099-12-31,NA
77115,Multiple open fractures of pelvis with disruption of pelvic circle,Condition,SNOMED,Disorder,S,86731008,2002-01-31,2099-12-31,NA
77129,Closed fracture of pelvis,Condition,SNOMED,Disorder,S,91037003,2002-01-31,2099-12-31,NA
77362,Stress fracture of pelvis,Condition,SNOMED,Disorder,S,430907000,2008-07-31,2099-12-31,NA
77405,Open fracture of acetabulum,Condition,SNOMED,Disorder,S,77598002,2002-01-31,2099-12-31,NA
77702,Multiple closed fractures of pelvis with disruption of pelvic circle,Condition,SNOMED,Disorder,S,59962009,2002-01-31,2099-12-31,NA
78276,Open fracture of ilium,Condition,SNOMED,Disorder,S,60214001,2002-01-31,2099-12-31,NA
80861,Closed fracture of ischium,Condition,SNOMED,Disorder,S,36417005,2002-01-31,2099-12-31,NA
81141,Closed fracture of ilium,Condition,SNOMED,Disorder,S,17616007,2002-01-31,2099-12-31,NA
81696,Closed fracture of acetabulum,Condition,SNOMED,Disorder,S,33118001,2002-01-31,2099-12-31,NA
194180,Open fracture of lumbar vertebra with spinal cord injury,Condition,SNOMED,Disorder,S,48956000,2002-01-31,2099-12-31,NA
195948,Closed fracture of lumbar vertebra with spinal cord injury,Condition,SNOMED,Disorder,S,49747005,2002-01-31,2099-12-31,NA
606228,Pathological fracture of pelvis and femur,Condition,SNOMED,Disorder,S,1144497004,2021-07-31,2099-12-31,NA
606229,Fracture malunion of pelvis and femur,Condition,SNOMED,Disorder,S,1144498009,2021-07-31,2099-12-31,NA
760593,Open avulsion fracture of anterior inferior spine of left ilium,Condition,SNOMED,Disorder,S,11306161000119107,2015-03-01,2099-12-31,NA
760594,Closed avulsion fracture of anterior inferior spine of right ilium,Condition,SNOMED,Disorder,S,11306281000119105,2015-03-01,2099-12-31,NA
760595,Closed avulsion fracture of anterior inferior spine of left ilium,Condition,SNOMED,Disorder,S,11306321000119100,2015-03-01,2099-12-31,NA
760596,Closed avulsion fracture of anterior superior spine of right ilium,Condition,SNOMED,Disorder,S,11306361000119105,2015-03-01,2099-12-31,NA
760597,Closed fracture of right ilium,Condition,SNOMED,Disorder,S,11306441000119104,2015-03-01,2099-12-31,NA
760598,Open fracture of right pubis,Condition,SNOMED,Disorder,S,11306601000119104,2015-03-01,2099-12-31,NA
760599,Open fracture of left pubis,Condition,SNOMED,Disorder,S,11306641000119102,2015-03-01,2099-12-31,NA
760600,Stress fracture of right pubic ramus,Condition,SNOMED,Disorder,S,11306681000119107,2015-03-01,2099-12-31,NA
760601,Stress fracture of left pubic ramus,Condition,SNOMED,Disorder,S,11306721000119101,2015-03-01,2099-12-31,NA
760602,Closed fracture of right pubis,Condition,SNOMED,Disorder,S,11306761000119106,2015-03-01,2099-12-31,NA
760603,Closed fracture of left pubis,Condition,SNOMED,Disorder,S,11306801000119103,2015-03-01,2099-12-31,NA
760604,Closed fracture of right ischium,Condition,SNOMED,Disorder,S,11306921000119104,2015-03-01,2099-12-31,NA
760605,Closed fracture of posterior column of right acetabulum,Condition,SNOMED,Disorder,S,11307001000119109,2015-03-01,2099-12-31,NA
760606,Closed fracture of anterior column of right acetabulum,Condition,SNOMED,Disorder,S,11307081000119101,2015-03-01,2099-12-31,NA
760608,Closed fracture of posterior column of left acetabulum,Condition,SNOMED,Disorder,S,11307121000119104,2015-03-01,2099-12-31,NA
760609,Closed transverse and posterior wall fracture of right acetabulum,Condition,SNOMED,Disorder,S,11307161000119109,2015-03-01,2099-12-31,NA
760610,Closed fracture of left acetabulum,Condition,SNOMED,Disorder,S,11307281000119107,2015-03-01,2099-12-31,NA
760611,Closed transverse fracture of right acetabulum,Condition,SNOMED,Disorder,S,11307321000119102,2015-03-01,2099-12-31,NA
760612,Closed transverse fracture of left acetabulum,Condition,SNOMED,Disorder,S,11307361000119107,2015-03-01,2099-12-31,NA
760613,Closed fracture of anterior column and posterior column of right acetabulum,Condition,SNOMED,Disorder,S,11307401000119103,2015-03-01,2099-12-31,NA
760614,Closed fracture of anterior column and posterior column of left acetabulum,Condition,SNOMED,Disorder,S,11307441000119101,2015-03-01,2099-12-31,NA
760615,Closed fracture of anterior wall of right acetabulum,Condition,SNOMED,Disorder,S,11307641000119104,2015-03-01,2099-12-31,NA
760616,Closed fracture of posterior wall of right acetabulum,Condition,SNOMED,Disorder,S,11307721000119103,2015-03-01,2099-12-31,NA
760617,Closed fracture of posterior wall of left acetabulum,Condition,SNOMED,Disorder,S,11307761000119108,2015-03-01,2099-12-31,NA
760618,Closed fracture of medial wall of right acetabulum,Condition,SNOMED,Disorder,S,11307801000119100,2015-03-01,2099-12-31,NA
760619,Closed fracture of medial wall of left acetabulum,Condition,SNOMED,Disorder,S,11307841000119103,2015-03-01,2099-12-31,NA
760620,Open fracture of right acetabulum,Condition,SNOMED,Disorder,S,11308201000119103,2015-03-01,2099-12-31,NA
763802,Open avulsion fracture of anterior inferior spine of ilium,Condition,SNOMED,Disorder,S,446561000124102,2015-03-01,2099-12-31,NA
765032,Closed avulsion fracture of anterior superior spine of left ilium,Condition,SNOMED,Disorder,S,11306401000119101,2015-03-01,2099-12-31,NA
765184,Closed fracture of left ilium,Condition,SNOMED,Disorder,S,11306481000119109,2015-03-01,2099-12-31,NA
765185,Closed fracture of left ischium,Condition,SNOMED,Disorder,S,11306961000119109,2015-03-01,2099-12-31,NA
765186,Closed fracture of right acetabulum,Condition,SNOMED,Disorder,S,11307201000119104,2015-03-01,2099-12-31,NA
765187,Closed fracture of anterior wall of left acetabulum,Condition,SNOMED,Disorder,S,11307681000119109,2015-03-01,2099-12-31,NA
1244266,Central cord syndrome of lumbar spinal cord due to open spinal fracture,Condition,SNOMED,Disorder,S,1279876004,2023-12-01,2099-12-31,NA
1244267,Central cord syndrome of lumbar spinal cord due to closed spinal fracture,Condition,SNOMED,Disorder,S,1279877008,2023-12-01,2099-12-31,NA
1244837,Fracture of ramus of pubis,Condition,SNOMED,Disorder,S,1292974007,2023-11-01,2099-12-31,NA
1244839,Closed fracture of pubic ramus,Condition,SNOMED,Disorder,S,1292980004,2023-11-01,2099-12-31,NA
1244840,Open fracture of pubic ramus,Condition,SNOMED,Disorder,S,1292981000,2023-11-01,2099-12-31,NA
1450559,Fracture of left acetabulum,Condition,SNOMED,Disorder,S,47561000087101,2025-01-01,2099-12-31,NA
1450560,Fracture of right acetabulum,Condition,SNOMED,Disorder,S,47571000087105,2025-01-01,2099-12-31,NA
3656845,Multiple closed fractures of pelvis without disruption of pelvic circle,Condition,SNOMED,Disorder,S,328821000119104,2020-07-31,2099-12-31,NA
4008220,"Closed fracture lumbar vertebra, wedge",Condition,SNOMED,Disorder,S,207959006,2002-01-31,2099-12-31,NA
4008221,"Closed fracture lumbar vertebra, spinous process",Condition,SNOMED,Disorder,S,207961002,2002-01-31,2099-12-31,NA
4008222,Open fracture lumbar vertebra,Condition,SNOMED,Disorder,S,207965006,2002-01-31,2099-12-31,NA
4008352,"Open fracture lumbar vertebra, burst",Condition,SNOMED,Disorder,S,207966007,2002-01-31,2099-12-31,NA
4008353,"Open fracture lumbar vertebra, spinous process",Condition,SNOMED,Disorder,S,207969000,2002-01-31,2099-12-31,NA
4008356,Multiple fractures of lumbar spine and/or pelvis,Condition,SNOMED,Disorder,S,207993005,2002-01-31,2099-12-31,NA
4008519,"Closed fracture acetabulum, anterior column",Condition,SNOMED,Disorder,S,208148000,2002-01-31,2099-12-31,NA
4008520,"Closed fracture acetabulum, posterior column",Condition,SNOMED,Disorder,S,208149008,2002-01-31,2099-12-31,NA
4008523,"Open fracture acetabulum, posterior column",Condition,SNOMED,Disorder,S,208158001,2002-01-31,2099-12-31,NA
4008524,Closed stable fracture of multiple pubic rami,Condition,SNOMED,Disorder,S,208166005,2002-01-31,2099-12-31,NA
4009911,"Closed fracture lumbar vertebra, transverse process",Condition,SNOMED,Disorder,S,207962009,2002-01-31,2099-12-31,NA
4009912,"Open fracture lumbar vertebra, wedge",Condition,SNOMED,Disorder,S,207967003,2002-01-31,2099-12-31,NA
4009913,"Open fracture lumbar vertebra, transverse process",Condition,SNOMED,Disorder,S,207970004,2002-01-31,2099-12-31,NA
4009914,"Open fracture lumbar vertebra, tricolumnar",Condition,SNOMED,Disorder,S,207972007,2002-01-31,2099-12-31,NA
4009915,Closed compression fracture sacrum,Condition,SNOMED,Disorder,S,207975009,2002-01-31,2099-12-31,NA
