concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
72405,Osteoarthritis of shoulder region,Condition,SNOMED,Disorder,S,67315001,2002-01-31,2099-12-31,NA
73840,"Localized, primary osteoarthritis of the shoulder region",Condition,SNOMED,Disorder,S,201831003,2002-01-31,2099-12-31,NA
74722,Secondary localized osteoarthrosis of pelvic region,Condition,SNOMED,Disorder,S,25343008,2002-01-31,2099-12-31,NA
75036,"Localized, primary osteoarthritis of the hand",Condition,SNOMED,Disorder,S,201834006,2002-01-31,2099-12-31,NA
75617,Generalized osteoarthritis,Condition,SNOMED,Disorder,S,201819000,2002-01-31,2099-12-31,NA
76194,Osteoarthrosis involving multiple sites but not designated as generalized,Condition,SNOMED,Disorder,S,33262002,2002-01-31,2099-12-31,NA
77631,"Localized, secondary osteoarthritis of the shoulder region",Condition,SNOMED,Disorder,S,201849003,2002-01-31,2099-12-31,NA
78227,Osteoarthritis of joint of hand,Condition,SNOMED,Disorder,S,22193007,2002-01-31,2099-12-31,NA
79904,"Localized, secondary osteoarthritis of the hand",Condition,SNOMED,Disorder,S,201852006,2002-01-31,2099-12-31,NA
80180,Osteoarthritis,Condition,SNOMED,Disorder,S,396275006,2003-07-31,2099-12-31,NA
80183,"Localized, secondary osteoarthritis of the ankle and/or foot",Condition,SNOMED,Disorder,S,201855008,2002-01-31,2099-12-31,NA
80802,"Localized, secondary osteoarthritis",Condition,SNOMED,Disorder,S,201847001,2002-01-31,2099-12-31,NA
759878,Osteoarthritis of right acromioclavicular joint,Condition,SNOMED,Disorder,S,1074371000119104,2015-09-01,2099-12-31,NA
759881,Osteoarthritis of left acromioclavicular joint,Condition,SNOMED,Disorder,S,1074431000119108,2015-09-01,2099-12-31,NA
760900,Osteoarthritis of finger joint of left hand,Condition,SNOMED,Disorder,S,12241631000119102,2015-09-01,2099-12-31,NA
760901,Osteoarthritis of finger joint of right hand,Condition,SNOMED,Disorder,S,12241671000119104,2015-09-01,2099-12-31,NA
1076569,Bilateral subtalar osteoarthritis,Condition,SNOMED,Disorder,S,15722481000119101,2024-06-01,2099-12-31,NA
1244122,Secondary osteoarthritis of hip,Condition,SNOMED,Disorder,S,1071171000119104,2023-10-01,2099-12-31,NA
1244139,Secondary osteoarthritis of left hip,Condition,SNOMED,Disorder,S,1074321000119100,2023-10-01,2099-12-31,NA
1244140,Secondary osteoarthritis of right hip,Condition,SNOMED,Disorder,S,1074331000119102,2023-10-01,2099-12-31,NA
1244141,Secondary osteoarthritis of bilateral knees,Condition,SNOMED,Disorder,S,1074341000119106,2023-10-01,2099-12-31,NA
1244142,Secondary osteoarthritis of left knee,Condition,SNOMED,Disorder,S,1074351000119108,2023-10-01,2099-12-31,NA
1244143,Secondary osteoarthritis of right knee,Condition,SNOMED,Disorder,S,1074361000119105,2023-10-01,2099-12-31,NA
1244144,Secondary osteoarthritis of right foot,Condition,SNOMED,Disorder,S,1074541000119103,2023-10-01,2099-12-31,NA
1244145,Secondary osteoarthritis of left foot,Condition,SNOMED,Disorder,S,1074551000119101,2023-10-01,2099-12-31,NA
1244521,Secondary osteoarthritis of joint of wrist,Condition,SNOMED,Disorder,S,1288014009,2023-10-01,2099-12-31,NA
1244522,Secondary osteoarthritis of joint of hand,Condition,SNOMED,Disorder,S,1288016006,2023-10-01,2099-12-31,NA
1244524,Secondary osteoarthritis of joint of foot,Condition,SNOMED,Disorder,S,1288018007,2023-10-01,2099-12-31,NA
1244606,Secondary osteoarthritis of glenohumeral joint,Condition,SNOMED,Disorder,S,1290147003,2023-10-01,2099-12-31,NA
1245608,Secondary osteoarthritis of bilateral ankles,Condition,SNOMED,Disorder,S,15723001000119109,2023-10-01,2099-12-31,NA
1245609,Secondary osteoarthritis of bilateral feet,Condition,SNOMED,Disorder,S,15723041000119106,2023-10-01,2099-12-31,NA
1245610,Secondary osteoarthritis of bilateral hands,Condition,SNOMED,Disorder,S,15723081000119101,2023-10-01,2099-12-31,NA
1245611,Secondary osteoarthritis of bilateral hips,Condition,SNOMED,Disorder,S,15723121000119104,2023-10-01,2099-12-31,NA
1245612,Secondary osteoarthritis of bilateral elbows,Condition,SNOMED,Disorder,S,15723161000119109,2023-10-01,2099-12-31,NA
1245613,Secondary osteoarthritis of bilateral glenohumeral joints,Condition,SNOMED,Disorder,S,15723201000119104,2023-10-01,2099-12-31,NA
1245614,Secondary osteoarthritis of bilateral wrists,Condition,SNOMED,Disorder,S,15723241000119102,2023-10-01,2099-12-31,NA
1245868,Secondary osteoarthritis of left ankle,Condition,SNOMED,Disorder,S,16583201000119109,2023-10-01,2099-12-31,NA
1245869,Secondary osteoarthritis of right ankle,Condition,SNOMED,Disorder,S,16583241000119106,2023-10-01,2099-12-31,NA
1246189,Secondary osteoarthritis of elbow,Condition,SNOMED,Disorder,S,320311000119102,2023-10-01,2099-12-31,NA
1246190,Secondary osteoarthritis of left elbow,Condition,SNOMED,Disorder,S,320331000119107,2023-10-01,2099-12-31,NA
1246191,Secondary osteoarthritis of left hand,Condition,SNOMED,Disorder,S,320341000119103,2023-10-01,2099-12-31,NA
1246192,Secondary osteoarthritis of left glenohumeral joint,Condition,SNOMED,Disorder,S,320351000119101,2023-10-01,2099-12-31,NA
1246193,Secondary osteoarthritis of left wrist,Condition,SNOMED,Disorder,S,320361000119104,2023-10-01,2099-12-31,NA
1246194,Secondary osteoarthritis of right elbow,Condition,SNOMED,Disorder,S,320381000119108,2023-10-01,2099-12-31,NA
1246195,Secondary osteoarthritis of right hand,Condition,SNOMED,Disorder,S,320391000119106,2023-10-01,2099-12-31,NA
1246196,Secondary osteoarthritis of right glenohumeral joint,Condition,SNOMED,Disorder,S,320401000119108,2023-10-01,2099-12-31,NA
1246197,Secondary osteoarthritis of right wrist,Condition,SNOMED,Disorder,S,320411000119106,2023-10-01,2099-12-31,NA
1340416,Exacerbation of osteoarthritis,Condition,OMOP Extension,Disorder,S,OMOP5166071,2022-05-06,2099-12-31,NA
1340525,Rapidly progressive osteoarthritis,Condition,OMOP Extension,Disorder,S,OMOP5166180,2022-05-06,2099-12-31,NA
1340526,Rapidly progressive osteoarthritis type 1,Condition,OMOP Extension,Disorder,S,OMOP5166181,2022-05-06,2099-12-31,NA
1340527,Rapidly progressive osteoarthritis type 2,Condition,OMOP Extension,Disorder,S,OMOP5166182,2022-05-06,2099-12-31,NA
1448869,Osteoarthritis of spine,Condition,SNOMED,Disorder,S,1343601009,2024-11-01,2099-12-31,NA
1448870,Osteoarthritis of thoracic spine,Condition,SNOMED,Disorder,S,1343603007,2024-11-01,2099-12-31,NA
1448871,Osteoarthritis of cervical spine,Condition,SNOMED,Disorder,S,1343604001,2024-11-01,2099-12-31,NA
1448872,Osteoarthritis of lumbar spine,Condition,SNOMED,Disorder,S,1343605000,2024-11-01,2099-12-31,NA
3180503,Scapholunate advanced collapse,Condition,Nebraska Lexicon,Clinical Finding,S,22450001000004109,2016-01-28,2099-12-31,NA
3186591,Osteoarthritis of sacroiliac joint,Condition,Nebraska Lexicon,Clinical Finding,S,18860001000004104,2016-01-28,2099-12-31,NA
4003507,Osteoarthritis of temporomandibular joint,Condition,SNOMED,Disorder,S,109668000,2002-01-31,2099-12-31,NA
4035439,Idiopathic osteoarthritis,Condition,SNOMED,Disorder,S,239862000,2002-01-31,2099-12-31,NA
4035440,Osteoarthritis of acromioclavicular joint,Condition,SNOMED,Disorder,S,239865003,2002-01-31,2099-12-31,NA
4035441,Osteoarthritis of wrist,Condition,SNOMED,Disorder,S,239867006,2002-01-31,2099-12-31,NA
4035442,Osteoarthritis of first metatarsophalangeal joint,Condition,SNOMED,Disorder,S,239877008,2002-01-31,2099-12-31,NA
4035756,Osteoarthritis of metacarpophalangeal joint of finger,Condition,SNOMED,Disorder,S,239871009,2002-01-31,2099-12-31,NA
4079749,Osteoarthritis of hip,Condition,SNOMED,Disorder,S,239872002,2002-01-31,2099-12-31,NA
4079750,Osteoarthritis of knee,Condition,SNOMED,Disorder,S,239873007,2002-01-31,2099-12-31,NA
4083694,Osteoarthritis of spinal facet joint,Condition,SNOMED,Disorder,S,239863005,2002-01-31,2099-12-31,NA
4083695,Osteoarthritis of elbow,Condition,SNOMED,Disorder,S,239866002,2002-01-31,2099-12-31,NA
4083696,Osteoarthritis of ankle,Condition,SNOMED,Disorder,S,239874001,2002-01-31,2099-12-31,NA
4083698,Osteoarthritis of subtalar joint,Condition,SNOMED,Disorder,S,239876004,2002-01-31,2099-12-31,NA
4116769,Osteoarthritis of bilateral hip joints due to and following trauma,Condition,SNOMED,Disorder,S,201857000,2002-01-31,2099-12-31,NA
4144996,Generalized osteoarthritis of the hand,Condition,SNOMED,Disorder,S,267889007,2002-01-31,2099-12-31,NA
4147779,Osteoarthritis of multiple joints,Condition,SNOMED,Disorder,S,268054009,2002-01-31,2099-12-31,NA
4150309,"Localized, secondary osteoarthritis of the pelvic region and thigh",Condition,SNOMED,Disorder,S,267890003,2002-01-31,2099-12-31,NA
