concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
72817,Tuberculosis of urinary organs,Condition,SNOMED,Disorder,S,111830007,2002-01-31,2099-12-31,NA
73153,Malignant neoplasm of lateral wall of urinary bladder,Condition,SNOMED,Disorder,S,188241004,2002-01-31,2099-12-31,NA
73712,Malignant neoplasm of dome of urinary bladder,Condition,SNOMED,Disorder,S,188240003,2002-01-31,2099-12-31,NA
73720,Overlapping malignant neoplasm of urinary system,Condition,SNOMED,Disorder,S,109870007,2002-01-31,2099-12-31,NA
74082,Acontractile detrusor,Condition,SNOMED,Disorder,S,197870000,2002-01-31,2099-12-31,NA
75004,Frank hematuria,Condition,SNOMED,Disorder,S,197941005,2002-01-31,2099-12-31,NA
75756,Malignant neoplasm of posterior wall of urinary bladder,Condition,SNOMED,Disorder,S,188243001,2002-01-31,2099-12-31,NA
75865,Disorder of urinary system,Condition,SNOMED,Disorder,S,128606002,2002-01-31,2099-12-31,NA
76153,Low compliance urinary bladder,Condition,SNOMED,Disorder,S,9009001,2002-01-31,2099-12-31,NA
76154,Hemorrhage into wall of urinary bladder,Condition,SNOMED,Disorder,S,17615006,2002-01-31,2099-12-31,NA
76349,Primary malignant neoplasm of urinary system,Condition,SNOMED,Disorder,S,94125001,2002-01-31,2099-12-31,NA
76924,Primary malignant neoplasm of ureteric orifice of urinary bladder,Condition,SNOMED,Disorder,S,94122003,2002-01-31,2099-12-31,NA
77812,Malignant neoplasm of anterior wall of urinary bladder,Condition,SNOMED,Disorder,S,188242006,2002-01-31,2099-12-31,NA
78357,Reactive arthritis triad,Condition,SNOMED,Disorder,S,67224007,2002-01-31,2099-12-31,NA
78472,Microscopic hematuria,Condition,SNOMED,Disorder,S,197940006,2002-01-31,2099-12-31,NA
78706,Benign neoplasm of urinary system,Condition,SNOMED,Disorder,S,92468007,2002-01-31,2099-12-31,NA
79765,Neoplasm of uncertain behavior of urinary system,Condition,SNOMED,Disorder,S,95165006,2002-01-31,2099-12-31,NA
79768,Neoplasm of urinary system,Condition,SNOMED,Disorder,S,126879004,2002-01-31,2099-12-31,NA
79864,Hematuria syndrome,Condition,SNOMED,Disorder,S,53298000,2002-01-31,2099-12-31,NA
80070,Uric acid urolithiasis,Condition,SNOMED,Disorder,S,267441009,2002-01-31,2099-12-31,NA
80593,Urinary complication,Condition,SNOMED,Disorder,S,49698005,2002-01-31,2099-12-31,NA
81247,Carcinoma in situ of urinary system,Condition,SNOMED,Disorder,S,92786009,2002-01-31,2099-12-31,NA
81902,Urinary tract infectious disease,Condition,SNOMED,Disorder,S,68566005,2002-01-31,2099-12-31,NA
192276,Chronic gouty nephropathy,Condition,SNOMED,Disorder,S,190829000,2002-01-31,2099-12-31,NA
192279,Disorder of kidney due to diabetes mellitus,Condition,SNOMED,Disorder,S,127013003,2002-01-31,2099-12-31,NA
192359,Renal failure syndrome,Condition,SNOMED,Disorder,S,42399005,2002-01-31,2099-12-31,NA
192362,Nephrotic syndrome with membranoproliferative glomerulonephritis,Condition,SNOMED,Disorder,S,197591002,2002-01-31,2099-12-31,NA
192364,Nephrotic syndrome associated with another disorder,Condition,SNOMED,Disorder,S,197603000,2002-01-31,2099-12-31,NA
192440,Ureterocele,Condition,SNOMED,Disorder,S,12818004,2002-01-31,2099-12-31,NA
192450,Retention of urine,Condition,SNOMED,Disorder,S,267064002,2002-01-31,2099-12-31,NA
192679,Renal disease in pregnancy AND/OR puerperium without hypertension,Condition,SNOMED,Disorder,S,75150001,2002-01-31,2099-12-31,NA
192686,Hypertrophy of kidney,Condition,SNOMED,Disorder,S,88531004,2002-01-31,2099-12-31,NA
192855,Carcinoma in situ of urinary bladder,Condition,SNOMED,Disorder,S,92546004,2002-01-31,2099-12-31,NA
192958,Mobile kidney,Condition,SNOMED,Disorder,S,9918001,2002-01-31,2099-12-31,NA
192964,Infectious disorder of kidney,Condition,SNOMED,Disorder,S,129128006,2002-01-31,2099-12-31,NA
192965,Calculus in diverticulum of urinary bladder,Condition,SNOMED,Disorder,S,18109005,2002-01-31,2099-12-31,NA
193140,Acute gonococcal cystitis,Condition,SNOMED,Disorder,S,24868007,2002-01-31,2099-12-31,NA
193170,Renal glycosuria,Condition,SNOMED,Disorder,S,267430007,2002-01-31,2099-12-31,NA
193186,Cauda equina syndrome with neurogenic urinary bladder,Condition,SNOMED,Disorder,S,12454008,2002-01-31,2099-12-31,NA
193253,Nephritis,Condition,SNOMED,Disorder,S,52845002,2002-01-31,2099-12-31,NA
193312,Congenital anomaly of ureter,Condition,SNOMED,Disorder,S,51794008,2002-01-31,2099-12-31,NA
193493,Benign hypertensive renal disease,Condition,SNOMED,Disorder,S,193003,2002-01-31,2099-12-31,NA
193520,Urinary bladder stone,Condition,SNOMED,Disorder,S,70650003,2002-01-31,2099-12-31,NA
193598,Extravasation of urine,Condition,SNOMED,Disorder,S,274732007,2002-01-31,2099-12-31,NA
193620,Injury of kidney without open wound into abdominal cavity,Condition,SNOMED,Disorder,S,20341008,2002-01-31,2099-12-31,NA
193782,End-stage renal disease,Condition,SNOMED,Disorder,S,46177005,2002-01-31,2099-12-31,NA
193955,Tuberculosis of kidney,Condition,SNOMED,Disorder,S,44323002,2002-01-31,2099-12-31,NA
194081,Acute cystitis,Condition,SNOMED,Disorder,S,68226007,2002-01-31,2099-12-31,NA
194091,Calculus in urethra,Condition,SNOMED,Disorder,S,20342001,2002-01-31,2099-12-31,NA
194152,Renal agenesis and dysgenesis,Condition,SNOMED,Disorder,S,204938007,2002-01-31,2099-12-31,NA
194200,Laceration of kidney without open wound into abdominal cavity,Condition,SNOMED,Disorder,S,74324004,2002-01-31,2099-12-31,NA
194405,Nephrotic syndrome with membranous glomerulonephritis,Condition,SNOMED,Disorder,S,197590001,2002-01-31,2099-12-31,NA
194406,Urinary tract obstruction,Condition,SNOMED,Disorder,S,7163005,2002-01-31,2099-12-31,NA
194408,Hydroureter,Condition,SNOMED,Disorder,S,69758005,2002-01-31,2099-12-31,NA
194418,Urethral caruncle,Condition,SNOMED,Disorder,S,6929003,2002-01-31,2099-12-31,NA
194685,Non-obstructive reflux-associated chronic pyelonephritis,Condition,SNOMED,Disorder,S,197764002,2002-01-31,2099-12-31,NA
194686,Acquired renal cystic disease,Condition,SNOMED,Disorder,S,105999006,2002-01-31,2099-12-31,NA
194995,Disorder of ureter,Condition,SNOMED,Disorder,S,128073008,2002-01-31,2099-12-31,NA
194996,Postoperative urethral stricture,Condition,SNOMED,Disorder,S,111411000,2002-01-31,2099-12-31,NA
195072,Medullary sponge kidney,Condition,SNOMED,Disorder,S,236443009,2002-01-31,2099-12-31,NA
195223,Renal carnitine transport defect,Condition,SNOMED,Disorder,S,21764004,2002-01-31,2099-12-31,NA
195289,Goodpasture's syndrome,Condition,SNOMED,Disorder,S,50581000,2002-01-31,2099-12-31,NA
195312,Functional disorder of urinary bladder,Condition,SNOMED,Disorder,S,236632007,2002-01-31,2099-12-31,NA
195313,Urethral abscess,Condition,SNOMED,Disorder,S,67277002,2002-01-31,2099-12-31,NA
