concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
30234,Neck sprain,Condition,SNOMED,Disorder,S,209557005,2002-01-31,2099-12-31,NA
72398,Arthropathy in Behcet's syndrome,Condition,SNOMED,Disorder,S,62918002,2002-01-31,2099-12-31,NA
72399,Arthropathy in Behcet's syndrome of multiple sites,Condition,SNOMED,Disorder,S,201492003,2002-01-31,2099-12-31,NA
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,Condition,SNOMED,Disorder,S,201550005,2002-01-31,2099-12-31,NA
72401,Kashin-Bek disease,Condition,SNOMED,Disorder,S,270505009,2002-01-31,2099-12-31,NA
72403,Hemarthrosis of the ankle and/or foot,Condition,SNOMED,Disorder,S,267948008,2002-01-31,2099-12-31,NA
72405,Osteoarthritis of shoulder region,Condition,SNOMED,Disorder,S,67315001,2002-01-31,2099-12-31,NA
72406,Old disruption of ligament of knee other than collateral AND/OR cruciate ligaments,Condition,SNOMED,Disorder,S,56458007,2002-01-31,2099-12-31,NA
72407,Effusion of joint of shoulder region,Condition,SNOMED,Disorder,S,40884005,2002-01-31,2099-12-31,NA
72410,Infection of bone,Condition,SNOMED,Disorder,S,111253001,2002-01-31,2099-12-31,NA
72415,Synovial plica,Condition,SNOMED,Disorder,S,268005002,2002-01-31,2099-12-31,NA
72418,Scoliosis deformity of spine,Condition,SNOMED,Disorder,S,298382003,2002-01-31,2099-12-31,NA
72421,Solitary bone cyst,Condition,SNOMED,Disorder,S,203467005,2002-01-31,2099-12-31,NA
72459,Closed fracture of two ribs,Condition,SNOMED,Disorder,S,3291007,2002-01-31,2099-12-31,NA
72460,Open fracture of seven ribs,Condition,SNOMED,Disorder,S,69029002,2002-01-31,2099-12-31,NA
72465,Closed fracture of one or more phalanges of hand,Condition,SNOMED,Disorder,S,208430000,2002-01-31,2099-12-31,NA
72468,Open dislocation of jaw,Condition,SNOMED,Disorder,S,208748005,2002-01-31,2099-12-31,NA
72469,Closed traumatic dislocation of joint of shoulder region,Condition,SNOMED,Disorder,S,22911007,2002-01-31,2099-12-31,NA
72562,Gonococcal spondylitis,Condition,SNOMED,Disorder,S,53664003,2002-01-31,2099-12-31,NA
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",Condition,SNOMED,Disorder,S,372115003,2002-07-31,2099-12-31,NA
72618,Disorder of skeletal muscle,Condition,SNOMED,Disorder,S,75047002,2002-01-31,2099-12-31,NA
72708,Traumatic arthropathy of the shoulder region,Condition,SNOMED,Disorder,S,201932009,2002-01-31,2099-12-31,NA
72709,Crystal arthropathy of multiple sites,Condition,SNOMED,Disorder,S,20075001,2002-01-31,2099-12-31,NA
72712,Synovial cyst,Condition,SNOMED,Disorder,S,240205003,2002-01-31,2099-12-31,NA
72715,Exostosis,Condition,SNOMED,Disorder,S,416189003,2005-07-31,2099-12-31,NA
72745,Open dislocation of elbow,Condition,SNOMED,Disorder,S,11920000,2002-01-31,2099-12-31,NA
72857,Late effect of rickets,Condition,SNOMED,Disorder,S,190641005,2002-01-31,2099-12-31,NA
72984,Reactive arthritis of joint of shoulder region due to and following dysentery,Condition,SNOMED,Disorder,S,201497009,2002-01-31,2099-12-31,NA
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,Condition,SNOMED,Disorder,S,201552002,2002-01-31,2099-12-31,NA
72988,Pyogenic arthritis of hand,Condition,SNOMED,Disorder,S,61112000,2002-01-31,2099-12-31,NA
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",Condition,SNOMED,Disorder,S,201540009,2002-01-31,2099-12-31,NA
72990,Localized osteoarthrosis uncertain if primary OR secondary,Condition,SNOMED,Disorder,S,90860001,2002-01-31,2099-12-31,NA
72991,Traumatic arthropathy of multiple sites,Condition,SNOMED,Disorder,S,201940003,2002-01-31,2099-12-31,NA
72992,Allergic arthritis,Condition,SNOMED,Disorder,S,16935003,2002-01-31,2099-12-31,NA
72993,"Localized, primary osteoarthritis",Condition,SNOMED,Disorder,S,201829007,2002-01-31,2099-12-31,NA
72994,Jaccoud's syndrome,Condition,SNOMED,Disorder,S,84801008,2002-01-31,2099-12-31,NA
72997,Articular cartilage disorder of upper arm,Condition,SNOMED,Disorder,S,9051008,2002-01-31,2099-12-31,NA
73001,Myositis,Condition,SNOMED,Disorder,S,26889001,2002-01-31,2099-12-31,NA
73008,Enthesopathy,Condition,SNOMED,Disorder,S,23680005,2002-01-31,2099-12-31,NA
73012,Lordosis deformity of spine,Condition,SNOMED,Disorder,S,61960001,2002-01-31,2099-12-31,NA
73021,Bilateral congenital dislocation of hip,Condition,SNOMED,Disorder,S,10155006,2002-01-31,2099-12-31,NA
73036,Closed fracture of olecranon process of ulna,Condition,SNOMED,Disorder,S,64902007,2002-01-31,2099-12-31,NA
73041,Closed fracture of five ribs,Condition,SNOMED,Disorder,S,17633000,2002-01-31,2099-12-31,NA
73042,Open fracture finger middle phalanx,Condition,SNOMED,Disorder,S,208483008,2002-01-31,2099-12-31,NA
73043,Open dislocation of glenohumeral joint,Condition,SNOMED,Disorder,S,13975002,2002-01-31,2099-12-31,NA
73045,Sprain of hand,Condition,SNOMED,Disorder,S,87778004,2002-01-31,2099-12-31,NA
73122,Tuberculosis of knee,Condition,SNOMED,Disorder,S,17136009,2002-01-31,2099-12-31,NA
73183,Myotonic disorder,Condition,SNOMED,Disorder,S,193237003,2002-01-31,2099-12-31,NA
73184,Familial periodic paralysis,Condition,SNOMED,Disorder,S,267607008,2002-01-31,2099-12-31,NA
73287,Crystal arthropathy of ankle AND/OR foot,Condition,SNOMED,Disorder,S,75468006,2002-01-31,2099-12-31,NA
73289,Pathological dislocation of multiple joints,Condition,SNOMED,Disorder,S,202175000,2002-01-31,2099-12-31,NA
73291,Palindromic rheumatism of ankle and/or foot,Condition,SNOMED,Disorder,S,202463000,2002-01-31,2099-12-31,NA
73297,Resolving infantile idiopathic scoliosis,Condition,SNOMED,Disorder,S,28801006,2002-01-31,2099-12-31,NA
73300,Radial styloid tenosynovitis,Condition,SNOMED,Disorder,S,21794005,2002-01-31,2099-12-31,NA
73313,Longitudinal deficiency of tarsal bone,Condition,SNOMED,Disorder,S,29581008,2002-01-31,2099-12-31,NA
73334,Closed posterior dislocation of elbow,Condition,SNOMED,Disorder,S,4273008,2002-01-31,2099-12-31,NA
73335,Closed posterior dislocation of proximal end of tibia,Condition,SNOMED,Disorder,S,14741001,2002-01-31,2099-12-31,NA
73336,Closed traumatic dislocation ankle joint,Condition,SNOMED,Disorder,S,208981003,2002-01-31,2099-12-31,NA
73338,Sprain of lateral collateral ligament of knee,Condition,SNOMED,Disorder,S,35726004,2002-01-31,2099-12-31,NA
73341,Closed fracture of head of radius,Condition,SNOMED,Disorder,S,68854005,2002-01-31,2099-12-31,NA
73343,Closed posterior dislocation of hip,Condition,SNOMED,Disorder,S,63975004,2002-01-31,2099-12-31,NA
73534,Disproportion between fetus and pelvis,Condition,SNOMED,Disorder,S,25749005,2002-01-31,2099-12-31,NA
73550,Crystal arthropathy of elbow,Condition,SNOMED,Disorder,S,428768008,2008-01-31,2099-12-31,NA
73553,Arthropathy,Condition,SNOMED,Disorder,S,399269003,2003-07-31,2099-12-31,NA
73554,Kashin-Beck disease of the pelvic region and thigh,Condition,SNOMED,Disorder,S,201925000,2002-01-31,2099-12-31,NA
73555,Transient arthropathy of the pelvic region and thigh,Condition,SNOMED,Disorder,S,201992007,2002-01-31,2099-12-31,NA
73557,Allergic arthritis of the pelvic region and thigh,Condition,SNOMED,Disorder,S,201968004,2002-01-31,2099-12-31,NA
73561,Loose body in joint of shoulder region,Condition,SNOMED,Disorder,S,202148007,2002-01-31,2099-12-31,NA
73564,Full thickness rotator cuff tear,Condition,SNOMED,Disorder,S,202843000,2002-01-31,2099-12-31,NA
73568,Palindromic rheumatism of shoulder region,Condition,SNOMED,Disorder,S,202457009,2002-01-31,2099-12-31,NA
73571,Pathological fracture,Condition,SNOMED,Disorder,S,268029009,2002-01-31,2099-12-31,NA
73574,Nonunion of fracture,Condition,SNOMED,Disorder,S,302941001,2002-01-31,2099-12-31,NA
73609,Open fracture of clavicle,Condition,SNOMED,Disorder,S,111637008,2002-01-31,2099-12-31,NA
73614,Closed fracture of seven ribs,Condition,SNOMED,Disorder,S,20121009,2002-01-31,2099-12-31,NA
73616,Open fracture of lunate bone of wrist,Condition,SNOMED,Disorder,S,53256003,2002-01-31,2099-12-31,NA
73673,Disorder of prosthetic joint,Condition,SNOMED,Disorder,S,240266004,2002-01-31,2099-12-31,NA
73838,Pyogenic arthritis of multiple sites,Condition,SNOMED,Disorder,S,34934005,2002-01-31,2099-12-31,NA
73840,"Localized, primary osteoarthritis of the shoulder region",Condition,SNOMED,Disorder,S,201831003,2002-01-31,2099-12-31,NA
73842,Enthesopathy of elbow region,Condition,SNOMED,Disorder,S,35185008,2002-01-31,2099-12-31,NA
73845,Joint ankylosis of the shoulder region,Condition,SNOMED,Disorder,S,202298000,2002-01-31,2099-12-31,NA
73849,Acquired lordosis deformity of spine,Condition,SNOMED,Disorder,S,44950000,2002-01-31,2099-12-31,NA
73851,Effusion of joint of multiple sites,Condition,SNOMED,Disorder,S,36662003,2002-01-31,2099-12-31,NA
73854,Progressive myositis ossificans,Condition,SNOMED,Disorder,S,82725007,2002-01-31,2099-12-31,NA
73855,Arrest of bone development AND/OR growth,Condition,SNOMED,Disorder,S,36964004,2002-01-31,2099-12-31,NA
73872,Congenital deformity of knee joint,Condition,SNOMED,Disorder,S,61293001,2002-01-31,2099-12-31,NA
73884,Closed fracture of three ribs,Condition,SNOMED,Disorder,S,79546008,2002-01-31,2099-12-31,NA
73888,Open fracture of navicular bone of foot,Condition,SNOMED,Disorder,S,73015009,2002-01-31,2099-12-31,NA
73889,Sprain of distal tibiofibular ligament,Condition,SNOMED,Disorder,S,74383007,2002-01-31,2099-12-31,NA
73913,Burn of shoulder,Condition,SNOMED,Disorder,S,57143002,2002-01-31,2099-12-31,NA
74064,Ankylosis of temporomandibular joint,Condition,SNOMED,Disorder,S,50603008,2002-01-31,2099-12-31,NA
74120,Arthropathy of the shoulder region associated with helminthiasis,Condition,SNOMED,Disorder,S,201546003,2002-01-31,2099-12-31,NA
74124,Traumatic arthropathy,Condition,SNOMED,Disorder,S,58188004,2002-01-31,2099-12-31,NA
74125,Inflammatory polyarthropathy,Condition,SNOMED,Disorder,S,417373000,2005-07-31,2099-12-31,NA
74126,Protrusio acetabuli of the pelvic region and thigh,Condition,SNOMED,Disorder,S,202326005,2002-01-31,2099-12-31,NA
74129,Allergic arthritis of the ankle and/or foot,Condition,SNOMED,Disorder,S,201970008,2002-01-31,2099-12-31,NA
74130,Thoracic spondylosis without myelopathy,Condition,SNOMED,Disorder,S,267971005,2002-01-31,2099-12-31,NA
74132,Degeneration of lumbosacral intervertebral disc,Condition,SNOMED,Disorder,S,60937000,2002-01-31,2099-12-31,NA
74135,Disorder of synovial membrane,Condition,SNOMED,Disorder,S,3519007,2002-01-31,2099-12-31,NA
74138,Pathological fracture of vertebra,Condition,SNOMED,Disorder,S,274146004,2002-01-31,2099-12-31,NA
74150,"Congenital subluxation of hip, bilateral",Condition,SNOMED,Disorder,S,205052001,2002-01-31,2099-12-31,NA
74160,Accessory carpal bones,Condition,SNOMED,Disorder,S,20136007,2002-01-31,2099-12-31,NA
74179,Open fracture of T7-T12 level with spinal cord injury,Condition,SNOMED,Disorder,S,3446000,2002-01-31,2099-12-31,NA
74182,Open fracture of ischium,Condition,SNOMED,Disorder,S,76911006,2002-01-31,2099-12-31,NA
74185,Open fracture of cuboid bone of foot,Condition,SNOMED,Disorder,S,26646003,2002-01-31,2099-12-31,NA
74188,Closed fracture of rib,Condition,SNOMED,Disorder,S,60667009,2002-01-31,2099-12-31,NA
74189,Sprain of cruciate ligament of knee,Condition,SNOMED,Disorder,S,60058008,2002-01-31,2099-12-31,NA
74192,Open fracture of coronoid process of ulna,Condition,SNOMED,Disorder,S,86357008,2002-01-31,2099-12-31,NA
74194,Sprain of spinal ligament,Condition,SNOMED,Disorder,S,281598004,2002-01-31,2099-12-31,NA
74373,Petrositis,Condition,SNOMED,Disorder,S,34997001,2002-01-31,2099-12-31,NA
