concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
434628,Separation anxiety,Condition,SNOMED,Disorder,S,126943008,2002-01-31,2099-12-31,NA
439660,Stepparent relationship problem,Observation,SNOMED,Clinical Finding,S,160828000,2002-01-31,2099-12-31,NA
439662,Girlfriend relationship problem,Observation,SNOMED,Clinical Finding,S,160824003,2002-01-31,2099-12-31,NA
439663,Boyfriend relationship problem,Observation,SNOMED,Clinical Finding,S,160823009,2002-01-31,2099-12-31,NA
439664,Relationship problem,Observation,SNOMED,Clinical Finding,S,160822004,2002-01-31,2099-12-31,NA
439665,Violent spouse,Observation,SNOMED,Clinical Finding,S,160802003,2002-01-31,2099-12-31,NA
602980,Temporary disruption in family processes,Observation,SNOMED,Clinical Finding,S,1149254008,2021-07-31,2099-12-31,NA
605253,Not entitled to social services assistance due to income above limit,Observation,SNOMED,Clinical Finding,S,1010682008,2021-01-31,2099-12-31,NA
605767,Decreased level of relocation stress,Observation,SNOMED,Clinical Finding,S,1137674000,2021-07-31,2099-12-31,NA
605768,Relocation stress syndrome,Observation,SNOMED,Clinical Finding,S,1137675004,2021-07-31,2099-12-31,NA
605769,Decreased level of spiritual stress,Observation,SNOMED,Clinical Finding,S,1137676003,2021-07-31,2099-12-31,NA
605835,Effective family process,Observation,SNOMED,Clinical Finding,S,1141649007,2021-07-31,2099-12-31,NA
606886,Good caregiver child attachment,Observation,SNOMED,Clinical Finding,S,1148785005,2021-07-31,2099-12-31,NA
760715,Codependency in remission,Condition,SNOMED,Clinical Finding,S,113371000119103,2017-03-01,2099-12-31,NA
760973,Family disruption due to family member on military deployment,Observation,SNOMED,Clinical Finding,S,125161000119103,2017-03-01,2099-12-31,NA
761709,Relationship problem between parent and foster child,Observation,SNOMED,Clinical Finding,S,15928061000119107,2017-03-01,2099-12-31,NA
764309,Discontinued medication without order,Observation,SNOMED,Clinical Finding,S,453331000124107,2017-03-01,2099-12-31,NA
764365,Unable to afford medication,Observation,SNOMED,Clinical Finding,S,454061000124102,2017-09-01,2099-12-31,NA
764373,Taking medication without order,Observation,SNOMED,Clinical Finding,S,454151000124100,2017-09-01,2099-12-31,NA
764376,Medication not covered by insurance,Observation,SNOMED,Clinical Finding,S,454181000124108,2017-09-01,2099-12-31,NA
764377,Medication non-adherence due to hearing impairment,Observation,SNOMED,Clinical Finding,S,454191000124106,2017-09-01,2099-12-31,NA
764671,Peer problem in remission,Observation,SNOMED,Clinical Finding,S,52391000119107,2017-03-01,2099-12-31,NA
764672,Phase of life problem in remission,Observation,SNOMED,Clinical Finding,S,52481000119101,2017-03-01,2099-12-31,NA
764683,Unable to afford visit copayment,Observation,SNOMED,Clinical Finding,S,5311000175103,2016-03-01,2099-12-31,NA
764690,Unable to afford glucose monitoring device,Observation,SNOMED,Clinical Finding,S,5371000175108,2016-03-01,2099-12-31,NA
764732,Stops taking medication too soon,Observation,SNOMED,Clinical Finding,S,5641000175105,2016-03-01,2099-12-31,NA
764878,Family disruption in remission,Observation,SNOMED,Clinical Finding,S,74521000119106,2017-03-01,2099-12-31,NA
765484,Unable to afford blood pressure monitor,Observation,SNOMED,Clinical Finding,S,5521000175101,2016-03-01,2099-12-31,NA
765498,Unable to afford weight scale,Observation,SNOMED,Clinical Finding,S,5731000175109,2016-03-01,2099-12-31,NA
1075240,Eligible for benefit,Observation,SNOMED,Clinical Finding,S,1303306008,2024-03-01,2099-12-31,NA
1075241,Finding of eligibility for benefit,Observation,SNOMED,Clinical Finding,S,1303308009,2024-03-01,2099-12-31,NA
1075242,Not eligible for benefit,Observation,SNOMED,Clinical Finding,S,1303309001,2024-03-01,2099-12-31,NA
1076409,Inadequate digital access,Observation,SNOMED,Clinical Finding,S,1343352004,2024-08-01,2099-12-31,NA
1076410,Inadequate digital access due to not subscribing to adequate internet service,Observation,SNOMED,Clinical Finding,S,1343353009,2024-08-01,2099-12-31,NA
1076411,Inadequate digital access due to limited financial resources for subscribing to adequate internet service,Observation,SNOMED,Clinical Finding,S,1343354003,2024-08-01,2099-12-31,NA
1076412,Inadequate digital access due to limited financial resources,Observation,SNOMED,Clinical Finding,S,1343355002,2024-08-01,2099-12-31,NA
