concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
72418,Scoliosis deformity of spine,Condition,SNOMED,Disorder,S,298382003,2002-01-31,2099-12-31,NA
73297,Resolving infantile idiopathic scoliosis,Condition,SNOMED,Disorder,S,28801006,2002-01-31,2099-12-31,NA
76207,Scoliosis due to radiation,Condition,SNOMED,Disorder,S,47518006,2002-01-31,2099-12-31,NA
138545,Progressive infantile idiopathic scoliosis,Condition,SNOMED,Disorder,S,20980008,2002-01-31,2099-12-31,NA
253009,Thoracogenic scoliosis,Condition,SNOMED,Disorder,S,72992003,2002-01-31,2099-12-31,NA
443531,Kyphoscoliosis deformity of spine,Condition,SNOMED,Disorder,S,405773007,2004-01-31,2099-12-31,NA
600829,Degenerative kyphoscoliosis,Condition,SNOMED,Disorder,S,79771000119101,2021-01-31,2099-12-31,NA
600982,Adolescent idiopathic scoliosis of cervical spine,Condition,SNOMED,Disorder,S,301991000119105,2021-07-31,2099-12-31,NA
603019,Scoliosis deformity of spine due to epiphysiopathy,Condition,SNOMED,Disorder,S,1153416009,2021-07-31,2099-12-31,NA
762348,Neuromuscular scoliosis of lumbar spine co-occurrent and due to cerebral palsy,Condition,SNOMED,Disorder,S,329741000119109,2017-09-01,2099-12-31,NA
762349,Neuromuscular scoliosis due to and following poliomyelitis,Condition,SNOMED,Disorder,S,329841000119103,2017-09-01,2099-12-31,NA
762354,Neuromuscular scoliosis of thoracolumbar spine co-occurrent and due to cerebral palsy,Condition,SNOMED,Disorder,S,330521000119103,2017-09-01,2099-12-31,NA
762718,Levoscoliosis,Condition,SNOMED,Disorder,S,430991000124102,2012-09-01,2099-12-31,NA
762719,Dextroscoliosis,Condition,SNOMED,Disorder,S,431001000124101,2012-09-01,2099-12-31,NA
764206,Early-onset scoliosis deformity of spine,Condition,SNOMED,Disorder,S,452011000124106,2017-03-01,2099-12-31,NA
1077007,Thoracolumbar neuromuscular scoliosis due to and following poliomyelitis,Condition,SNOMED,Disorder,S,329891000119106,2024-08-01,2099-12-31,NA
1246251,Cervicothoracic neuromuscular scoliosis due to and following poliomyelitis,Condition,SNOMED,Disorder,S,329871000119105,2024-02-01,2099-12-31,NA
3174503,Paralytic scoliosis,Condition,Nebraska Lexicon,Clinical Finding,S,19380001000004101,2016-01-28,2099-12-31,NA
4006101,Congenital scoliosis due to bony malformation,Condition,SNOMED,Disorder,S,205045003,2002-01-31,2099-12-31,NA
