concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
133669,Epidermal burn of lower leg,Condition,SNOMED,Disorder,S,20490007,2002-01-31,2099-12-31,NA
3657665,Infected abrasion of skin of right lower leg,Condition,SNOMED,Disorder,S,11809421000119102,2020-07-31,2099-12-31,NA
3657666,Infected abrasion of skin of left lower leg,Condition,SNOMED,Disorder,S,11809461000119107,2020-07-31,2099-12-31,NA
3657957,Abrasion of skin of right lower leg,Condition,SNOMED,Disorder,S,11809981000119107,2020-07-31,2099-12-31,NA
3657958,Abrasion of skin of left lower leg,Condition,SNOMED,Disorder,S,11810021000119100,2020-07-31,2099-12-31,NA
4020015,Superficial frostbite of knee and lower leg,Condition,SNOMED,Disorder,S,212922008,2002-01-31,2099-12-31,NA
4052646,Abrasion of skin of lower leg,Condition,SNOMED,Disorder,S,211333001,2002-01-31,2099-12-31,NA
4052655,Multiple superficial injuries of lower leg,Condition,SNOMED,Disorder,S,211384000,2002-01-31,2099-12-31,NA
4055987,"Insect bite, nonvenomous, lower leg",Condition,SNOMED,Disorder,S,211361007,2002-01-31,2099-12-31,NA
4058353,Infected abrasion of skin of lower leg,Condition,SNOMED,Disorder,S,211340000,2002-01-31,2099-12-31,NA
4106355,Superficial injury of lower leg,Condition,SNOMED,Disorder,S,283041008,2002-01-31,2099-12-31,NA
4150485,Traumatic blister of lower leg,Condition,SNOMED,Disorder,S,271177001,2002-01-31,2099-12-31,NA
4153139,"Traumatic blister of lower leg, infected",Condition,SNOMED,Disorder,S,271184009,2002-01-31,2099-12-31,NA
4177630,Foreign body in skin of shin,Condition,SNOMED,Disorder,S,298099005,2002-01-31,2099-12-31,NA
4183111,Foreign body in skin of lower leg,Condition,SNOMED,Disorder,S,298098002,2002-01-31,2099-12-31,NA
4183112,Foreign body in skin of calf,Condition,SNOMED,Disorder,S,298100002,2002-01-31,2099-12-31,NA
37161827,Traumatic blister of right lower leg,Condition,SNOMED,Disorder,S,11829181000119101,2023-02-28,2099-12-31,NA
37161828,Traumatic blister of left lower leg,Condition,SNOMED,Disorder,S,11829221000119109,2023-02-28,2099-12-31,NA
37161904,Foreign body in skin of right lower leg with infection,Condition,SNOMED,Disorder,S,11837481000119100,2023-06-30,2099-12-31,NA
37161905,Foreign body in skin of left lower leg,Condition,SNOMED,Disorder,S,11837521000119100,2021-09-30,2099-12-31,NA
37161906,Foreign body in skin of left lower leg with infection,Condition,SNOMED,Disorder,S,11837561000119105,2023-06-30,2099-12-31,NA
37165261,Foreign body in skin of lower leg with infection,Condition,SNOMED,Disorder,S,1251524009,2022-11-30,2099-12-31,NA
37170162,Foreign body in skin of right lower leg,Condition,SNOMED,Disorder,S,11837441000119105,2021-09-30,2099-12-31,NA
37309923,Epidermal burn of right lower leg,Condition,SNOMED,Disorder,S,11987671000119100,2020-01-31,2099-12-31,NA
37309931,Epidermal burn of left lower leg,Condition,SNOMED,Disorder,S,11986591000119100,2020-01-31,2099-12-31,NA
37309964,Infected wound of left lower leg due to nonvenomous insect bite,Condition,SNOMED,Disorder,S,11837041000119100,2020-01-31,2099-12-31,NA
37309965,Infected wound of right lower leg due to nonvenomous insect bite,Condition,SNOMED,Disorder,S,11837001000119102,2020-01-31,2099-12-31,NA
37310007,Wound of left lower leg due to nonvenomous insect bite,Condition,SNOMED,Disorder,S,11809781000119105,2020-01-31,2099-12-31,NA
37310008,Wound of right lower leg due to nonvenomous insect bite,Condition,SNOMED,Disorder,S,11809741000119100,2020-01-31,2099-12-31,NA
42709751,Epidermal burn of multiple sites of lower leg,Condition,SNOMED,Disorder,S,449623007,2012-01-31,2099-12-31,NA
42709770,Superficial injury of lower leg with infection,Condition,SNOMED,Disorder,S,449642006,2012-01-31,2099-12-31,NA
42709771,Nonvenomous insect bite of lower leg with infection,Condition,SNOMED,Disorder,S,449643001,2012-01-31,2099-12-31,NA
42710043,Nonvenomous insect bite of lower leg without infection,Condition,SNOMED,Disorder,S,449915007,2012-01-31,2099-12-31,NA
43530814,Superficial injury of lower leg without infection,Condition,SNOMED,Disorder,S,609335007,2013-07-31,2099-12-31,NA
43530826,Abrasion and/or friction burn of lower leg without infection,Condition,SNOMED,Disorder,S,609349003,2013-07-31,2099-12-31,NA
43530828,Abrasion and/or friction burn of lower leg with infection,Condition,SNOMED,Disorder,S,609351004,2013-07-31,2099-12-31,NA
