concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept
619141,From initial search,Bicuspid aortic valve-associated aortopathy,Condition,SNOMED,S
4119463,From initial search,Calcific aortic stenosis - bicuspid valve,Condition,SNOMED,S
4218450,From initial search,Bicuspid aortic valve,Condition,SNOMED,S
4353743,From descendants,Bicuspid doming of aortic cusp,Condition,SNOMED,S
36674716,From initial search,Familial bicuspid aortic valve,Condition,SNOMED,S
36716262,From initial search,"Patent ductus arteriosus, bicuspid aortic valve, hand anomaly syndrome",Condition,SNOMED,S
40491529,From initial search,Anterior-posterior orientation of bicuspid aortic valve,Condition,SNOMED,S
40491967,From initial search,Right-left orientation of bicuspid aortic valve,Condition,SNOMED,S
40493451,From initial search,Tricuspid but functionally bicuspid aortic valve,Condition,SNOMED,S
43021302,From initial search,Anomalous origin of coronary arteries from both aortic sinuses of bicuspid valve,Condition,SNOMED,S
