concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept
192657,From descendants,Embolism of iliac artery,Condition,SNOMED,S
195834,From descendants,Atherosclerosis of renal artery,Condition,SNOMED,S
200132,From descendants,Atheroembolism of renal arteries,Condition,SNOMED,S
315558,From descendants,Atherosclerosis of arteries of the extremities,Condition,SNOMED,S
317309,From initial search,Peripheral arterial occlusive disease,Condition,SNOMED,S
434961,From descendants,Occlusion of lower limb artery,Condition,SNOMED,S
439836,From descendants,Atheromatous embolus of upper limb,Condition,SNOMED,S
441044,From descendants,Atheromatous embolus of lower limb,Condition,SNOMED,S
443407,From descendants,Lower limb arterial embolus,Condition,SNOMED,S
443408,From descendants,Upper limb arterial embolus,Condition,SNOMED,S
444264,From descendants,Thrombosis of iliac artery,Condition,SNOMED,S
603303,From descendants,Bilateral atherosclerosis of nonautologous biological bypass graft of lower limbs,Condition,SNOMED,S
605282,From descendants,Thromboembolus of artery of upper limb,Condition,SNOMED,S
605283,From descendants,Thromboembolus of artery of lower limb,Condition,SNOMED,S
609007,From descendants,Bilateral thrombosis of common femoral arteries,Condition,SNOMED,S
609008,From descendants,Bilateral thrombosis of femoral arteries,Condition,SNOMED,S
609010,From descendants,Atherosclerosis of autologous vein bypass graft of left upper limb,Condition,SNOMED,S
609011,From descendants,Atherosclerosis of autologous vein bypass graft of right upper limb,Condition,SNOMED,S
609012,From descendants,Left lower limb atherosclerosis of nonbiological bypass graft,Condition,SNOMED,S
609013,From descendants,Atherosclerosis of bypass graft of left upper limb,Condition,SNOMED,S
609014,From descendants,Right lower limb atherosclerosis of nonbiological bypass graft,Condition,SNOMED,S
609015,From descendants,Atherosclerosis of bypass graft of right upper limb,Condition,SNOMED,S
760869,From descendants,Bilateral atherosclerosis of arteries of lower limbs,Condition,SNOMED,S
761428,From descendants,Stenosis of left renal artery,Condition,SNOMED,S
761429,From descendants,Atherosclerosis of nonautologous biological bypass graft of left lower limb,Condition,SNOMED,S
761430,From descendants,Atherosclerosis of bypass graft of right lower limb,Condition,SNOMED,S
761431,From descendants,Atherosclerosis of nonautologous biological bypass graft of right lower limb,Condition,SNOMED,S
761432,From descendants,Atherosclerosis of autologous bypass graft of left lower limb,Condition,SNOMED,S
761433,From descendants,Atherosclerosis of autologous bypass graft of bilateral lower limbs,Condition,SNOMED,S
761434,From descendants,Atherosclerosis of bypass graft of bilateral lower limbs,Condition,SNOMED,S
761740,From descendants,Congenital stenosis of right renal artery,Condition,SNOMED,S
