concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
137989,Abnormal results of cardiovascular function studies,Condition,SNOMED,Clinical Finding,S,274525000,2002-01-31,2099-12-31,NA
320536,Electrocardiogram abnormal,Condition,SNOMED,Clinical Finding,S,102594003,2002-01-31,2099-12-31,NA
373875,Abnormal nerve conduction,Condition,SNOMED,Clinical Finding,S,24480009,2002-01-31,2099-12-31,NA
376525,Audiogram abnormal,Condition,SNOMED,Clinical Finding,S,275729001,2002-01-31,2099-12-31,NA
432447,Atypical glandular cells on cervical Papanicolaou smear,Condition,SNOMED,Clinical Finding,S,441219009,2009-01-31,2099-12-31,NA
432451,Abnormal results function studies of central nervous system,Condition,SNOMED,Clinical Finding,S,274520005,2002-01-31,2099-12-31,NA
433033,Abnormal cervical Papanicolaou smear,Condition,SNOMED,Clinical Finding,S,439888000,2009-01-31,2099-12-31,NA
433880,Amniotic fluid examination abnormal,Condition,SNOMED,Clinical Finding,S,410037001,2004-07-31,2099-12-31,NA
434165,Abnormal cervical smear,Condition,SNOMED,Clinical Finding,S,309081009,2002-01-31,2099-12-31,NA
434169,Abnormal findings on diagnostic imaging of breast,Condition,SNOMED,Clinical Finding,S,274530001,2002-01-31,2099-12-31,NA
434170,Atypical squamous cells of undetermined significance on cervical Papanicolaou smear,Condition,SNOMED,Clinical Finding,S,441087007,2009-01-31,2099-12-31,NA
434486,Abnormal results function studies peripheral nervous system special senses,Condition,SNOMED,Clinical Finding,S,274519004,2002-01-31,2099-12-31,NA
434492,Abnormal histology findings,Condition,SNOMED,Clinical Finding,S,309198006,2002-01-31,2099-12-31,NA
435081,Abnormal findings diagnostic imaging heart+coronary circulat,Condition,SNOMED,Clinical Finding,S,274531002,2002-01-31,2099-12-31,NA
435086,Echoencephalogram abnormal,Condition,SNOMED,Clinical Finding,S,274538008,2002-01-31,2099-12-31,NA
435651,Atypical squamous cells on cervical Papanicolaou smear cannot exclude high grade squamous intraepithelial lesion,Condition,SNOMED,Clinical Finding,S,441088002,2009-01-31,2099-12-31,NA
435658,Atypical squamous cells on vaginal Papanicolaou smear cannot exclude high grade squamous intraepithelial lesion,Condition,SNOMED,Clinical Finding,S,441115009,2009-01-31,2099-12-31,NA
436231,Abnormal findings diagnostic imaging of liver+biliary tract,Condition,SNOMED,Clinical Finding,S,274527008,2002-01-31,2099-12-31,NA
436245,Atypical glandular cells on vaginal Papanicolaou smear,Condition,SNOMED,Clinical Finding,S,441072002,2009-01-31,2099-12-31,NA
436816,Vaginal vault smear abnormal,Condition,SNOMED,Clinical Finding,S,168472007,2002-01-31,2099-12-31,NA
437677,Abnormal findings on diagnostic imaging of lung,Condition,SNOMED,Clinical Finding,S,274533004,2002-01-31,2099-12-31,NA
437688,Abnormal finding on antenatal screening of mother,Condition,SNOMED,Clinical Finding,S,199732004,2002-01-31,2099-12-31,NA
438559,Abnormal vaginal Papanicolaou smear,Condition,SNOMED,Clinical Finding,S,439856008,2009-01-31,2099-12-31,NA
439154,Abnormal findings on diagnostic imaging of skull and head,Condition,SNOMED,Clinical Finding,S,274535006,2002-01-31,2099-12-31,NA
439651,Cell chromosome examination abnormal,Condition,SNOMED,Clinical Finding,S,168448002,2002-01-31,2099-12-31,NA
440529,Abnormal findings on diagnostic imaging of urinary organs,Condition,SNOMED,Clinical Finding,S,274536007,2002-01-31,2099-12-31,NA
441415,Electromyogram abnormal,Condition,SNOMED,Clinical Finding,S,274523007,2002-01-31,2099-12-31,NA
441691,Atypical squamous cells of undetermined significance on vaginal Papanicolaou smear,Condition,SNOMED,Clinical Finding,S,441099000,2009-01-31,2099-12-31,NA
441969,Radiology result abnormal,Condition,SNOMED,Clinical Finding,S,168501001,2002-01-31,2099-12-31,NA
443411,Abnormal cytology findings,Condition,SNOMED,Clinical Finding,S,309196005,2002-01-31,2099-12-31,NA
443698,Abnormal anal Papanicolaou smear,Condition,SNOMED,Clinical Finding,S,439855007,2009-01-31,2099-12-31,NA
443709,Atypical squamous cells of undetermined significance on anal Papanicolaou smear,Condition,SNOMED,Clinical Finding,S,441086003,2009-01-31,2099-12-31,NA
443715,Atypical squamous cells on anal Papanicolaou smear cannot exclude high grade squamous intraepithelial lesion,Condition,SNOMED,Clinical Finding,S,441114008,2009-01-31,2099-12-31,NA
600595,Reduction of alpha activity in right cerebral hemisphere,Condition,SNOMED,Clinical Finding,S,1119389001,2021-01-31,2099-12-31,NA
601866,Abnormal wellness exam,Condition,SNOMED,Clinical Finding,S,471931000124105,2021-09-01,2099-12-31,NA
604427,Acute ST segment elevation myocardial infarction due to occlusion of circumflex branch of left coronary artery,Condition,SNOMED,Disorder,S,896691006,2021-01-31,2099-12-31,NA
604429,Acute ST segment elevation myocardial infarction of apex of heart,Condition,SNOMED,Disorder,S,896696001,2021-01-31,2099-12-31,NA
604430,Acute ST segment elevation myocardial infarction of right ventricle,Condition,SNOMED,Disorder,S,896697005,2021-01-31,2099-12-31,NA
605129,Left motor nerve conduction block,Condition,SNOMED,Clinical Finding,S,1010456008,2021-01-31,2099-12-31,NA
605130,Right motor nerve conduction block,Condition,SNOMED,Clinical Finding,S,1010457004,2021-01-31,2099-12-31,NA
605131,Right sensory nerve conduction block,Condition,SNOMED,Clinical Finding,S,1010458009,2021-01-31,2099-12-31,NA
605132,Left sensory nerve conduction block,Condition,SNOMED,Clinical Finding,S,1010459001,2021-01-31,2099-12-31,NA
605582,Reduction of alpha activity in left cerebral hemisphere,Condition,SNOMED,Clinical Finding,S,1119388009,2021-01-31,2099-12-31,NA
607658,Nuclear abnormality in cervical smear,Condition,SNOMED,Clinical Finding,S,1155766001,2021-07-31,2099-12-31,NA
738824,Electrocardiogram (EKG): S1Q3T3 pattern,Measurement,OMOP Extension,Precoordinated pair,S,OMOP5117510,2021-07-27,2099-12-31,NA
738841,Electrocardiogram (EKG): Right ventricular strain,Measurement,OMOP Extension,Precoordinated pair,S,OMOP5117507,2021-07-27,2099-12-31,NA
738846,Electrocardiogram (EKG): Inferior T wave inversion,Measurement,OMOP Extension,Precoordinated pair,S,OMOP5117508,2021-07-27,2099-12-31,NA
738871,Electrocardiogram (EKG): Lateral T wave inversion,Measurement,OMOP Extension,Precoordinated pair,S,OMOP5117509,2021-07-27,2099-12-31,NA
761736,Acute ST segment elevation myocardial infarction of anteroapical wall,Condition,SNOMED,Disorder,S,15962541000119106,2017-09-01,2099-12-31,NA
764082,Gynecological examination abnormal,Condition,SNOMED,Clinical Finding,S,450561000124103,2016-03-01,2099-12-31,NA
1075059,Plain X-ray of soft tissue abnormal,Condition,SNOMED,Clinical Finding,S,1290424008,2024-04-01,2099-12-31,NA
1075062,Plain X-ray of toe abnormal,Condition,SNOMED,Clinical Finding,S,1290454003,2024-04-01,2099-12-31,NA
1075068,Plain X-ray of finger abnormal,Condition,SNOMED,Clinical Finding,S,1290475006,2024-04-01,2099-12-31,NA
1075072,Plain X-ray of thumb abnormal,Condition,SNOMED,Clinical Finding,S,1290484006,2024-04-01,2099-12-31,NA
1075081,Plain X-ray of fibula abnormal,Condition,SNOMED,Clinical Finding,S,1290521002,2024-04-01,2099-12-31,NA
1075086,Plain X-ray of tibia abnormal,Condition,SNOMED,Clinical Finding,S,1290528008,2024-04-01,2099-12-31,NA
1075090,Plain X-ray of bone of lower leg abnormal,Condition,SNOMED,Clinical Finding,S,1290532002,2024-04-01,2099-12-31,NA
1075091,Plain X-ray of lower leg abnormal,Condition,SNOMED,Clinical Finding,S,1290533007,2024-04-01,2099-12-31,NA
1075110,Plain X-ray of humerus and bone of shoulder girdle abnormal,Condition,SNOMED,Clinical Finding,S,1290590007,2024-04-01,2099-12-31,NA
1075111,Plain X-ray of radius and ulna abnormal,Condition,SNOMED,Clinical Finding,S,1290591006,2024-04-01,2099-12-31,NA
1075112,Plain X-ray of forearm abnormal,Condition,SNOMED,Clinical Finding,S,1290592004,2024-04-01,2099-12-31,NA
1075119,Plain X-ray of lower limb abnormal,Condition,SNOMED,Clinical Finding,S,1290613000,2024-04-01,2099-12-31,NA
1075129,Plain X-ray of lumbar and sacral spine abnormal,Condition,SNOMED,Clinical Finding,S,1290663005,2024-04-01,2099-12-31,NA
1075136,Plain X-ray of sacral spine abnormal,Condition,SNOMED,Clinical Finding,S,1290681008,2024-04-01,2099-12-31,NA
1075148,Plain X-ray of oral soft tissue abnormal,Condition,SNOMED,Clinical Finding,S,1290824001,2024-04-01,2099-12-31,NA
1075149,Opacity on plain X-ray,Condition,SNOMED,Clinical Finding,S,1290856008,2024-04-01,2099-12-31,NA
1075150,Opacity of tooth on plain X-ray,Condition,SNOMED,Clinical Finding,S,1290857004,2024-04-01,2099-12-31,NA
1075151,Radiolucency of tooth on plain X-ray,Condition,SNOMED,Clinical Finding,S,1290861005,2024-04-01,2099-12-31,NA
1075158,Plain X-ray of chest abnormal,Condition,SNOMED,Clinical Finding,S,1290960005,2024-04-01,2099-12-31,NA
1075165,Lytic lesion of bone on plain X-ray,Condition,SNOMED,Clinical Finding,S,1293040003,2024-04-01,2099-12-31,NA
1075172,Plain X-ray of nasal sinus abnormal,Condition,SNOMED,Clinical Finding,S,1293062003,2024-04-01,2099-12-31,NA
1075183,Plain X-ray of thoracic cage abnormal,Condition,SNOMED,Clinical Finding,S,1295212001,2024-04-01,2099-12-31,NA
1075186,Plain X-ray of pancreas abnormal,Condition,SNOMED,Clinical Finding,S,1295395003,2024-04-01,2099-12-31,NA
1075189,Postmortem plain X-ray abnormal,Condition,SNOMED,Clinical Finding,S,1295404006,2024-04-01,2099-12-31,NA
1075196,Plain X-ray skeletal survey abnormal,Condition,SNOMED,Clinical Finding,S,1295435000,2024-04-01,2099-12-31,NA
1075199,Plain X-ray of biliary tract with contrast abnormal,Condition,SNOMED,Clinical Finding,S,1295501000,2024-04-01,2099-12-31,NA
1075646,Plain X-ray of soft tissue of face abnormal,Condition,SNOMED,Clinical Finding,S,1306637009,2024-04-01,2099-12-31,NA
1076228,Fluoroscopic lymphangiography with contrast abnormal,Condition,SNOMED,Clinical Finding,S,1336191007,2024-07-01,2099-12-31,NA
1076296,CT of nervous system with contrast abnormal,Condition,SNOMED,Clinical Finding,S,1339044001,2024-07-01,2099-12-31,NA
1076424,Ultrasonography of placenta abnormal,Condition,SNOMED,Clinical Finding,S,1343407001,2024-08-01,2099-12-31,NA
1076426,Fluoroscopic hysterosalpingography with contrast abnormal,Condition,SNOMED,Clinical Finding,S,1343410008,2024-08-01,2099-12-31,NA
1076434,Plain X-ray of gallbladder with contrast abnormal,Condition,SNOMED,Clinical Finding,S,1343551007,2024-08-01,2099-12-31,NA
1076435,Fluoroscopy of gallbladder with contrast abnormal,Condition,SNOMED,Clinical Finding,S,1343552000,2024-08-01,2099-12-31,NA
1076436,CT of gallbladder with contrast abnormal,Condition,SNOMED,Clinical Finding,S,1343553005,2024-08-01,2099-12-31,NA
1076861,Low grade squamous intraepithelial lesion on vaginal Papanicolaou smear with human papillomavirus deoxyribonucleic acid detected,Condition,SNOMED,Clinical Finding,S,235651000112104,2024-03-01,2099-12-31,NA
1076862,Atypical squamous cells of undetermined significance on vaginal Papanicolaou smear with human papillomavirus deoxyribonucleic acid detected,Condition,SNOMED,Clinical Finding,S,235671000112105,2024-03-01,2099-12-31,NA
1077617,Plain X-ray pelvimetry abnormal,Condition,SNOMED,Clinical Finding,S,1290937002,2024-04-01,2099-12-31,NA
1449048,Plain X-ray of genitourinary system abnormal,Condition,SNOMED,Clinical Finding,S,1345252004,2024-10-01,2099-12-31,NA
1449051,Fluoroscopy of genitourinary system abnormal,Condition,SNOMED,Clinical Finding,S,1345255002,2024-10-01,2099-12-31,NA
1449053,CT of genitourinary system abnormal,Condition,SNOMED,Clinical Finding,S,1345257005,2024-10-01,2099-12-31,NA
1449131,Fluoroscopy of gastrointestinal tract abnormal,Condition,SNOMED,Clinical Finding,S,1348350009,2024-11-01,2099-12-31,NA
1449134,CT of gastrointestinal tract abnormal,Condition,SNOMED,Clinical Finding,S,1348353006,2024-11-01,2099-12-31,NA
1449310,Fluoroscopic cholangiography with contrast abnormal,Condition,SNOMED,Clinical Finding,S,1351821009,2024-12-01,2099-12-31,NA
3190514,Abormal brain MRI with leptomeningeal enhancement,Condition,Nebraska Lexicon,Clinical Finding,S,31930001000004105,2016-01-28,2099-12-31,NA
3191898,Pap smear with atypical squamous cells uncertain significance,Condition,Nebraska Lexicon,Clinical Finding,S,7070001000004101,2016-01-28,2099-12-31,NA
3192733,Cytotoxic antibodies,Condition,Nebraska Lexicon,Clinical Finding,S,24530001000004105,2016-01-28,2099-12-31,NA
3192778,Pap smear with atypical cells but high grade squamous intraepithelial lesion cannot be excluded,Condition,Nebraska Lexicon,Clinical Finding,S,13750001000004106,2016-01-28,2099-12-31,NA
3194990,Abnormal bone radiograph,Condition,Nebraska Lexicon,Clinical Finding,S,7270001000004107,2016-01-28,2099-12-31,NA
3195259,ASCUS with positive high risk HPV,Condition,Nebraska Lexicon,Clinical Finding,S,18560001000004103,2016-01-28,2099-12-31,NA
3195359,Abnormal pap smear,Condition,Nebraska Lexicon,Clinical Finding,S,3740001000004109,2016-01-28,2099-12-31,NA
3195796,Abnormal dobutamine stress echocardiogram,Condition,Nebraska Lexicon,Clinical Finding,S,7410001000004104,2016-01-28,2099-12-31,NA
3661449,High-grade urothelial carcinoma found on urine cytology,Condition,SNOMED,Clinical Finding,S,836304000,2020-07-31,2099-12-31,NA
3661451,Low-grade urothelial neoplasia found on urine cytology,Condition,SNOMED,Clinical Finding,S,836344007,2020-07-31,2099-12-31,NA
3661502,Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion,Condition,SNOMED,Disorder,S,840309000,2020-07-31,2099-12-31,NA
3661503,Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion,Condition,SNOMED,Disorder,S,840312002,2020-07-31,2099-12-31,NA
3661504,Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion,Condition,SNOMED,Disorder,S,840316004,2020-07-31,2099-12-31,NA
3661520,Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery,Condition,SNOMED,Disorder,S,840609007,2020-07-31,2099-12-31,NA
3661524,Acute ST segment elevation myocardial infarction due to occlusion of septal branch of anterior descending branch of left coronary artery,Condition,SNOMED,Disorder,S,840680009,2020-07-31,2099-12-31,NA
3661547,Acute ST segment elevation myocardial infarction due to occlusion of diagonal branch of anterior descending branch of left coronary artery,Condition,SNOMED,Disorder,S,846668006,2020-07-31,2099-12-31,NA
3661641,Acute ST segment elevation myocardial infarction due to occlusion of proximal portion of right coronary artery,Condition,SNOMED,Disorder,S,868214006,2020-07-31,2099-12-31,NA
3661642,Acute ST segment elevation myocardial infarction due to occlusion of distal portion of right coronary artery,Condition,SNOMED,Disorder,S,868217004,2020-07-31,2099-12-31,NA
3661643,Acute ST segment elevation myocardial infarction due to occlusion of mid portion of right coronary artery,Condition,SNOMED,Disorder,S,868220007,2020-07-31,2099-12-31,NA
3661644,Acute ST segment elevation myocardial infarction due to occlusion of marginal branch of right coronary artery,Condition,SNOMED,Disorder,S,868224003,2020-07-31,2099-12-31,NA
3661645,Acute ST segment elevation myocardial infarction due to occlusion of posterior descending branch of right coronary artery,Condition,SNOMED,Disorder,S,868225002,2020-07-31,2099-12-31,NA
3661646,Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery,Condition,SNOMED,Disorder,S,868226001,2020-07-31,2099-12-31,NA
4004492,Abnormal bone marrow iron,Measurement,SNOMED,Clinical Finding,S,110371003,2002-01-31,2099-12-31,NA
4008859,Prolonged QT interval,Condition,SNOMED,Clinical Finding,S,111975006,2002-01-31,2099-12-31,NA
4009585,Abnormal urine,Condition,SNOMED,Clinical Finding,S,102866000,2002-01-31,2099-12-31,NA
4013824,Biopsy result abnormal,Condition,SNOMED,Clinical Finding,S,165325009,2002-01-31,2099-12-31,NA
4013852,RBC enzymes abnormal,Condition,SNOMED,Clinical Finding,S,165500001,2002-01-31,2099-12-31,NA
4014009,Abnormal presence of endometrial cells in specimen from a menopausal woman,Condition,SNOMED,Clinical Finding,S,103610009,2002-01-31,2099-12-31,NA
4014132,Antibody studies abnormal,Condition,SNOMED,Clinical Finding,S,166166006,2002-01-31,2099-12-31,NA
4020195,EKG hypertrophy,Condition,SNOMED,Clinical Finding,S,1155004,2002-01-31,2099-12-31,NA
4029490,Abnormal presence of protein,Condition,SNOMED,Clinical Finding,S,13930000,2002-01-31,2099-12-31,NA
4030021,Septal infarction by electrocardiogram,Condition,SNOMED,Clinical Finding,S,1077002,2002-01-31,2099-12-31,NA
4030754,Computed tomography result abnormal,Condition,SNOMED,Clinical Finding,S,129679001,2002-01-31,2099-12-31,NA
4031225,Abnormal radionuclide scan,Condition,SNOMED,Clinical Finding,S,129680003,2002-01-31,2099-12-31,NA
4035185,Increased vascular markings of lung,Condition,SNOMED,Clinical Finding,S,15232001,2002-01-31,2099-12-31,NA
4035972,Abnormal presence of galactose,Condition,SNOMED,Clinical Finding,S,15268006,2002-01-31,2099-12-31,NA
4042228,Gastric function test abnormal,Condition,SNOMED,Clinical Finding,S,167193000,2002-01-31,2099-12-31,NA
4042234,Abnormal urinalysis,Condition,SNOMED,Clinical Finding,S,167222005,2002-01-31,2099-12-31,NA
4042235,MSU = abnormal,Measurement,SNOMED,Clinical Finding,S,167225007,2002-01-31,2099-12-31,NA
4042250,Urine microscopy = abnormality,Condition,SNOMED,Clinical Finding,S,167333006,2002-01-31,2099-12-31,NA
4043430,Synovial fluid examination - abnormal,Condition,SNOMED,Clinical Finding,S,167863008,2002-01-31,2099-12-31,NA
4043442,Bone marrow examination abnormal,Condition,SNOMED,Clinical Finding,S,167911000,2002-01-31,2099-12-31,NA
4043446,Marrow: primitive blast cells+,Condition,SNOMED,Clinical Finding,S,167929005,2002-01-31,2099-12-31,NA
4043447,Bone marrow: myeloma cells,Condition,SNOMED,Clinical Finding,S,167934009,2002-01-31,2099-12-31,NA
4043448,Bone marrow: tumor cells,Condition,SNOMED,Clinical Finding,S,167935005,2002-01-31,2099-12-31,NA
4043450,Marrow megakaryocytes abnormal,Condition,SNOMED,Clinical Finding,S,167939004,2002-01-31,2099-12-31,NA
4043453,Pleural fluid examination abnormal,Condition,SNOMED,Clinical Finding,S,167948009,2002-01-31,2099-12-31,NA
4043597,Semen exam: abnormal,Condition,SNOMED,Clinical Finding,S,167767004,2002-01-31,2099-12-31,NA
4043616,Vomit examination abnormal,Condition,SNOMED,Clinical Finding,S,167824001,2002-01-31,2099-12-31,NA
4043764,Bone marrow: no foreign cells,Condition,SNOMED,Clinical Finding,S,167932008,2002-01-31,2099-12-31,NA
4043765,Bone marrow: lymphocytes,Condition,SNOMED,Clinical Finding,S,167933003,2002-01-31,2099-12-31,NA
4043779,Ascitic fluid examination abnormal,Condition,SNOMED,Clinical Finding,S,168011000,2002-01-31,2099-12-31,NA
4043937,Specimen examination: abnormal,Condition,SNOMED,Clinical Finding,S,168125001,2002-01-31,2099-12-31,NA
4048670,Viruria,Condition,SNOMED,Clinical Finding,S,123729002,2002-01-31,2099-12-31,NA
4051833,"Abnormal radiologic density, localized",Condition,SNOMED,Clinical Finding,S,125131003,2002-01-31,2099-12-31,NA
4051834,"Abnormal radiologic density, unequal",Condition,SNOMED,Clinical Finding,S,125135007,2002-01-31,2099-12-31,NA
4052428,"Abnormal radiologic density, irregular",Condition,SNOMED,Clinical Finding,S,125129007,2002-01-31,2099-12-31,NA
4052429,"Abnormal radiologic density, large area",Condition,SNOMED,Clinical Finding,S,125130002,2002-01-31,2099-12-31,NA
4052430,"Abnormal radiologic density, rounded",Condition,SNOMED,Clinical Finding,S,125133000,2002-01-31,2099-12-31,NA
