concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
197493,Hepatitis D superinfection of hepatitis B carrier,Condition,SNOMED,Disorder,S,235865005,2002-01-31,2099-12-31,NA
603228,Carrier of Staphylococcus epidermidis,Observation,SNOMED,Clinical Finding,S,123831000119104,2021-01-31,2099-12-31,NA
1076273,Group B streptococcus carrier in childbirth,Condition,SNOMED,Disorder,S,1339000004,2024-07-01,2099-12-31,NA
1076330,Asymptomatic carrier of infectious organism on skin,Condition,SNOMED,Clinical Finding,S,1340039001,2024-07-01,2099-12-31,NA
1243842,Carrier of sexually transmitted disease,Observation,SNOMED,Clinical Finding,S,15927341000119106,2023-10-01,2099-12-31,NA
1243997,Asymptomatic carrier of infectious organism,Observation,SNOMED,Clinical Finding,S,38691000087107,2023-10-01,2099-12-31,NA
1448347,Carrier of carbapenem resistant Acinetobacter baumannii,Observation,SNOMED,Clinical Finding,S,626416581000119101,2024-09-01,2099-12-31,NA
1448435,Carrier of carbapenem sensitive Enterobacteriaceae,Observation,SNOMED,Clinical Finding,S,952177351000119104,2024-09-01,2099-12-31,NA
3171022,Clostridium difficile carrier,Condition,Nebraska Lexicon,Clinical Finding,S,22140001000004105,2016-01-28,2099-12-31,NA
3173384,ESBL escherichia coli carrier,Condition,Nebraska Lexicon,Clinical Finding,S,22130001000004109,2016-01-28,2099-12-31,NA
3175324,Carrier linezolid resistant gram positive cocci,Condition,Nebraska Lexicon,Clinical Finding,S,30930001000004101,2016-01-28,2099-12-31,NA
3176753,Carrier vancomycin resistant Staphylococcus aureus,Condition,Nebraska Lexicon,Clinical Finding,S,26140001000004106,2016-01-28,2099-12-31,NA
3177316,Carrier of carbapenamase producing organism,Condition,Nebraska Lexicon,Clinical Finding,S,24010001000004102,2016-01-28,2099-12-31,NA
3179033,Carrier vancomycin intermediate staphylococcus aureus,Condition,Nebraska Lexicon,Clinical Finding,S,26130001000004105,2016-01-28,2099-12-31,NA
3180358,Carrier of carbapenem resistant bacteria,Condition,Nebraska Lexicon,Clinical Finding,S,26100001000004102,2016-01-28,2099-12-31,NA
3181612,Carrier resistant pseudomonas aeruginosa,Condition,Nebraska Lexicon,Clinical Finding,S,24970001000004102,2016-01-28,2099-12-31,NA
3185979,Carrier daptomycin methicillin resistant staphylococcus,Condition,Nebraska Lexicon,Clinical Finding,S,30970001000004104,2016-01-28,2099-12-31,NA
3187493,Carrier of Burkholderia cepacia,Condition,Nebraska Lexicon,Clinical Finding,S,28680001000004106,2016-01-28,2099-12-31,NA
3187715,Carrier linezolid vancomycin resistant enterococcus,Condition,Nebraska Lexicon,Clinical Finding,S,30960001000004105,2016-01-28,2099-12-31,NA
3189626,Carrier multidrug resistant Acinetobacter baumannii,Condition,Nebraska Lexicon,Clinical Finding,S,25510001000004109,2016-01-28,2099-12-31,NA
3192489,Carrier methicillin resistant Staph aureus,Condition,Nebraska Lexicon,Clinical Finding,S,10210001000004109,2016-01-28,2099-12-31,NA
3655685,Carrier of Clostridioides difficile,Observation,SNOMED,Clinical Finding,S,866179005,2020-07-31,2099-12-31,NA
4015717,Carrier of amebic protozoa,Observation,SNOMED,Clinical Finding,S,170494004,2002-01-31,2099-12-31,NA
4015718,Diphtheria carrier,Observation,SNOMED,Clinical Finding,S,170495003,2002-01-31,2099-12-31,NA
4015841,Cholera carrier,Observation,SNOMED,Clinical Finding,S,170483003,2002-01-31,2099-12-31,NA
