concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
30163,Cellulitis and abscess of neck,Condition,SNOMED,Disorder,S,267779003,2002-01-31,2099-12-31,NA
75337,Cellulitis and abscess of buttock,Condition,SNOMED,Disorder,S,200676005,2002-01-31,2099-12-31,NA
76492,Cellulitis of digit,Condition,SNOMED,Disorder,S,19240003,2002-01-31,2099-12-31,NA
76493,Cellulitis and abscess of upper arm,Condition,SNOMED,Disorder,S,200668008,2002-01-31,2099-12-31,NA
78497,Cellulitis and abscess of toe,Condition,SNOMED,Disorder,S,200638004,2002-01-31,2099-12-31,NA
79898,Cellulitis and abscess of finger,Condition,SNOMED,Disorder,S,200630006,2002-01-31,2099-12-31,NA
134074,Cellulitis of oral soft tissues,Condition,SNOMED,Disorder,S,8771003,2002-01-31,2099-12-31,NA
136496,Cellulitis and abscess of face,Condition,SNOMED,Disorder,S,200645004,2002-01-31,2099-12-31,NA
138346,Erysipelas,Condition,SNOMED,Disorder,S,44653001,2002-01-31,2099-12-31,NA
197950,Cellulitis and abscess of trunk,Condition,SNOMED,Disorder,S,200655000,2002-01-31,2099-12-31,NA
434942,Orbital cellulitis,Condition,SNOMED,Disorder,S,194005002,2002-01-31,2099-12-31,NA
435613,Cellulitis,Condition,SNOMED,Disorder,S,128045006,2002-01-31,2099-12-31,NA
436720,Cellulitis of nasopharynx,Condition,SNOMED,Disorder,S,13177009,2002-01-31,2099-12-31,NA
442068,Cellulitis and abscess of forearm,Condition,SNOMED,Disorder,S,200670004,2002-01-31,2099-12-31,NA
443757,Cellulitis of pharynx,Condition,SNOMED,Disorder,S,23166004,2002-01-31,2099-12-31,NA
443786,Cellulitis of larynx,Condition,SNOMED,Disorder,S,28709001,2002-01-31,2099-12-31,NA
759850,Cellulitis of left foot,Condition,SNOMED,Disorder,S,10633191000119101,2015-09-01,2099-12-31,NA
759851,Cellulitis of right foot,Condition,SNOMED,Disorder,S,10633231000119105,2015-09-01,2099-12-31,NA
