concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
377254,"Multi-infarct dementia, uncomplicated",Condition,SNOMED,Disorder,S,70936005,2002-01-31,2099-12-31,NA
379778,Multi-infarct dementia,Condition,SNOMED,Disorder,S,56267009,2002-01-31,2099-12-31,NA
443454,Cerebral infarction,Condition,SNOMED,Disorder,S,432504007,2008-07-31,2099-12-31,NA
443790,Multi-infarct dementia with delusions,Condition,SNOMED,Disorder,S,25772007,2002-01-31,2099-12-31,NA
443864,Multi-infarct dementia with depression,Condition,SNOMED,Disorder,S,14070001,2002-01-31,2099-12-31,NA
444091,Multi-infarct dementia with delirium,Condition,SNOMED,Disorder,S,10349009,2002-01-31,2099-12-31,NA
761110,Bilateral cerebral infarction due to precerebral arterial occlusion,Condition,SNOMED,Disorder,S,151161000119102,2016-09-01,2099-12-31,NA
762708,Multiple and bilateral precerebral artery stenosis with infarction,Condition,SNOMED,Disorder,S,430851000124104,2012-09-01,2099-12-31,NA
762933,Cerebral infarction due to cerebral artery occlusion,Condition,SNOMED,Disorder,S,433891000124100,2013-03-01,2099-12-31,NA
762934,Cerebral infarction due to posterior cerebral artery occlusion,Condition,SNOMED,Disorder,S,433911000124103,2013-03-01,2099-12-31,NA
762935,Cerebral infarction due to internal carotid artery occlusion,Condition,SNOMED,Disorder,S,433931000124109,2013-03-01,2099-12-31,NA
762937,Cerebral infarction due to cerebral venous thrombosis,Condition,SNOMED,Disorder,S,433961000124100,2013-03-01,2099-12-31,NA
762951,Cerebral infarction due to anterior cerebral artery occlusion,Condition,SNOMED,Disorder,S,434151000124101,2013-03-01,2099-12-31,NA
763009,Multiple and bilateral precerebral arterial occlusion with infarction,Condition,SNOMED,Disorder,S,434881000124100,2013-09-01,2099-12-31,NA
763015,Cerebral infarction due to middle cerebral artery occlusion,Condition,SNOMED,Disorder,S,434961000124102,2013-09-01,2099-12-31,NA
765515,Cerebral infarction due to basilar artery stenosis,Condition,SNOMED,Disorder,S,434991000124105,2013-09-01,2099-12-31,NA
765907,Occlusion and stenosis of middle cerebral artery with infarction,Condition,SNOMED,Disorder,S,433941000124104,2013-03-01,2099-12-31,NA
1076484,Iatrogenic ischemic cerebral infarction,Condition,SNOMED,Disorder,S,1344635001,2024-08-01,2099-12-31,NA
3179950,Right subthalamic lacunar stroke,Condition,Nebraska Lexicon,Clinical Finding,S,21630001000004107,2016-01-28,2099-12-31,NA
3184775,Cerebral infarct complicating carotid stenosis,Condition,Nebraska Lexicon,Clinical Finding,S,8300001000004103,2016-01-28,2099-12-31,NA
3185378,Temporal lobe cerebral infarction,Condition,Nebraska Lexicon,Clinical Finding,S,256111000004105,2019-08-15,2099-12-31,NA
3188164,Cerebral cortical infarction,Condition,Nebraska Lexicon,Clinical Finding,S,256101000004107,2019-08-15,2099-12-31,NA
4031045,Anterior choroidal artery syndrome,Condition,SNOMED,Disorder,S,14309005,2002-01-31,2099-12-31,NA
4043567,Infarction of optic tract,Condition,SNOMED,Disorder,S,230518009,2002-01-31,2099-12-31,NA
4043731,Infarction - precerebral,Condition,SNOMED,Disorder,S,230692004,2002-01-31,2099-12-31,NA
4043732,Posterior cerebral circulation hemorrhagic infarction,Condition,SNOMED,Disorder,S,230708002,2002-01-31,2099-12-31,NA
4045735,Anterior cerebral circulation infarction,Condition,SNOMED,Disorder,S,230693009,2002-01-31,2099-12-31,NA
4045737,Pure motor lacunar infarction,Condition,SNOMED,Disorder,S,230699008,2002-01-31,2099-12-31,NA
4045738,Pure sensory lacunar infarction,Condition,SNOMED,Disorder,S,230700009,2002-01-31,2099-12-31,NA
4045740,Lacunar ataxic hemiparesis,Condition,SNOMED,Disorder,S,230702001,2002-01-31,2099-12-31,NA
4045741,Dysarthria-clumsy hand syndrome,Condition,SNOMED,Disorder,S,230703006,2002-01-31,2099-12-31,NA
4046089,Vascular dementia of acute onset,Condition,SNOMED,Disorder,S,230285003,2002-01-31,2099-12-31,NA
4046090,Mixed cortical and subcortical vascular dementia,Condition,SNOMED,Disorder,S,230287006,2002-01-31,2099-12-31,NA
4046237,Infarction of optic radiation,Condition,SNOMED,Disorder,S,230523009,2002-01-31,2099-12-31,NA
4046358,Total anterior cerebral circulation infarction,Condition,SNOMED,Disorder,S,230694003,2002-01-31,2099-12-31,NA
4046359,Partial anterior cerebral circulation infarction,Condition,SNOMED,Disorder,S,230695002,2002-01-31,2099-12-31,NA
4046360,Lacunar infarction,Condition,SNOMED,Disorder,S,230698000,2002-01-31,2099-12-31,NA
4046361,Pure sensorimotor lacunar infarction,Condition,SNOMED,Disorder,S,230701008,2002-01-31,2099-12-31,NA
4046362,Hemorrhagic cerebral infarction,Condition,SNOMED,Disorder,S,230706003,2002-01-31,2099-12-31,NA
4048784,Anterior cerebral circulation hemorrhagic infarction,Condition,SNOMED,Disorder,S,230707007,2002-01-31,2099-12-31,NA
4077086,Occipital cerebral infarction,Condition,SNOMED,Disorder,S,276219001,2002-01-31,2099-12-31,NA
4108356,Cerebral infarction due to embolism of cerebral arteries,Condition,SNOMED,Disorder,S,195190007,2002-01-31,2099-12-31,NA
4110189,Cerebral infarct due to thrombosis of precerebral arteries,Condition,SNOMED,Disorder,S,195185009,2002-01-31,2099-12-31,NA
4110190,Cerebral infarction due to embolism of precerebral arteries,Condition,SNOMED,Disorder,S,195186005,2002-01-31,2099-12-31,NA
4110192,Cerebral infarction due to thrombosis of cerebral arteries,Condition,SNOMED,Disorder,S,195189003,2002-01-31,2099-12-31,NA
4111714,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic",Condition,SNOMED,Disorder,S,195230003,2002-01-31,2099-12-31,NA
4116315,Infarction of optic chiasm,Condition,SNOMED,Disorder,S,302902003,2002-01-31,2099-12-31,NA
4119140,Infarction of visual cortex,Condition,SNOMED,Disorder,S,302904002,2002-01-31,2099-12-31,NA
4129534,Pituitary apoplexy,Condition,SNOMED,Disorder,S,237701005,2002-01-31,2099-12-31,NA
4131383,Infarction of basal ganglia,Condition,SNOMED,Disorder,S,413102000,2004-07-31,2099-12-31,NA
4138327,Acute lacunar infarction,Condition,SNOMED,Disorder,S,426107000,2007-07-31,2099-12-31,NA
4141405,Left sided cerebral infarction,Condition,SNOMED,Disorder,S,307766002,2002-01-31,2099-12-31,NA
4142739,Thalamic infarction,Condition,SNOMED,Disorder,S,427296003,2007-07-31,2099-12-31,NA
4145897,Multiple lacunar infarcts,Condition,SNOMED,Disorder,S,307363008,2002-01-31,2099-12-31,NA
4146185,Right sided cerebral infarction,Condition,SNOMED,Disorder,S,307767006,2002-01-31,2099-12-31,NA
4298750,Periventricular hemorrhagic venous infarct,Condition,SNOMED,Disorder,S,384993003,2003-01-31,2099-12-31,NA
4319146,Pituitary infarction,Condition,SNOMED,Disorder,S,95830009,2002-01-31,2099-12-31,NA
35610085,Cerebral infarction due to stenosis of cerebral artery,Condition,SNOMED,Disorder,S,1089421000000105,2018-04-01,2099-12-31,NA
36717605,Silent cerebral infarct,Condition,SNOMED,Disorder,S,723082006,2017-01-31,2099-12-31,NA
37110678,Cerebral ischemic stroke due to occlusion of extracranial large artery,Condition,SNOMED,Disorder,S,724993002,2017-07-31,2099-12-31,NA
37110679,Cerebral ischemic stroke due to stenosis of extracranial large artery,Condition,SNOMED,Disorder,S,724994008,2017-07-31,2099-12-31,NA
37116473,Multifocal cerebral infarction due to and following procedure on cardiovascular system,Condition,SNOMED,Disorder,S,733199002,2017-07-31,2099-12-31,NA
37155661,Behavioral disturbance due to multi-infarct dementia,Condition,SNOMED,Disorder,S,293671000119109,2022-04-30,2099-12-31,NA
37164462,Malignant middle cerebral artery syndrome,Condition,SNOMED,Disorder,S,1231168008,2022-06-30,2099-12-31,NA
37166871,Hemorrhagic cerebral infarction due to hypertension,Condition,SNOMED,Disorder,S,1260271009,2023-01-31,2099-12-31,NA
37169804,Hemorrhagic cerebral infarction caused by Aspergillus,Condition,SNOMED,Disorder,S,1163482004,2021-09-30,2099-12-31,NA
37395562,Multi-infarct dementia due to atherosclerosis,Condition,SNOMED,Disorder,S,106021000119105,2016-07-31,2099-12-31,NA
42535465,Lacunar ataxic hemiparesis of right dominant side,Condition,SNOMED,Disorder,S,292851000119109,2018-01-31,2099-12-31,NA
42535466,Lacunar ataxic hemiparesis of left dominant side,Condition,SNOMED,Disorder,S,292861000119106,2018-01-31,2099-12-31,NA
42535523,Lacunar ataxic hemiparesis of left nondominant side,Condition,SNOMED,Disorder,S,330411000119109,2018-01-31,2099-12-31,NA
