concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
373503,Transient cerebral ischemia,Condition,SNOMED,Disorder,S,266257000,2002-01-31,2099-12-31,NA
374055,Basilar artery syndrome,Condition,SNOMED,Disorder,S,64009001,2002-01-31,2099-12-31,NA
4043734,Carotid territory transient ischemic attack,Condition,SNOMED,Disorder,S,230716006,2002-01-31,2099-12-31,NA
4048785,Vertebrobasilar territory transient ischemic attack,Condition,SNOMED,Disorder,S,230717002,2002-01-31,2099-12-31,NA
4112020,Carotid artery syndrome hemispheric,Condition,SNOMED,Disorder,S,195200006,2002-01-31,2099-12-31,NA
4139517,Transient cerebral ischemia due to atrial fibrillation,Condition,SNOMED,Disorder,S,426814001,2007-07-31,2099-12-31,NA
4338523,Amaurosis fugax,Condition,SNOMED,Disorder,S,88032003,2002-01-31,2099-12-31,NA
36712812,Amaurosis fugax of left eye,Condition,SNOMED,Disorder,S,12237911000119109,2017-01-31,2099-12-31,NA
36712813,Amaurosis fugax of right eye,Condition,SNOMED,Disorder,S,12237951000119105,2017-01-31,2099-12-31,NA
37163288,Transient ischemic attack co-occurrent with subarachnoid hemorrhage,Condition,SNOMED,Disorder,S,1208871009,2022-03-31,2099-12-31,NA
40485430,Recurrent transient cerebral ischemic attack,Condition,SNOMED,Disorder,S,444172003,2010-01-31,2099-12-31,NA
46272244,Transient ischemic attack due to embolism,Condition,SNOMED,Disorder,S,710575003,2015-07-31,2099-12-31,NA
