concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
193782,End-stage renal disease,Condition,SNOMED,Disorder,S,46177005,2002-01-31,2099-12-31,NA
197921,Renal osteodystrophy,Condition,SNOMED,Disorder,S,16726004,2002-01-31,2099-12-31,NA
198185,Chronic renal failure,Condition,SNOMED,Disorder,S,90688005,2002-01-31,2099-12-31,NA
443597,Chronic kidney disease stage 3,Condition,SNOMED,Disorder,S,433144002,2008-07-31,2099-12-31,NA
443601,Chronic kidney disease stage 2,Condition,SNOMED,Disorder,S,431856006,2008-07-31,2099-12-31,NA
443611,Chronic kidney disease stage 5,Condition,SNOMED,Disorder,S,433146000,2008-07-31,2099-12-31,NA
443612,Chronic kidney disease stage 4,Condition,SNOMED,Disorder,S,431857002,2008-07-31,2099-12-31,NA
443614,Chronic kidney disease stage 1,Condition,SNOMED,Disorder,S,431855005,2008-07-31,2099-12-31,NA
443961,Anemia of chronic renal failure,Condition,SNOMED,Disorder,S,49708008,2002-01-31,2099-12-31,NA
601161,Chronic kidney disease stage 1 due to drug induced diabetes mellitus,Condition,SNOMED,Disorder,S,368421000119108,2021-01-31,2099-12-31,NA
601162,Chronic kidney disease stage 2 due to drug induced diabetes mellitus,Condition,SNOMED,Disorder,S,368431000119106,2021-01-31,2099-12-31,NA
601163,Chronic kidney disease stage 3 due to drug induced diabetes mellitus,Condition,SNOMED,Disorder,S,368441000119102,2021-01-31,2099-12-31,NA
601164,Chronic kidney disease stage 4 due to drug induced diabetes mellitus,Condition,SNOMED,Disorder,S,368451000119100,2021-01-31,2099-12-31,NA
601165,Chronic kidney disease stage 5 due to drug induced diabetes mellitus,Condition,SNOMED,Disorder,S,368461000119103,2021-01-31,2099-12-31,NA
601166,End stage renal disease on dialysis due to drug induced diabetes mellitus,Condition,SNOMED,Disorder,S,368471000119109,2021-01-31,2099-12-31,NA
619681,Renal osteodystrophy with high bone turnover,Condition,SNOMED,Disorder,S,897310009,2021-01-31,2099-12-31,NA
619682,Renal osteodystrophy with normal bone turnover,Condition,SNOMED,Disorder,S,897311008,2021-01-31,2099-12-31,NA
619683,Renal osteodystrophy with low bone turnover,Condition,SNOMED,Disorder,S,897312001,2021-01-31,2099-12-31,NA
760850,Benign hypertensive heart disease and chronic renal disease stage 5,Condition,SNOMED,Disorder,S,120261000119101,2015-09-01,2099-12-31,NA
762000,Benign hypertensive heart disease and chronic renal disease stage 2,Condition,SNOMED,Disorder,S,285061000119106,2015-09-01,2099-12-31,NA
762001,Benign hypertensive heart disease and chronic renal disease stage 3,Condition,SNOMED,Disorder,S,285081000119102,2015-09-01,2099-12-31,NA
762033,Malignant hypertensive heart disease and chronic renal disease stage 3,Condition,SNOMED,Disorder,S,285911000119109,2015-09-01,2099-12-31,NA
762034,Malignant hypertensive heart disease and chronic renal disease stage 4,Condition,SNOMED,Disorder,S,285921000119102,2016-09-01,2099-12-31,NA
765535,Benign hypertensive heart disease and chronic renal disease stage 1,Condition,SNOMED,Disorder,S,285041000119107,2015-09-01,2099-12-31,NA
765536,Benign hypertensive heart disease and chronic renal disease stage 4,Condition,SNOMED,Disorder,S,285101000119109,2015-09-01,2099-12-31,NA
1075886,Hypertension in chronic kidney disease stage 3B due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332436006,2024-05-01,2099-12-31,NA
1075887,Hypertension in chronic kidney disease stage 3A due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332441003,2024-05-01,2099-12-31,NA
1075888,Hypertension in chronic kidney disease stage 3 due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332442005,2024-05-01,2099-12-31,NA
1075903,Hypertension in chronic kidney disease stage 2 due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332464001,2024-05-01,2099-12-31,NA
1075904,Hypertension in chronic kidney disease stage 3B due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,1332465000,2024-05-01,2099-12-31,NA
1075905,Hypertension in chronic kidney disease stage 3A due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,1332466004,2024-05-01,2099-12-31,NA
1075906,Hypertension in chronic kidney disease stage 5 due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332467008,2024-05-01,2099-12-31,NA
1075907,Hypertension in chronic kidney disease stage 4 due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332468003,2024-05-01,2099-12-31,NA
1075908,Chronic kidney disease stage 3B due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,1332469006,2024-05-01,2099-12-31,NA
1075909,Chronic kidney disease stage 3A due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,1332470007,2024-05-01,2099-12-31,NA
