concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
135893,Pressure injury of heel,Condition,SNOMED,Disorder,S,225561003,2002-01-31,2099-12-31,NA
200485,Pressure injury of buttock,Condition,SNOMED,Disorder,S,225563000,2002-01-31,2099-12-31,NA
439410,Pressure injury of elbow,Condition,SNOMED,Disorder,S,225559007,2002-01-31,2099-12-31,NA
439411,Pressure injury of back,Condition,SNOMED,Disorder,S,225558004,2002-01-31,2099-12-31,NA
602589,Deep tissue pressure injury of right heel,Condition,SNOMED,Disorder,S,561885931000119106,2021-01-31,2099-12-31,NA
602591,Pressure injury of deep tissue of left buttock,Condition,SNOMED,Disorder,S,959201281000119107,2021-01-31,2099-12-31,NA
603328,Pressure injury of deep tissue of right ankle,Condition,SNOMED,Disorder,S,324946811000119102,2021-01-31,2099-12-31,NA
608727,Deep tissue pressure injury of left heel,Condition,SNOMED,Disorder,S,139566261000119101,2021-01-31,2099-12-31,NA
609268,Pressure injury of deep tissue of right buttock,Condition,SNOMED,Disorder,S,282236291000119109,2021-01-31,2099-12-31,NA
610872,Pressure injury of deep tissue of left hip,Condition,SNOMED,Disorder,S,392913311000119107,2021-01-31,2099-12-31,NA
618468,Pressure injury of deep tissue of left ankle,Condition,SNOMED,Disorder,S,450728161000119104,2021-01-31,2099-12-31,NA
618536,Pressure injury of deep tissue of sacral region of back,Condition,SNOMED,Disorder,S,468409941000119108,2021-01-31,2099-12-31,NA
618645,Pressure injury of deep tissue of right hip,Condition,SNOMED,Disorder,S,705220971000119104,2021-01-31,2099-12-31,NA
618680,Pressure injury of deep tissue of head,Condition,SNOMED,Disorder,S,82479641000119102,2021-01-31,2099-12-31,NA
618770,Pressure injury of skin of multiple topographic sites,Condition,SNOMED,Disorder,S,876782006,2021-01-31,2099-12-31,NA
760946,Pressure injury of left foot stage IV,Condition,SNOMED,Disorder,S,12366701000119107,2016-03-01,2099-12-31,NA
764946,Pressure injury of ischial tuberosity region of right buttock,Condition,SNOMED,Disorder,S,8960001000004106,2015-09-01,2099-12-31,NA
1077451,Pressure injury of toe of left foot,Condition,SNOMED,Disorder,S,791151000124101,2024-09-01,2099-12-31,NA
1077452,Pressure injury of toe of right foot,Condition,SNOMED,Disorder,S,791161000124104,2024-09-01,2099-12-31,NA
1450756,Pressure injury of left lower back,Condition,SNOMED,Disorder,S,881561000124107,2025-03-01,2099-12-31,NA
1450757,Pressure injury of left lower back stage I,Condition,SNOMED,Disorder,S,881571000124100,2025-03-01,2099-12-31,NA
1450758,Pressure injury of left lower back stage II,Condition,SNOMED,Disorder,S,881581000124102,2025-03-01,2099-12-31,NA
1450759,Pressure injury of left lower back stage III,Condition,SNOMED,Disorder,S,881591000124104,2025-03-01,2099-12-31,NA
