concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
22871,Neoplasm of uncertain behavior of pineal gland,Condition,SNOMED,Disorder,S,95002008,2002-01-31,2099-12-31,NA
23164,Disorder of anterior pituitary,Condition,SNOMED,Disorder,S,51742006,2002-01-31,2099-12-31,NA
23806,Atrophy of salivary gland,Condition,SNOMED,Disorder,S,48128006,2002-01-31,2099-12-31,NA
23986,Disorder of pituitary gland,Condition,SNOMED,Disorder,S,399244003,2003-07-31,2099-12-31,NA
24296,Primary malignant neoplasm of pituitary gland,Condition,SNOMED,Disorder,S,93964007,2002-01-31,2099-12-31,NA
25211,Iatrogenic pituitary disorder,Condition,SNOMED,Disorder,S,86842008,2002-01-31,2099-12-31,NA
25780,Pituitary dwarfism,Condition,SNOMED,Disorder,S,367460001,2002-01-31,2099-12-31,NA
26361,Primary malignant neoplasm of pineal gland,Condition,SNOMED,Disorder,S,93962006,2002-01-31,2099-12-31,NA
26378,Hyperpituitarism,Condition,SNOMED,Disorder,S,10649000,2002-01-31,2099-12-31,NA
27835,Neoplasm of uncertain behavior of pituitary gland,Condition,SNOMED,Disorder,S,95004009,2002-01-31,2099-12-31,NA
28115,Benign neoplasm of pineal gland,Condition,SNOMED,Disorder,S,92294001,2002-01-31,2099-12-31,NA
28385,Disorder of posterior pituitary,Condition,SNOMED,Disorder,S,72442006,2002-01-31,2099-12-31,NA
28403,Gigantism and acromegaly,Condition,SNOMED,Disorder,S,267386008,2002-01-31,2099-12-31,NA
28714,Syndrome of diencephalo-hypophyseal origin,Condition,SNOMED,Disorder,S,111548007,2002-01-31,2099-12-31,NA
30365,Panhypopituitarism,Condition,SNOMED,Disorder,S,32390006,2002-01-31,2099-12-31,NA
72401,Kashin-Bek disease,Condition,SNOMED,Disorder,S,270505009,2002-01-31,2099-12-31,NA
72405,Osteoarthritis of shoulder region,Condition,SNOMED,Disorder,S,67315001,2002-01-31,2099-12-31,NA
72717,Postoperative heterotopic calcification,Condition,SNOMED,Disorder,S,80116000,2002-01-31,2099-12-31,NA
72737,Microcalcifications of the breast,Condition,SNOMED,Disorder,S,44771000,2002-01-31,2099-12-31,NA
72990,Localized osteoarthrosis uncertain if primary OR secondary,Condition,SNOMED,Disorder,S,90860001,2002-01-31,2099-12-31,NA
72993,"Localized, primary osteoarthritis",Condition,SNOMED,Disorder,S,201829007,2002-01-31,2099-12-31,NA
73554,Kashin-Beck disease of the pelvic region and thigh,Condition,SNOMED,Disorder,S,201925000,2002-01-31,2099-12-31,NA
73840,"Localized, primary osteoarthritis of the shoulder region",Condition,SNOMED,Disorder,S,201831003,2002-01-31,2099-12-31,NA
73854,Progressive myositis ossificans,Condition,SNOMED,Disorder,S,82725007,2002-01-31,2099-12-31,NA
74132,Degeneration of lumbosacral intervertebral disc,Condition,SNOMED,Disorder,S,60937000,2002-01-31,2099-12-31,NA
74179,Open fracture of T7-T12 level with spinal cord injury,Condition,SNOMED,Disorder,S,3446000,2002-01-31,2099-12-31,NA
74635,Lumbosacral radiculopathy,Condition,SNOMED,Disorder,S,2415007,2002-01-31,2099-12-31,NA
74722,Secondary localized osteoarthrosis of pelvic region,Condition,SNOMED,Disorder,S,25343008,2002-01-31,2099-12-31,NA
75036,"Localized, primary osteoarthritis of the hand",Condition,SNOMED,Disorder,S,201834006,2002-01-31,2099-12-31,NA
75037,Kashin-Beck disease of the ankle and/or foot,Condition,SNOMED,Disorder,S,201927008,2002-01-31,2099-12-31,NA
75096,Anterior cord syndrome due to open fracture of T7-T12 level,Condition,SNOMED,Disorder,S,27937002,2002-01-31,2099-12-31,NA
75617,Generalized osteoarthritis,Condition,SNOMED,Disorder,S,201819000,2002-01-31,2099-12-31,NA
75804,Congenital myotonic dystrophy,Condition,SNOMED,Disorder,S,240104008,2002-01-31,2099-12-31,NA
75924,Osteodystrophy,Condition,SNOMED,Disorder,S,12010005,2002-01-31,2099-12-31,NA
75949,Closed fracture of sacrum AND/OR coccyx with cauda equina injury,Condition,SNOMED,Disorder,S,123534001,2002-01-31,2099-12-31,NA
75996,Sacral spinal cord injury without bone injury,Condition,SNOMED,Disorder,S,4260009,2002-01-31,2099-12-31,NA
76194,Osteoarthrosis involving multiple sites but not designated as generalized,Condition,SNOMED,Disorder,S,33262002,2002-01-31,2099-12-31,NA
76396,Toxic neuromuscular junction disorder,Condition,SNOMED,Disorder,S,17940001,2002-01-31,2099-12-31,NA
76499,Chondrocalcinosis of shoulder region caused by pyrophosphate crystals,Condition,SNOMED,Disorder,S,201639003,2002-01-31,2099-12-31,NA
76685,Myasthenia gravis,Condition,SNOMED,Disorder,S,91637004,2002-01-31,2099-12-31,NA
76831,Open fracture of sacrum AND/OR coccyx with complete cauda equina lesion,Condition,SNOMED,Disorder,S,111633007,2002-01-31,2099-12-31,NA
77073,Kashin-Beck disease of the hand,Condition,SNOMED,Disorder,S,201924001,2002-01-31,2099-12-31,NA
77353,Chondrocalcinosis of ankle and/or foot joint caused by pyrophosphate crystals,Condition,SNOMED,Disorder,S,201645006,2002-01-31,2099-12-31,NA
77365,Disuse osteoporosis,Condition,SNOMED,Disorder,S,53174001,2002-01-31,2099-12-31,NA
77387,Closed fracture of vertebral column with spinal cord injury,Condition,SNOMED,Disorder,S,22973003,2002-01-31,2099-12-31,NA
77631,"Localized, secondary osteoarthritis of the shoulder region",Condition,SNOMED,Disorder,S,201849003,2002-01-31,2099-12-31,NA
77632,Chondrocalcinosis of shoulder region caused by dicalcium phosphate crystals,Condition,SNOMED,Disorder,S,201627006,2002-01-31,2099-12-31,NA
77633,Chondrocalcinosis of ankle and foot joint caused by dicalcium phosphate crystals,Condition,SNOMED,Disorder,S,201633002,2002-01-31,2099-12-31,NA
77639,Diffuse cervicobrachial syndrome,Condition,SNOMED,Disorder,S,33420007,2002-01-31,2099-12-31,NA
77653,Traumatic myositis ossificans,Condition,SNOMED,Disorder,S,70917000,2002-01-31,2099-12-31,NA
77961,Disseminated idiopathic skeletal hyperostosis,Condition,SNOMED,Disorder,S,31487001,2002-01-31,2099-12-31,NA
78149,Congenital hereditary muscular dystrophy,Condition,SNOMED,Disorder,S,111501005,2002-01-31,2099-12-31,NA
