concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
76924,Primary malignant neoplasm of ureteric orifice of urinary bladder,Condition,SNOMED,Disorder,S,94122003,2002-01-31,2099-12-31,NA
192276,Chronic gouty nephropathy,Condition,SNOMED,Disorder,S,190829000,2002-01-31,2099-12-31,NA
192279,Disorder of kidney due to diabetes mellitus,Condition,SNOMED,Disorder,S,127013003,2002-01-31,2099-12-31,NA
192359,Renal failure syndrome,Condition,SNOMED,Disorder,S,42399005,2002-01-31,2099-12-31,NA
192362,Nephrotic syndrome with membranoproliferative glomerulonephritis,Condition,SNOMED,Disorder,S,197591002,2002-01-31,2099-12-31,NA
192364,Nephrotic syndrome associated with another disorder,Condition,SNOMED,Disorder,S,197603000,2002-01-31,2099-12-31,NA
192440,Ureterocele,Condition,SNOMED,Disorder,S,12818004,2002-01-31,2099-12-31,NA
192679,Renal disease in pregnancy AND/OR puerperium without hypertension,Condition,SNOMED,Disorder,S,75150001,2002-01-31,2099-12-31,NA
192686,Hypertrophy of kidney,Condition,SNOMED,Disorder,S,88531004,2002-01-31,2099-12-31,NA
192958,Mobile kidney,Condition,SNOMED,Disorder,S,9918001,2002-01-31,2099-12-31,NA
192964,Infectious disorder of kidney,Condition,SNOMED,Disorder,S,129128006,2002-01-31,2099-12-31,NA
193170,Renal glycosuria,Condition,SNOMED,Disorder,S,267430007,2002-01-31,2099-12-31,NA
193253,Nephritis,Condition,SNOMED,Disorder,S,52845002,2002-01-31,2099-12-31,NA
193312,Congenital anomaly of ureter,Condition,SNOMED,Disorder,S,51794008,2002-01-31,2099-12-31,NA
193493,Benign hypertensive renal disease,Condition,SNOMED,Disorder,S,193003,2002-01-31,2099-12-31,NA
193620,Injury of kidney without open wound into abdominal cavity,Condition,SNOMED,Disorder,S,20341008,2002-01-31,2099-12-31,NA
193782,End-stage renal disease,Condition,SNOMED,Disorder,S,46177005,2002-01-31,2099-12-31,NA
193955,Tuberculosis of kidney,Condition,SNOMED,Disorder,S,44323002,2002-01-31,2099-12-31,NA
194152,Renal agenesis and dysgenesis,Condition,SNOMED,Disorder,S,204938007,2002-01-31,2099-12-31,NA
194200,Laceration of kidney without open wound into abdominal cavity,Condition,SNOMED,Disorder,S,74324004,2002-01-31,2099-12-31,NA
194405,Nephrotic syndrome with membranous glomerulonephritis,Condition,SNOMED,Disorder,S,197590001,2002-01-31,2099-12-31,NA
194408,Hydroureter,Condition,SNOMED,Disorder,S,69758005,2002-01-31,2099-12-31,NA
194685,Non-obstructive reflux-associated chronic pyelonephritis,Condition,SNOMED,Disorder,S,197764002,2002-01-31,2099-12-31,NA
194686,Acquired renal cystic disease,Condition,SNOMED,Disorder,S,105999006,2002-01-31,2099-12-31,NA
194995,Disorder of ureter,Condition,SNOMED,Disorder,S,128073008,2002-01-31,2099-12-31,NA
195072,Medullary sponge kidney,Condition,SNOMED,Disorder,S,236443009,2002-01-31,2099-12-31,NA
195223,Renal carnitine transport defect,Condition,SNOMED,Disorder,S,21764004,2002-01-31,2099-12-31,NA
195289,Goodpasture's syndrome,Condition,SNOMED,Disorder,S,50581000,2002-01-31,2099-12-31,NA
