concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
432354,Chronic duodenal ulcer with perforation but without obstruction,Condition,SNOMED,Disorder,S,34602004,2002-01-31,2099-12-31,NA
433246,"Chronic duodenal ulcer without hemorrhage, without perforation AND without obstruction",Condition,SNOMED,Disorder,S,57940000,2002-01-31,2099-12-31,NA
434070,Acute duodenal ulcer with perforation AND obstruction,Condition,SNOMED,Disorder,S,62936002,2002-01-31,2099-12-31,NA
434402,Acute duodenal ulcer with hemorrhage but without obstruction,Condition,SNOMED,Disorder,S,66767006,2002-01-31,2099-12-31,NA
435305,Duodenal ulcer without hemorrhage AND without perforation but with obstruction,Condition,SNOMED,Disorder,S,18169007,2002-01-31,2099-12-31,NA
435578,Acute duodenal ulcer with perforation but without obstruction,Condition,SNOMED,Disorder,S,22511002,2002-01-31,2099-12-31,NA
435855,Acute duodenal ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,Disorder,S,51847008,2002-01-31,2099-12-31,NA
435859,Acute duodenal ulcer without hemorrhage AND without perforation but with obstruction,Condition,SNOMED,Disorder,S,75342000,2002-01-31,2099-12-31,NA
436148,Chronic duodenal ulcer with hemorrhage but without obstruction,Condition,SNOMED,Disorder,S,62341002,2002-01-31,2099-12-31,NA
436453,Chronic duodenal ulcer with obstruction,Condition,SNOMED,Disorder,S,196666001,2002-01-31,2099-12-31,NA
437021,"Acute duodenal ulcer with hemorrhage, with perforation AND with obstruction",Condition,SNOMED,Disorder,S,41986000,2002-01-31,2099-12-31,NA
437323,Chronic duodenal ulcer with hemorrhage AND obstruction,Condition,SNOMED,Disorder,S,34021006,2002-01-31,2099-12-31,NA
438469,"Duodenal ulcer without hemorrhage, without perforation AND without obstruction",Condition,SNOMED,Disorder,S,34580000,2002-01-31,2099-12-31,NA
438796,Chronic duodenal ulcer with hemorrhage AND with perforation but without obstruction,Condition,SNOMED,Disorder,S,81142005,2002-01-31,2099-12-31,NA
439058,Chronic duodenal ulcer with perforation AND obstruction,Condition,SNOMED,Disorder,S,60551006,2002-01-31,2099-12-31,NA
440755,"Acute duodenal ulcer without hemorrhage, without perforation AND without obstruction",Condition,SNOMED,Disorder,S,23693000,2002-01-31,2099-12-31,NA
440756,"Chronic duodenal ulcer with hemorrhage, with perforation AND with obstruction",Condition,SNOMED,Disorder,S,86258000,2002-01-31,2099-12-31,NA
441062,Acute duodenal ulcer with hemorrhage AND obstruction,Condition,SNOMED,Disorder,S,87756006,2002-01-31,2099-12-31,NA
443770,Chronic duodenal ulcer without hemorrhage AND without perforation but with obstruction,Condition,SNOMED,Disorder,S,28082003,2002-01-31,2099-12-31,NA
