concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
374915,Focal epilepsy,Condition,SNOMED,Disorder,S,230381009,2002-01-31,2099-12-31,NA
376105,West syndrome,Condition,SNOMED,Disorder,S,28055006,2002-01-31,2099-12-31,NA
380378,Epilepsy,Condition,SNOMED,Disorder,S,84757009,2002-01-31,2099-12-31,NA
762729,"Lennox-Gastaut syndrome, refractory",Condition,SNOMED,Disorder,S,431111000124104,2012-09-01,2099-12-31,NA
762730,"Lennox-Gastaut syndrome, non-refractory",Condition,SNOMED,Disorder,S,431121000124107,2012-09-01,2099-12-31,NA
763039,"Acquired epileptic aphasia, refractory",Condition,SNOMED,Disorder,S,435331000124109,2013-09-01,2099-12-31,NA
763040,"Rasmussen syndrome, refractory",Condition,SNOMED,Disorder,S,435341000124104,2013-09-01,2099-12-31,NA
763526,"Autosomal dominant nocturnal frontal lobe epilepsy, refractory",Condition,SNOMED,Disorder,S,442151000124108,2014-03-01,2099-12-31,NA
764684,Temporal lobe epilepsy with mesial temporal sclerosis,Condition,SNOMED,Disorder,S,5321000124109,2012-03-01,2099-12-31,NA
1075796,Self-limited infantile epilepsy,Condition,SNOMED,Disorder,S,1332157006,2024-08-01,2099-12-31,NA
1075797,Epilepsy with auditory features,Condition,SNOMED,Disorder,S,1332158001,2024-08-01,2099-12-31,NA
1075798,Sleep-related hypermotor epilepsy,Condition,SNOMED,Disorder,S,1332160004,2024-08-01,2099-12-31,NA
1076149,Photosensitive occipital lobe epilepsy,Condition,SNOMED,Disorder,S,1335933003,2024-08-01,2099-12-31,NA
1245354,"MTHFS-related developmental delay, microcephaly, short stature, epilepsy syndrome",Condition,SNOMED,Disorder,S,1300128003,2024-02-01,2099-12-31,NA
1340323,Exacerbation of epilepsy,Condition,OMOP Extension,Disorder,S,OMOP5165978,2022-05-06,2099-12-31,NA
1448874,Insular epilepsy,Condition,SNOMED,Disorder,S,1343613004,2024-09-01,2099-12-31,NA
1448885,Mesial temporal lobe epilepsy,Condition,SNOMED,Disorder,S,1343664003,2024-09-01,2099-12-31,NA
3174006,Pregnancy complicated by epilepsy,Condition,Nebraska Lexicon,Clinical Finding,S,25660001000004102,2016-01-28,2099-12-31,NA
3178390,Epilepsy complicating pregnancy,Condition,Nebraska Lexicon,Clinical Finding,S,25190001000004101,2016-01-28,2099-12-31,NA
3188590,Cognitive dysfunction with epilepsy,Condition,Nebraska Lexicon,Clinical Finding,S,7080001000004105,2016-01-28,2099-12-31,NA
3655274,Epilepsy due to infectious encephalitis,Condition,SNOMED,Disorder,S,860804005,2020-07-31,2099-12-31,NA
3655276,Epilepsy due to infectious meningitis,Condition,SNOMED,Disorder,S,860806007,2020-07-31,2099-12-31,NA
3655285,Epilepsy due to neonatal central nervous system infection,Condition,SNOMED,Disorder,S,860815000,2020-07-31,2099-12-31,NA
3657974,Scar epilepsy,Condition,SNOMED,Disorder,S,322112361000132104,2020-07-31,2099-12-31,NA
4033911,Kohlschutter's syndrome,Condition,SNOMED,Disorder,S,109478007,2002-01-31,2099-12-31,NA
4041672,Rasmussen syndrome,Condition,SNOMED,Disorder,S,230191005,2002-01-31,2099-12-31,NA
4043405,Self-limited epilepsy with autonomic seizures,Condition,SNOMED,Disorder,S,230387008,2002-01-31,2099-12-31,NA
4043406,Primary inherited reading epilepsy,Condition,SNOMED,Disorder,S,230389006,2002-01-31,2099-12-31,NA
4043408,Lateral temporal lobe epilepsy,Condition,SNOMED,Disorder,S,230393000,2002-01-31,2099-12-31,NA
4043409,Orbitofrontal frontal lobe epilepsy,Condition,SNOMED,Disorder,S,230398009,2002-01-31,2099-12-31,NA
4043410,Opercular frontal lobe epilepsy,Condition,SNOMED,Disorder,S,230400008,2002-01-31,2099-12-31,NA
4043411,Self-limited familial neonatal epilepsy,Condition,SNOMED,Disorder,S,230410004,2002-01-31,2099-12-31,NA
4043412,Cryptogenic West syndrome,Condition,SNOMED,Disorder,S,230416005,2002-01-31,2099-12-31,NA
4043413,Epilepsy with myoclonic-atonic seizures,Condition,SNOMED,Disorder,S,230421008,2002-01-31,2099-12-31,NA
4043414,Early infantile epileptic encephalopathy with suppression bursts,Condition,SNOMED,Disorder,S,230429005,2002-01-31,2099-12-31,NA
4043550,Severe myoclonic epilepsy in infancy,Condition,SNOMED,Disorder,S,230437002,2002-01-31,2099-12-31,NA
4043551,Epilepsy with continuous spike wave during slow-wave sleep,Condition,SNOMED,Disorder,S,230439004,2002-01-31,2099-12-31,NA
4043552,Secondary reading epilepsy,Condition,SNOMED,Disorder,S,230440002,2002-01-31,2099-12-31,NA
4043554,Drug-induced epilepsy,Condition,SNOMED,Disorder,S,230441003,2002-01-31,2099-12-31,NA
4043555,Narcotic withdrawal epilepsy,Condition,SNOMED,Disorder,S,230443000,2002-01-31,2099-12-31,NA
