concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
432524,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, pedestrian injured",Observation,SNOMED,Event,S,214444006,2002-01-31,2099-12-31,NA
433095,Fall on or from steps,Observation,SNOMED,Event,S,217092005,2002-01-31,2099-12-31,NA
435153,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, motor cyclist injured",Observation,SNOMED,Event,S,214439004,2002-01-31,2099-12-31,NA
435172,Fall on or from escalator,Observation,SNOMED,Event,S,217084001,2002-01-31,2099-12-31,NA
435705,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, driver of motor vehicle injured",Observation,SNOMED,Event,S,214437002,2002-01-31,2099-12-31,NA
436614,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, rider of animal or occupant of animal-drawn vehicle injured",Observation,SNOMED,Event,S,214442005,2002-01-31,2099-12-31,NA
441749,Fall on or from stairs or steps,Observation,SNOMED,Event,S,217083007,2002-01-31,2099-12-31,NA
443047,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, pedal cyclist injured",Observation,SNOMED,Event,S,214443000,2002-01-31,2099-12-31,NA
443048,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, occupant of tram injured",Observation,SNOMED,Event,S,214441003,2002-01-31,2099-12-31,NA
443049,"Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting, passenger of motor vehicle injured",Observation,SNOMED,Event,S,214438007,2002-01-31,2099-12-31,NA
4053568,Fall down stairs of motor bus while boarding or alighting,Observation,SNOMED,Event,S,242109009,2002-01-31,2099-12-31,NA
4066458,Noncollision motor vehicle traffic accident involving fall down stairs of motor bus while boarding or alighting,Observation,SNOMED,Event,S,214436006,2002-01-31,2099-12-31,NA
4190235,Fall on stairs,Observation,SNOMED,Event,S,414190009,2005-01-31,2099-12-31,NA
4310647,Fall from stairs,Observation,SNOMED,Event,S,217090002,2002-01-31,2099-12-31,NA
4310768,Fall on steps,Observation,SNOMED,Event,S,217093000,2002-01-31,2099-12-31,NA
4310769,Fall from steps,Observation,SNOMED,Event,S,217094006,2002-01-31,2099-12-31,NA
4312313,Fall on or from stairs,Observation,SNOMED,Event,S,217088003,2002-01-31,2099-12-31,NA
4314758,Fall from escalator,Observation,SNOMED,Event,S,217086004,2002-01-31,2099-12-31,NA
