concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
23034,Neonatal hypoglycemia,Condition,SNOMED,Disorder,S,52767006,2002-01-31,2099-12-31,NA
24609,Hypoglycemia,Condition,SNOMED,Disorder,S,302866003,2002-01-31,2099-12-31,NA
30361,Hypoglycemic disorder,Condition,SNOMED,Disorder,S,237630007,2002-01-31,2099-12-31,NA
74892,Gouty arthritis,Condition,SNOMED,Disorder,S,48440001,2002-01-31,2099-12-31,NA
79145,Ehlers-Danlos syndrome,Condition,SNOMED,Disorder,S,398114001,2003-07-31,2099-12-31,NA
81539,Mitochondrial cytopathy,Condition,SNOMED,Disorder,S,240096000,2002-01-31,2099-12-31,NA
133436,Thyrotoxic crisis,Condition,SNOMED,Disorder,S,29028009,2002-01-31,2099-12-31,NA
133727,Thyrotoxicosis without goiter or other cause,Condition,SNOMED,Disorder,S,89719007,2002-01-31,2099-12-31,NA
134608,Toxic multinodular goiter with thyrotoxic crisis,Condition,SNOMED,Disorder,S,62278002,2002-01-31,2099-12-31,NA
134618,Toxic diffuse goiter with thyrotoxic crisis,Condition,SNOMED,Disorder,S,60216004,2002-01-31,2099-12-31,NA
134619,Toxic nodular goiter,Condition,SNOMED,Disorder,S,57777000,2002-01-31,2099-12-31,NA
135778,Toxic multinodular goiter,Condition,SNOMED,Disorder,S,26389007,2002-01-31,2099-12-31,NA
136932,Toxic uninodular goiter with thyrotoxic crisis,Condition,SNOMED,Disorder,S,69329005,2002-01-31,2099-12-31,NA
136933,Dyshormonogenic goiter,Condition,SNOMED,Disorder,S,190304001,2002-01-31,2099-12-31,NA
137099,Neonatal thyrotoxicosis,Condition,SNOMED,Disorder,S,13795004,2002-01-31,2099-12-31,NA
138387,Thyrotoxicosis,Condition,SNOMED,Disorder,S,90739004,2002-01-31,2099-12-31,NA
138717,Toxic diffuse goiter,Condition,SNOMED,Disorder,S,267374005,2002-01-31,2099-12-31,NA
139774,Toxic nodular goiter with thyrotoxic storm,Condition,SNOMED,Disorder,S,30985009,2002-01-31,2099-12-31,NA
140976,Toxic uninodular goiter,Condition,SNOMED,Disorder,S,73869005,2002-01-31,2099-12-31,NA
192275,Alpha-1-antitrypsin deficiency,Condition,SNOMED,Disorder,S,30188007,2002-01-31,2099-12-31,NA
192276,Chronic gouty nephropathy,Condition,SNOMED,Disorder,S,190829000,2002-01-31,2099-12-31,NA
192286,Intestinal disaccharidase deficiency,Condition,SNOMED,Disorder,S,22169002,2002-01-31,2099-12-31,NA
193323,Neonatal diabetes mellitus,Condition,SNOMED,Disorder,S,49817004,2002-01-31,2099-12-31,NA
194700,"Diabetes mellitus in mother complicating pregnancy, childbirth AND/OR puerperium",Condition,SNOMED,Disorder,S,76751001,2002-01-31,2099-12-31,NA
194856,Hepatic coma due to viral hepatitis A,Condition,SNOMED,Disorder,S,16060001,2002-01-31,2099-12-31,NA
195223,Renal carnitine transport defect,Condition,SNOMED,Disorder,S,21764004,2002-01-31,2099-12-31,NA
195771,Secondary diabetes mellitus,Condition,SNOMED,Disorder,S,8801005,2002-01-31,2099-12-31,NA
196029,Hepatic coma due to viral hepatitis,Condition,SNOMED,Disorder,S,40946000,2002-01-31,2099-12-31,NA
197654,Congenital cystic disease of liver,Condition,SNOMED,Disorder,S,72925005,2002-01-31,2099-12-31,NA
200031,Hepatic coma due to viral hepatitis B,Condition,SNOMED,Disorder,S,26206000,2002-01-31,2099-12-31,NA
200677,Hyperestrogenism,Condition,SNOMED,Disorder,S,37295009,2002-01-31,2099-12-31,NA
201254,Type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,46635009,2002-01-31,2099-12-31,NA
201530,Hyperosmolar coma due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,190331003,2002-01-31,2099-12-31,NA
201531,Hyperosmolar coma due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,190330002,2002-01-31,2099-12-31,NA
201820,Diabetes mellitus,Condition,SNOMED,Disorder,S,73211009,2002-01-31,2099-12-31,NA
201826,Type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,44054006,2002-01-31,2099-12-31,NA
312938,Hypertensive encephalopathy,Condition,SNOMED,Disorder,S,50490005,2002-01-31,2099-12-31,NA
372892,Metabolic encephalopathy,Condition,SNOMED,Disorder,S,50122000,2002-01-31,2099-12-31,NA
374906,Cerebral lipidosis,Condition,SNOMED,Disorder,S,16517004,2002-01-31,2099-12-31,NA
376955,Gouty tophus of pinna,Condition,SNOMED,Disorder,S,14763005,2002-01-31,2099-12-31,NA
377604,Hepatic coma,Condition,SNOMED,Disorder,S,72836002,2002-01-31,2099-12-31,NA
432294,Iatrogenic carnitine deficiency,Condition,SNOMED,Disorder,S,408670001,2004-07-31,2099-12-31,NA
432594,Osteomalacia,Condition,SNOMED,Disorder,S,4598005,2002-01-31,2099-12-31,NA
432867,Hyperlipidemia,Condition,SNOMED,Disorder,S,55822004,2002-01-31,2099-12-31,NA
432872,Classical phenylketonuria,Condition,SNOMED,Disorder,S,7573000,2002-01-31,2099-12-31,NA
432873,Hereditary fructosuria,Condition,SNOMED,Disorder,S,20052008,2002-01-31,2099-12-31,NA
433446,Mucopolysaccharidosis,Condition,SNOMED,Disorder,S,11380006,2002-01-31,2099-12-31,NA
433447,Tophus,Condition,SNOMED,Disorder,S,240042004,2002-01-31,2099-12-31,NA
434003,Glycogen storage disease,Condition,SNOMED,Disorder,S,29633007,2002-01-31,2099-12-31,NA
434311,Disorder of the urea cycle metabolism,Condition,SNOMED,Disorder,S,36444000,2002-01-31,2099-12-31,NA
434323,Disorder of sulfur-bearing amino acid metabolism,Condition,SNOMED,Disorder,S,28882002,2002-01-31,2099-12-31,NA
434474,Late metabolic acidosis of newborn,Condition,SNOMED,Disorder,S,9635004,2002-01-31,2099-12-31,NA
434610,Hyperkalemia,Condition,SNOMED,Disorder,S,14140009,2002-01-31,2099-12-31,NA
434614,Disorder of iron metabolism,Condition,SNOMED,Disorder,S,30913008,2002-01-31,2099-12-31,NA
434887,Disorders of bilirubin excretion,Condition,SNOMED,Disorder,S,190932003,2002-01-31,2099-12-31,NA
434899,Specific enzyme deficiency,Condition,SNOMED,Disorder,S,129456006,2002-01-31,2099-12-31,NA
434908,Disorder of porphyrin metabolism,Condition,SNOMED,Disorder,S,29094004,2002-01-31,2099-12-31,NA
435233,Disorder of fatty acid metabolism,Condition,SNOMED,Disorder,S,39929009,2002-01-31,2099-12-31,NA
435510,Hypocalcemia,Condition,SNOMED,Disorder,S,5291005,2002-01-31,2099-12-31,NA
435511,Hypercalcemia,Condition,SNOMED,Disorder,S,66931009,2002-01-31,2099-12-31,NA
435515,Hypo-osmolality and or hyponatremia,Condition,SNOMED,Disorder,S,267447008,2002-01-31,2099-12-31,NA
435516,Lipoprotein deficiency disorder,Condition,SNOMED,Disorder,S,267436001,2002-01-31,2099-12-31,NA
435517,Acidosis,Condition,SNOMED,Disorder,S,51387008,2002-01-31,2099-12-31,NA
435774,Disorder of amino acid metabolism,Condition,SNOMED,Disorder,S,44779003,2002-01-31,2099-12-31,NA
435788,Disorder of phosphorus metabolism,Condition,SNOMED,Disorder,S,87049008,2002-01-31,2099-12-31,NA
435796,Dehydration,Condition,SNOMED,Disorder,S,34095006,2002-01-31,2099-12-31,NA
435813,Infantile Refsum's disease,Condition,SNOMED,Disorder,S,238062008,2002-01-31,2099-12-31,NA
436234,Transitory neonatal electrolyte disturbance,Condition,SNOMED,Disorder,S,12901004,2002-01-31,2099-12-31,NA
436670,Metabolic disease,Condition,SNOMED,Disorder,S,75934005,2002-01-31,2099-12-31,NA
436672,Disorder of copper metabolism,Condition,SNOMED,Disorder,S,79886009,2002-01-31,2099-12-31,NA
436940,Metabolic syndrome X,Condition,SNOMED,Disorder,S,237602007,2002-01-31,2099-12-31,NA
437390,Hypoxemia,Condition,SNOMED,Disorder,S,389087006,2003-01-31,2099-12-31,NA
437514,Disorder of histidine metabolism,Condition,SNOMED,Disorder,S,44176004,2002-01-31,2099-12-31,NA
437515,Disorder of carbohydrate metabolism,Condition,SNOMED,Disorder,S,20957000,2002-01-31,2099-12-31,NA
437521,Familial hyperchylomicronemia,Condition,SNOMED,Disorder,S,267435002,2002-01-31,2099-12-31,NA
437530,Disorder of lipid metabolism,Condition,SNOMED,Disorder,S,267431006,2002-01-31,2099-12-31,NA
