concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
136834,Closed intertrochanteric fracture,Condition,SNOMED,Disorder,S,89820008,2002-01-31,2099-12-31,NA
432473,Open fracture of base of neck of femur,Condition,SNOMED,Disorder,S,263231005,2002-01-31,2099-12-31,NA
433617,Open fracture of femoral condyle of femur,Condition,SNOMED,Disorder,S,19652000,2002-01-31,2099-12-31,NA
433856,Fracture of neck of femur,Condition,SNOMED,Disorder,S,5913000,2002-01-31,2099-12-31,NA
433887,Open supracondylar fracture of femur,Condition,SNOMED,Disorder,S,79978005,2002-01-31,2099-12-31,NA
433893,Open fracture of epiphysis of femur,Condition,SNOMED,Disorder,S,87173003,2002-01-31,2099-12-31,NA
434500,Closed fracture of neck of femur,Condition,SNOMED,Disorder,S,359820003,2002-01-31,2099-12-31,NA
435093,Closed fracture of femur,Condition,SNOMED,Disorder,S,25415003,2002-01-31,2099-12-31,NA
435094,"Open fracture of femur, distal end",Condition,SNOMED,Disorder,S,263234002,2002-01-31,2099-12-31,NA
435956,Closed fracture of base of neck of femur,Condition,SNOMED,Disorder,S,1705000,2002-01-31,2099-12-31,NA
436247,Closed fracture of midcervical section of femur,Condition,SNOMED,Disorder,S,52450003,2002-01-31,2099-12-31,NA
436248,Open fracture of neck of femur,Condition,SNOMED,Disorder,S,361119006,2002-01-31,2099-12-31,NA
436249,Closed fracture of femoral condyle of femur,Condition,SNOMED,Disorder,S,66926007,2002-01-31,2099-12-31,NA
437117,Open fracture of intracapsular section of femur,Condition,SNOMED,Disorder,S,30489009,2002-01-31,2099-12-31,NA
437130,"Closed fracture of femur, lower epiphysis",Condition,SNOMED,Disorder,S,208578003,2002-01-31,2099-12-31,NA
437692,Open fracture of midcervical section of femur,Condition,SNOMED,Disorder,S,84320000,2002-01-31,2099-12-31,NA
437703,Closed fracture of intracapsular section of femur,Condition,SNOMED,Disorder,S,20100009,2002-01-31,2099-12-31,NA
438583,Open fracture of femur,Condition,SNOMED,Disorder,S,28576007,2002-01-31,2099-12-31,NA
