concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
72459,Closed fracture of two ribs,Condition,SNOMED,Disorder,S,3291007,2002-01-31,2099-12-31,NA
72460,Open fracture of seven ribs,Condition,SNOMED,Disorder,S,69029002,2002-01-31,2099-12-31,NA
73041,Closed fracture of five ribs,Condition,SNOMED,Disorder,S,17633000,2002-01-31,2099-12-31,NA
73614,Closed fracture of seven ribs,Condition,SNOMED,Disorder,S,20121009,2002-01-31,2099-12-31,NA
73884,Closed fracture of three ribs,Condition,SNOMED,Disorder,S,79546008,2002-01-31,2099-12-31,NA
74179,Open fracture of T7-T12 level with spinal cord injury,Condition,SNOMED,Disorder,S,3446000,2002-01-31,2099-12-31,NA
74182,Open fracture of ischium,Condition,SNOMED,Disorder,S,76911006,2002-01-31,2099-12-31,NA
74188,Closed fracture of rib,Condition,SNOMED,Disorder,S,60667009,2002-01-31,2099-12-31,NA
74495,Open fracture of five ribs,Condition,SNOMED,Disorder,S,44039000,2002-01-31,2099-12-31,NA
74496,Open fracture of six ribs,Condition,SNOMED,Disorder,S,77546004,2002-01-31,2099-12-31,NA
75090,Open fracture of three ribs,Condition,SNOMED,Disorder,S,22000002,2002-01-31,2099-12-31,NA
75096,Anterior cord syndrome due to open fracture of T7-T12 level,Condition,SNOMED,Disorder,S,27937002,2002-01-31,2099-12-31,NA
75932,Open fracture of pelvis,Condition,SNOMED,Disorder,S,15474008,2002-01-31,2099-12-31,NA
75941,Closed fracture of one rib,Condition,SNOMED,Disorder,S,45356009,2002-01-31,2099-12-31,NA
75942,Open fracture of rib,Condition,SNOMED,Disorder,S,45910007,2002-01-31,2099-12-31,NA
75943,Open fracture of pubis,Condition,SNOMED,Disorder,S,71220005,2002-01-31,2099-12-31,NA
76240,Closed fracture pubis,Condition,SNOMED,Disorder,S,208164008,2002-01-31,2099-12-31,NA
76825,Open fracture of four ribs,Condition,SNOMED,Disorder,S,58154005,2002-01-31,2099-12-31,NA
77112,Open fracture of scapula,Condition,SNOMED,Disorder,S,47864008,2002-01-31,2099-12-31,NA
77115,Multiple open fractures of pelvis with disruption of pelvic circle,Condition,SNOMED,Disorder,S,86731008,2002-01-31,2099-12-31,NA
77129,Closed fracture of pelvis,Condition,SNOMED,Disorder,S,91037003,2002-01-31,2099-12-31,NA
77362,Stress fracture of pelvis,Condition,SNOMED,Disorder,S,430907000,2008-07-31,2099-12-31,NA
77392,Open fracture of eight OR more ribs,Condition,SNOMED,Disorder,S,10568008,2002-01-31,2099-12-31,NA
77405,Open fracture of acetabulum,Condition,SNOMED,Disorder,S,77598002,2002-01-31,2099-12-31,NA
77701,Closed fracture of six ribs,Condition,SNOMED,Disorder,S,89636007,2002-01-31,2099-12-31,NA
77702,Multiple closed fractures of pelvis with disruption of pelvic circle,Condition,SNOMED,Disorder,S,59962009,2002-01-31,2099-12-31,NA
78273,Closed fracture of multiple ribs,Condition,SNOMED,Disorder,S,12204004,2002-01-31,2099-12-31,NA
78276,Open fracture of ilium,Condition,SNOMED,Disorder,S,60214001,2002-01-31,2099-12-31,NA
78574,Open fracture of multiple ribs,Condition,SNOMED,Disorder,S,28081005,2002-01-31,2099-12-31,NA
79938,Closed fracture of scapula,Condition,SNOMED,Disorder,S,29749002,2002-01-31,2099-12-31,NA
80227,Open fracture of two ribs,Condition,SNOMED,Disorder,S,47402002,2002-01-31,2099-12-31,NA
80229,Open fracture of one rib,Condition,SNOMED,Disorder,S,44932007,2002-01-31,2099-12-31,NA
80541,Closed fracture of eight OR more ribs,Condition,SNOMED,Disorder,S,90863004,2002-01-31,2099-12-31,NA
80852,Closed fracture of four ribs,Condition,SNOMED,Disorder,S,39335003,2002-01-31,2099-12-31,NA
80861,Closed fracture of ischium,Condition,SNOMED,Disorder,S,36417005,2002-01-31,2099-12-31,NA
81141,Closed fracture of ilium,Condition,SNOMED,Disorder,S,17616007,2002-01-31,2099-12-31,NA
81696,Closed fracture of acetabulum,Condition,SNOMED,Disorder,S,33118001,2002-01-31,2099-12-31,NA
133610,"Open fracture scapula, coracoid",Condition,SNOMED,Disorder,S,208232005,2002-01-31,2099-12-31,NA
137111,"Closed fracture scapula, coracoid",Condition,SNOMED,Disorder,S,208225001,2002-01-31,2099-12-31,NA
137695,Anterior cord syndrome due to closed fracture of T1-T6 level,Condition,SNOMED,Disorder,S,14493003,2002-01-31,2099-12-31,NA
137997,Open fracture of acromial process of scapula,Condition,SNOMED,Disorder,S,38404000,2002-01-31,2099-12-31,NA
138582,Closed fracture of acromial process of scapula,Condition,SNOMED,Disorder,S,111639006,2002-01-31,2099-12-31,NA
138876,Closed fracture of T1-T6 level with spinal cord injury,Condition,SNOMED,Disorder,S,31882001,2002-01-31,2099-12-31,NA
141143,Anterior cord syndrome due to open fracture of T1-T6 level,Condition,SNOMED,Disorder,S,49497005,2002-01-31,2099-12-31,NA
141972,Open fracture of T1-T6 level with spinal cord injury,Condition,SNOMED,Disorder,S,16695002,2002-01-31,2099-12-31,NA
194180,Open fracture of lumbar vertebra with spinal cord injury,Condition,SNOMED,Disorder,S,48956000,2002-01-31,2099-12-31,NA
195948,Closed fracture of lumbar vertebra with spinal cord injury,Condition,SNOMED,Disorder,S,49747005,2002-01-31,2099-12-31,NA
