concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
72465,Closed fracture of one or more phalanges of hand,Condition,SNOMED,Disorder,S,208430000,2002-01-31,2099-12-31,NA
73036,Closed fracture of olecranon process of ulna,Condition,SNOMED,Disorder,S,64902007,2002-01-31,2099-12-31,NA
73042,Open fracture finger middle phalanx,Condition,SNOMED,Disorder,S,208483008,2002-01-31,2099-12-31,NA
73341,Closed fracture of head of radius,Condition,SNOMED,Disorder,S,68854005,2002-01-31,2099-12-31,NA
73609,Open fracture of clavicle,Condition,SNOMED,Disorder,S,111637008,2002-01-31,2099-12-31,NA
73616,Open fracture of lunate bone of wrist,Condition,SNOMED,Disorder,S,53256003,2002-01-31,2099-12-31,NA
74192,Open fracture of coronoid process of ulna,Condition,SNOMED,Disorder,S,86357008,2002-01-31,2099-12-31,NA
74763,Open fracture of olecranon process of ulna,Condition,SNOMED,Disorder,S,63948006,2002-01-31,2099-12-31,NA
74768,Closed fracture of triquetral bone of wrist,Condition,SNOMED,Disorder,S,30632004,2002-01-31,2099-12-31,NA
74772,Open fracture of carpal bone,Condition,SNOMED,Disorder,S,29014003,2002-01-31,2099-12-31,NA
75091,Closed fracture of carpal bone,Condition,SNOMED,Disorder,S,9468002,2002-01-31,2099-12-31,NA
75092,Open fracture of multiple sites of phalanges of hand,Condition,SNOMED,Disorder,S,32988004,2002-01-31,2099-12-31,NA
75373,Open fracture of head of radius,Condition,SNOMED,Disorder,S,69427008,2002-01-31,2099-12-31,NA
75375,Closed fracture of lunate bone of wrist,Condition,SNOMED,Disorder,S,37633006,2002-01-31,2099-12-31,NA
75379,"Open fracture distal humerus, lateral epicondyle",Condition,SNOMED,Disorder,S,208283005,2002-01-31,2099-12-31,NA
75385,"Closed fracture distal humerus, lateral epicondyle",Condition,SNOMED,Disorder,S,208271008,2002-01-31,2099-12-31,NA
76838,Open fracture of triquetral bone of wrist,Condition,SNOMED,Disorder,S,7913001,2002-01-31,2099-12-31,NA
77112,Open fracture of scapula,Condition,SNOMED,Disorder,S,47864008,2002-01-31,2099-12-31,NA
77124,Open fracture of scaphoid bone of wrist,Condition,SNOMED,Disorder,S,68076002,2002-01-31,2099-12-31,NA
77691,Open fracture of capitate bone of wrist,Condition,SNOMED,Disorder,S,44504005,2002-01-31,2099-12-31,NA
78274,Closed fracture of pisiform bone of wrist,Condition,SNOMED,Disorder,S,43767005,2002-01-31,2099-12-31,NA
79165,Closed Monteggia's fracture,Condition,SNOMED,Disorder,S,29045004,2002-01-31,2099-12-31,NA
79167,Open fracture of distal phalanx of finger,Condition,SNOMED,Disorder,S,41511005,2002-01-31,2099-12-31,NA
79172,Closed fracture of coronoid process of ulna,Condition,SNOMED,Disorder,S,68819003,2002-01-31,2099-12-31,NA
79938,Closed fracture of scapula,Condition,SNOMED,Disorder,S,29749002,2002-01-31,2099-12-31,NA
80223,Closed fracture finger middle phalanx,Condition,SNOMED,Disorder,S,208450001,2002-01-31,2099-12-31,NA
80552,Closed fracture of scaphoid bone of wrist,Condition,SNOMED,Disorder,S,42818005,2002-01-31,2099-12-31,NA
80854,Closed fracture of capitate bone of wrist,Condition,SNOMED,Disorder,S,90114000,2002-01-31,2099-12-31,NA
81148,Open Monteggia's fracture,Condition,SNOMED,Disorder,S,34578006,2002-01-31,2099-12-31,NA
81426,Closed fracture of clavicle,Condition,SNOMED,Disorder,S,33173003,2002-01-31,2099-12-31,NA
81685,Fracture of clavicle due to birth trauma,Condition,SNOMED,Disorder,S,206209004,2002-01-31,2099-12-31,NA
