concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
192952,"Hernia, with gangrene",Condition,SNOMED,Disorder,S,79990007,2002-01-31,2099-12-31,NA
192959,Incisional ventral hernia with gangrene,Condition,SNOMED,Disorder,S,414475000,2005-01-31,2099-12-31,NA
194394,Hernia of anterior abdominal wall with gangrene,Condition,SNOMED,Disorder,S,414397002,2005-01-31,2099-12-31,NA
194679,Bilateral inguinal hernia with gangrene,Condition,SNOMED,Disorder,S,7815009,2002-01-31,2099-12-31,NA
194988,Bilateral recurrent inguinal hernia with gangrene,Condition,SNOMED,Disorder,S,53462005,2002-01-31,2099-12-31,NA
197597,Recurrent bilateral femoral hernia with gangrene,Condition,SNOMED,Disorder,S,3762005,2002-01-31,2099-12-31,NA
198797,Umbilical hernia with gangrene,Condition,SNOMED,Disorder,S,67508005,2002-01-31,2099-12-31,NA
199868,Incisional hernia with gangrene,Condition,SNOMED,Disorder,S,18378006,2002-01-31,2099-12-31,NA
200143,Diaphragmatic hernia with gangrene,Condition,SNOMED,Disorder,S,56676008,2002-01-31,2099-12-31,NA
317577,Arteriosclerotic gangrene,Condition,SNOMED,Disorder,S,49176002,2002-01-31,2099-12-31,NA
433696,Gas gangrene,Condition,SNOMED,Disorder,S,80466000,2002-01-31,2099-12-31,NA
439928,Gangrenous disorder,Condition,SNOMED,Disorder,S,372070002,2002-07-31,2099-12-31,NA
443541,Recurrent inguinal hernia with gangrene,Condition,SNOMED,Disorder,S,428722005,2008-01-31,2099-12-31,NA
443768,Bilateral femoral hernia with gangrene,Condition,SNOMED,Disorder,S,38163003,2002-01-31,2099-12-31,NA
608793,Gangrene of left upper limb due to atherosclerosis,Condition,SNOMED,Disorder,S,15650031000119103,2021-01-31,2099-12-31,NA
608794,Gangrene of right upper limb due to atherosclerosis,Condition,SNOMED,Disorder,S,15650121000119100,2021-01-31,2099-12-31,NA
609029,Gangrene of right lower limb due to atherosclerosis of autologous bypass graft,Condition,SNOMED,Disorder,S,16065611000119106,2021-01-31,2099-12-31,NA
609030,Gangrene of left lower limb due to atherosclerosis of autologous bypass graft,Condition,SNOMED,Disorder,S,16065651000119107,2021-01-31,2099-12-31,NA
761076,Gangrene of perineum,Condition,SNOMED,Disorder,S,14250001000004102,2015-09-01,2099-12-31,NA
761853,Atherosclerosis of bypass graft of left lower limb with gangrene,Condition,SNOMED,Disorder,S,16064811000119108,2017-09-01,2099-12-31,NA
761854,Gangrene of right lower limb co-occurrent and due to atherosclerosis of bypass graft,Condition,SNOMED,Disorder,S,16065251000119109,2017-09-01,2099-12-31,NA
3168791,Dry gangrene,Condition,Nebraska Lexicon,Clinical Finding,S,10490001000004106,2016-01-28,2099-12-31,NA
3173780,Atherosclerotic peripheral vascular disease with gangrene,Condition,Nebraska Lexicon,Clinical Finding,S,8060001000004101,2016-01-28,2099-12-31,NA
3655183,Gangrene of mesentery of small intestine,Condition,SNOMED,Disorder,S,860596009,2020-07-31,2099-12-31,NA
3655184,Gangrene of mesentery of ileum,Condition,SNOMED,Disorder,S,860597000,2020-07-31,2099-12-31,NA
3655185,Gangrene of mesentery of jejunum,Condition,SNOMED,Disorder,S,860598005,2020-07-31,2099-12-31,NA
4006307,Paraumbilical hernia with gangrene,Condition,SNOMED,Disorder,S,111366003,2002-01-31,2099-12-31,NA
4009168,Gangrene of gallbladder,Condition,SNOMED,Disorder,S,111372003,2002-01-31,2099-12-31,NA
4027751,Gangrenous paraesophageal hernia,Condition,SNOMED,Disorder,S,10728006,2002-01-31,2099-12-31,NA
4029150,Bilateral recurrent femoral hernia with gangrene AND obstruction,Condition,SNOMED,Disorder,S,13916005,2002-01-31,2099-12-31,NA
4031621,Gangrenous pressure injury,Condition,SNOMED,Disorder,S,238492005,2002-01-31,2099-12-31,NA
4043382,Inguinal hernia with gangrene,Condition,SNOMED,Disorder,S,2303007,2002-01-31,2099-12-31,NA
4055005,Gluteal hernia with gangrene,Condition,SNOMED,Disorder,S,196916009,2002-01-31,2099-12-31,NA
4055013,Spigelian hernia with gangrene,Condition,SNOMED,Disorder,S,196955005,2002-01-31,2099-12-31,NA
