concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
372607,Alcohol hallucinosis,Condition,SNOMED,Disorder,S,7052005,2002-01-31,2099-12-31,NA
373175,Organic hallucinosis,Condition,SNOMED,Disorder,S,45912004,2002-01-31,2099-12-31,NA
378163,Hyperacusis,Condition,SNOMED,Disorder,S,25289003,2002-01-31,2099-12-31,NA
433031,Hallucinations,Condition,SNOMED,Clinical Finding,S,7011001,2002-01-31,2099-12-31,NA
439277,Alcohol withdrawal hallucinosis,Condition,SNOMED,Disorder,S,191476005,2002-01-31,2099-12-31,NA
439790,Psychalgia,Condition,SNOMED,Clinical Finding,S,8971008,2002-01-31,2099-12-31,NA
440987,Hallucinosis caused by drug,Condition,SNOMED,Disorder,S,191486006,2002-01-31,2099-12-31,NA
1340344,Exacerbation of hallucinations,Condition,OMOP Extension,Clinical Finding,S,OMOP5165999,2022-05-06,2099-12-31,NA
3168101,Pain with psychologic and medical features,Condition,Nebraska Lexicon,Clinical Finding,S,9600001000004107,2016-01-28,2099-12-31,NA
4012112,Schizophrenic reaction,Condition,SNOMED,Clinical Finding,S,102940002,2002-01-31,2099-12-31,NA
4021191,False perception,Condition,SNOMED,Clinical Finding,S,225453006,2002-01-31,2099-12-31,NA
4021646,Sensory distortion,Condition,SNOMED,Clinical Finding,S,225454000,2002-01-31,2099-12-31,NA
4024296,Opioid-induced psychotic disorder with hallucinations,Condition,SNOMED,Disorder,S,19445006,2002-01-31,2099-12-31,NA
4024707,Perception AND/OR perception disturbance,Condition,SNOMED,Clinical Finding,S,106134006,2002-01-31,2099-12-31,NA
4034686,Formication,Condition,SNOMED,Clinical Finding,S,15037002,2002-01-31,2099-12-31,NA
4061069,Functional hallucinations,Condition,SNOMED,Clinical Finding,S,19865006,2002-01-31,2099-12-31,NA
4077430,Autoscopic hallucination,Condition,SNOMED,Clinical Finding,S,18966001,2002-01-31,2099-12-31,NA
4079160,Third person verbal auditory hallucinations,Condition,SNOMED,Clinical Finding,S,277533007,2002-01-31,2099-12-31,NA
4081310,Movement of visual image - finding,Condition,SNOMED,Clinical Finding,S,246650003,2002-01-31,2099-12-31,NA
4084422,Thought echo,Condition,SNOMED,Clinical Finding,S,247644004,2002-01-31,2099-12-31,NA
4084550,Perception that things appear colorless,Condition,SNOMED,Clinical Finding,S,247709005,2002-01-31,2099-12-31,NA
4084551,Perception that things appear gray,Condition,SNOMED,Clinical Finding,S,247710000,2002-01-31,2099-12-31,NA
4084552,Heightened perception,Condition,SNOMED,Clinical Finding,S,247712008,2002-01-31,2099-12-31,NA
4084553,Heightened perception of taste,Condition,SNOMED,Clinical Finding,S,247722002,2002-01-31,2099-12-31,NA
4084554,Time seems to go very slowly,Condition,SNOMED,Clinical Finding,S,247724001,2002-01-31,2099-12-31,NA
