concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
372435,Periventricular leukomalacia,Condition,SNOMED,Disorder,S,230769007,2002-01-31,2099-12-31,NA
373057,Subarachnoid hemorrhage following injury with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,48518008,2002-01-31,2099-12-31,NA
374748,Perinatal anoxic-ischemic brain injury,Condition,SNOMED,Disorder,S,126945001,2002-01-31,2099-12-31,NA
374753,Closed fracture of vault of skull with cerebral laceration AND/OR contusion,Condition,SNOMED,Disorder,S,22383006,2002-01-31,2099-12-31,NA
374835,Anoxic brain damage during AND/OR resulting from a procedure,Condition,SNOMED,Disorder,S,4069002,2002-01-31,2099-12-31,NA
375671,Concussion with loss of consciousness,Condition,SNOMED,Disorder,S,62564004,2002-01-31,2099-12-31,NA
376552,Cerebral laceration and contusion,Condition,SNOMED,Disorder,S,269144002,2002-01-31,2099-12-31,NA
377254,"Multi-infarct dementia, uncomplicated",Condition,SNOMED,Disorder,S,70936005,2002-01-31,2099-12-31,NA
377439,Visual cortex injury,Condition,SNOMED,Disorder,S,212142000,2002-01-31,2099-12-31,NA
377845,Anoxic encephalopathy,Condition,SNOMED,Disorder,S,389098007,2003-01-31,2099-12-31,NA
378001,Concussion with no loss of consciousness,Condition,SNOMED,Disorder,S,62106007,2002-01-31,2099-12-31,NA
378264,Open fracture of base of skull with cerebral laceration AND contusion,Condition,SNOMED,Disorder,S,30371007,2002-01-31,2099-12-31,NA
378544,Subdural and cerebral hemorrhage due to birth trauma,Condition,SNOMED,Disorder,S,206188000,2002-01-31,2099-12-31,NA
379778,Multi-infarct dementia,Condition,SNOMED,Disorder,S,56267009,2002-01-31,2099-12-31,NA
380943,Rupture of syphilitic cerebral aneurysm,Condition,SNOMED,Disorder,S,186893003,2002-01-31,2099-12-31,NA
381316,Cerebrovascular accident,Condition,SNOMED,Disorder,S,230690007,2002-01-31,2099-12-31,NA
432476,Cortex laceration with open intracranial wound,Condition,SNOMED,Disorder,S,59748008,2002-01-31,2099-12-31,NA
432751,Cortex contusion with open intracranial wound,Condition,SNOMED,Disorder,S,87888006,2002-01-31,2099-12-31,NA
433037,Open fracture of vault of skull with intracranial hemorrhage,Condition,SNOMED,Disorder,S,111597003,2002-01-31,2099-12-31,NA
433050,Subdural hemorrhage following injury with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,43262000,2002-01-31,2099-12-31,NA
433602,Closed fracture of base of skull with intracranial injury,Condition,SNOMED,Disorder,S,111603000,2002-01-31,2099-12-31,NA
433624,Intracranial hemorrhage following injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,13289004,2002-01-31,2099-12-31,NA
434166,Closed fracture of vault of skull with intracranial hemorrhage,Condition,SNOMED,Disorder,S,111593004,2002-01-31,2099-12-31,NA
434506,Cerebellar contusion with open intracranial wound,Condition,SNOMED,Disorder,S,82344002,2002-01-31,2099-12-31,NA
434508,Extradural hemorrhage following injury with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,28155008,2002-01-31,2099-12-31,NA
434774,Cortex contusion with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,81412002,2002-01-31,2099-12-31,NA
434785,Intracranial hemorrhage following injury with open intracranial wound,Condition,SNOMED,Disorder,S,77768006,2002-01-31,2099-12-31,NA
435378,Open fracture of base of skull with intracranial hemorrhage,Condition,SNOMED,Disorder,S,111605007,2002-01-31,2099-12-31,NA
435384,"Cortex laceration with open intracranial wound, with no loss of consciousness",Condition,SNOMED,Disorder,S,209864000,2002-01-31,2099-12-31,NA
435662,Closed skull fracture with intracranial injury,Condition,SNOMED,Disorder,S,111613008,2002-01-31,2099-12-31,NA
435681,Brain injury with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,5202009,2002-01-31,2099-12-31,NA
435931,Open skull fracture with intracranial hemorrhage,Condition,SNOMED,Disorder,S,111615001,2002-01-31,2099-12-31,NA
435953,Cerebellar laceration with open intracranial wound,Condition,SNOMED,Disorder,S,30858001,2002-01-31,2099-12-31,NA
435960,Extradural hemorrhage following injury with open intracranial wound,Condition,SNOMED,Disorder,S,65189006,2002-01-31,2099-12-31,NA
436303,Injury of optic chiasm,Condition,SNOMED,Disorder,S,69820004,2002-01-31,2099-12-31,NA
436430,Nontraumatic extradural hemorrhage,Condition,SNOMED,Disorder,S,397809001,2003-07-31,2099-12-31,NA
436526,Intracranial hemorrhage following injury with prolonged loss of consciousness AND return to pre-existing conscious level,Condition,SNOMED,Disorder,S,127311008,2002-01-31,2099-12-31,NA
436818,Open fracture of base of skull with intracranial injury,Condition,SNOMED,Disorder,S,111607004,2002-01-31,2099-12-31,NA
437106,Intracranial hemorrhage following injury with prolonged loss of consciousness without return to pre-existing conscious level,Condition,SNOMED,Disorder,S,127312001,2002-01-31,2099-12-31,NA
437385,Intracranial injury with loss of consciousness,Condition,SNOMED,Disorder,S,127297005,2002-01-31,2099-12-31,NA
437386,Open skull fracture with intracranial injury,Condition,SNOMED,Disorder,S,111617009,2002-01-31,2099-12-31,NA
437409,Intracranial injury,Condition,SNOMED,Disorder,S,127296001,2002-01-31,2099-12-31,NA
437681,Kernicterus due to isoimmunization,Condition,SNOMED,Disorder,S,359007,2002-01-31,2099-12-31,NA
438279,Extradural hemorrhage following injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,111681000,2002-01-31,2099-12-31,NA
438575,Closed fracture vault of skull with intracranial injury,Condition,SNOMED,Disorder,S,207687004,2002-01-31,2099-12-31,NA
438588,"Cortex contusion with open intracranial wound, with no loss of consciousness",Condition,SNOMED,Disorder,S,209845006,2002-01-31,2099-12-31,NA
438590,Brain injury with open intracranial wound,Condition,SNOMED,Disorder,S,28188001,2002-01-31,2099-12-31,NA
438873,Closed fracture of base of skull with intracranial hemorrhage,Condition,SNOMED,Disorder,S,111601003,2002-01-31,2099-12-31,NA
439143,Open fracture vault of skull with intracranial injury,Condition,SNOMED,Disorder,S,207705002,2002-01-31,2099-12-31,NA
439170,Cerebellar contusion with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,86125000,2002-01-31,2099-12-31,NA
439194,Subdural hemorrhage following injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,45659008,2002-01-31,2099-12-31,NA
439950,Intracranial hemorrhage following injury with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,78879009,2002-01-31,2099-12-31,NA
440235,Cerebellar laceration with open intracranial wound AND no loss of consciousness,Condition,SNOMED,Disorder,S,14434006,2002-01-31,2099-12-31,NA
440244,Subarachnoid hemorrhage following injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,75507000,2002-01-31,2099-12-31,NA
440537,Closed skull fracture with intracranial hemorrhage,Condition,SNOMED,Disorder,S,111611005,2002-01-31,2099-12-31,NA
440550,Cortex contusion with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,73413009,2002-01-31,2099-12-31,NA
440551,Brain injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,13752003,2002-01-31,2099-12-31,NA
441702,Cerebellar contusion with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,19233004,2002-01-31,2099-12-31,NA
441709,Subarachnoid hemorrhage following injury with open intracranial wound,Condition,SNOMED,Disorder,S,5251007,2002-01-31,2099-12-31,NA
442114,Cortex laceration with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,41870008,2002-01-31,2099-12-31,NA
442318,Brain stem laceration with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,41222005,2002-01-31,2099-12-31,NA
442595,Brain stem contusion with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,78028004,2002-01-31,2099-12-31,NA
442616,Brain stem contusion with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,66393002,2002-01-31,2099-12-31,NA
442762,Cerebellar laceration with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,59918000,2002-01-31,2099-12-31,NA
443454,Cerebral infarction,Condition,SNOMED,Disorder,S,432504007,2008-07-31,2099-12-31,NA
443696,Brain stem laceration with open intracranial wound AND no loss of consciousness,Condition,SNOMED,Disorder,S,19210000,2002-01-31,2099-12-31,NA
443790,Multi-infarct dementia with delusions,Condition,SNOMED,Disorder,S,25772007,2002-01-31,2099-12-31,NA
443799,Brain stem laceration with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,3119002,2002-01-31,2099-12-31,NA
443864,Multi-infarct dementia with depression,Condition,SNOMED,Disorder,S,14070001,2002-01-31,2099-12-31,NA
444091,Multi-infarct dementia with delirium,Condition,SNOMED,Disorder,S,10349009,2002-01-31,2099-12-31,NA
444196,Intracranial hemorrhage following injury with moderate loss of consciousness,Condition,SNOMED,Disorder,S,127310009,2002-01-31,2099-12-31,NA
444197,Intracranial hemorrhage following injury with brief loss of consciousness,Condition,SNOMED,Disorder,S,127309004,2002-01-31,2099-12-31,NA
444198,Intracranial hemorrhage following injury with loss of consciousness,Condition,SNOMED,Disorder,S,127308007,2002-01-31,2099-12-31,NA
444217,Brain stem laceration with open intracranial wound,Condition,SNOMED,Disorder,S,12589008,2002-01-31,2099-12-31,NA
444248,Brain stem contusion with open intracranial wound,Condition,SNOMED,Disorder,S,78968003,2002-01-31,2099-12-31,NA
444257,Cerebellar laceration with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,84900008,2002-01-31,2099-12-31,NA
444379,Cortex laceration with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,69875006,2002-01-31,2099-12-31,NA
602584,Cerebrovascular accident due to occlusion of basilar artery,Condition,SNOMED,Disorder,S,239965291000119107,2021-07-31,2099-12-31,NA
602590,Cerebrovascular accident of basal ganglia,Condition,SNOMED,Disorder,S,595899961000119100,2021-01-31,2099-12-31,NA
602613,Cerebrovascular accident due to embolism of bilateral cerebellar arteries,Condition,SNOMED,Disorder,S,58173271000119101,2021-07-31,2099-12-31,NA
602615,Cerebrovascular accident due to occlusion of right anterior cerebral artery,Condition,SNOMED,Disorder,S,655081461000119101,2021-07-31,2099-12-31,NA
602824,Hypoxic ischemic encephalopathy of newborn,Condition,SNOMED,Disorder,S,1144223007,2021-07-31,2099-12-31,NA
602945,Necrosis of brain caused by ionizing radiation,Condition,SNOMED,Disorder,S,1148741008,2021-07-31,2099-12-31,NA
603079,Nontraumatic injury of brain,Condition,SNOMED,Disorder,S,1156035006,2021-07-31,2099-12-31,NA
603206,Cerebrovascular accident due to occlusion of left posterior communicating artery,Condition,SNOMED,Disorder,S,117776611000119102,2021-07-31,2099-12-31,NA
603326,Cryptogenic stroke,Condition,SNOMED,Disorder,S,16891111000119104,2021-01-31,2099-12-31,NA
604171,Cerebrovascular accident due to thrombosis of right cerebellar artery,Condition,SNOMED,Disorder,S,496369931000119104,2021-07-31,2099-12-31,NA
