concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
372607,Alcohol hallucinosis,Condition,SNOMED,Disorder,S,7052005,2002-01-31,2099-12-31,NA
374014,Alcoholic paranoia,Condition,SNOMED,Disorder,S,191478006,2002-01-31,2099-12-31,NA
374623,Alcohol amnestic disorder,Condition,SNOMED,Disorder,S,73097000,2002-01-31,2099-12-31,NA
378726,Dementia associated with alcoholism,Condition,SNOMED,Disorder,S,281004,2002-01-31,2099-12-31,NA
442582,Alcohol-induced psychotic disorder with delusions,Condition,SNOMED,Disorder,S,61144001,2002-01-31,2099-12-31,NA
4088373,Alcohol intoxication delirium,Condition,SNOMED,Disorder,S,18653004,2002-01-31,2099-12-31,NA
4101139,Chronic alcoholic brain syndrome,Condition,SNOMED,Disorder,S,191475009,2002-01-31,2099-12-31,NA
4103124,Korsakov's alcoholic psychosis with peripheral neuritis,Condition,SNOMED,Disorder,S,191471000,2002-01-31,2099-12-31,NA
4146660,Anxiety disorder caused by alcohol,Condition,SNOMED,Disorder,S,34938008,2002-01-31,2099-12-31,NA
4288013,Korsakoff's psychosis,Condition,SNOMED,Disorder,S,69482004,2002-01-31,2099-12-31,NA
35609900,Late onset alcohol-induced psychosis,Condition,SNOMED,Disorder,S,1087451000000109,2018-04-01,2099-12-31,NA
37109949,Psychotic disorder caused by alcohol with schizophreniform symptoms,Condition,SNOMED,Disorder,S,723927004,2017-07-31,2099-12-31,NA
37164773,Psychosis caused by ethanol,Condition,SNOMED,Disorder,S,1231846001,2022-07-31,2099-12-31,NA
37164789,Mood disorder caused by ethanol,Condition,SNOMED,Disorder,S,1234779007,2022-07-31,2099-12-31,NA
37164790,Mood disorder with mixed manic and depressive symptoms caused by ethanol,Condition,SNOMED,Disorder,S,1234780005,2022-07-31,2099-12-31,NA
37164791,Mood disorder with manic symptoms caused by ethanol,Condition,SNOMED,Disorder,S,1234781009,2022-07-31,2099-12-31,NA
37164792,Mood disorder with depressive symptoms caused by ethanol,Condition,SNOMED,Disorder,S,1234782002,2022-07-31,2099-12-31,NA
37164793,Organic mental disorder caused by ethanol,Condition,SNOMED,Disorder,S,1234783007,2022-07-31,2099-12-31,NA
