concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
27674,Nausea and vomiting,Condition,SNOMED,Disorder,S,16932000,2002-01-31,2099-12-31,NA
1245082,Nausea and vomiting in pregnancy,Condition,SNOMED,Disorder,S,1296685008,2023-12-01,2099-12-31,NA
4032472,Postoperative nausea and vomiting,Condition,SNOMED,Disorder,S,1488000,2002-01-31,2099-12-31,NA
4104544,"Nausea, vomiting and diarrhea",Condition,SNOMED,Disorder,S,2919008,2002-01-31,2099-12-31,NA
4143327,Decreased nausea and vomiting,Condition,SNOMED,Disorder,S,33841007,2002-01-31,2099-12-31,NA
4170402,Nausea and vomiting caused by drug,Condition,SNOMED,Disorder,S,419219000,2006-01-31,2099-12-31,NA
4239207,Nausea and vomiting caused by radiation,Condition,SNOMED,Disorder,S,91173007,2002-01-31,2099-12-31,NA
4247894,Increased nausea and vomiting,Condition,SNOMED,Disorder,S,73335002,2002-01-31,2099-12-31,NA
37109979,Nausea and vomiting following administration of anesthetic agent,Condition,SNOMED,Disorder,S,723975009,2017-07-31,2099-12-31,NA
40385744,Chemotherapy-induced nausea and vomiting,Condition,SNOMED,Disorder,S,18846006,2002-01-31,2099-12-31,NA
44783646,Intractable nausea and vomiting,Condition,SNOMED,Disorder,S,698861005,2014-01-31,2099-12-31,NA
