concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
74192,Open fracture of coronoid process of ulna,Condition,SNOMED,Disorder,S,86357008,2002-01-31,2099-12-31,NA
74763,Open fracture of olecranon process of ulna,Condition,SNOMED,Disorder,S,63948006,2002-01-31,2099-12-31,NA
75373,Open fracture of head of radius,Condition,SNOMED,Disorder,S,69427008,2002-01-31,2099-12-31,NA
81148,Open Monteggia's fracture,Condition,SNOMED,Disorder,S,34578006,2002-01-31,2099-12-31,NA
432744,Open fracture of neck of radius,Condition,SNOMED,Disorder,S,111641007,2002-01-31,2099-12-31,NA
432746,Open fracture of shaft of radius and ulna,Condition,SNOMED,Disorder,S,39993000,2002-01-31,2099-12-31,NA
432747,Open fracture of lower end of radius AND ulna,Condition,SNOMED,Disorder,S,88116004,2002-01-31,2099-12-31,NA
433047,Open fracture of proximal end of ulna,Condition,SNOMED,Disorder,S,78490005,2002-01-31,2099-12-31,NA
433333,Open fracture of shaft of ulna,Condition,SNOMED,Disorder,S,42760000,2002-01-31,2099-12-31,NA
434767,Open Colles' fracture,Condition,SNOMED,Disorder,S,80411001,2002-01-31,2099-12-31,NA
434771,Open fracture of upper end of forearm,Condition,SNOMED,Disorder,S,33141009,2002-01-31,2099-12-31,NA
435944,Open fracture of shaft of radius,Condition,SNOMED,Disorder,S,66246007,2002-01-31,2099-12-31,NA
436544,Open fracture of distal end of ulna,Condition,SNOMED,Disorder,S,649002,2002-01-31,2099-12-31,NA
437122,Open fracture of lower end of forearm,Condition,SNOMED,Disorder,S,78980006,2002-01-31,2099-12-31,NA
437393,Open fracture of upper end of radius AND ulna,Condition,SNOMED,Disorder,S,65775005,2002-01-31,2099-12-31,NA
438576,Open fracture of ulna,Condition,SNOMED,Disorder,S,37449000,2002-01-31,2099-12-31,NA
439946,Open fracture of radius AND ulna,Condition,SNOMED,Disorder,S,81966000,2002-01-31,2099-12-31,NA
440546,Open fracture of distal end of radius,Condition,SNOMED,Disorder,S,25529004,2002-01-31,2099-12-31,NA
440851,Open fracture of forearm,Condition,SNOMED,Disorder,S,91296001,2002-01-31,2099-12-31,NA
441423,Open fracture of proximal end of radius,Condition,SNOMED,Disorder,S,23813004,2002-01-31,2099-12-31,NA
441697,Open fracture of radius,Condition,SNOMED,Disorder,S,42945005,2002-01-31,2099-12-31,NA
605256,Traumatic amputation through left forearm,Condition,SNOMED,Disorder,S,1010686006,2021-01-31,2099-12-31,NA
605257,Traumatic amputation through right forearm,Condition,SNOMED,Disorder,S,1010687002,2021-01-31,2099-12-31,NA
