concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
72468,Open dislocation of jaw,Condition,SNOMED,Disorder,S,208748005,2002-01-31,2099-12-31,NA
372479,Laceration of eye,Condition,SNOMED,Disorder,S,231795004,2002-01-31,2099-12-31,NA
373057,Subarachnoid hemorrhage following injury with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,48518008,2002-01-31,2099-12-31,NA
374202,Penetrating wound of eye,Condition,SNOMED,Disorder,S,315296002,2002-01-31,2099-12-31,NA
375393,Laceration of skin of eyelid AND periocular area,Condition,SNOMED,Disorder,S,14997005,2002-01-31,2099-12-31,NA
375404,Ocular laceration with prolapse AND/OR exposure of intraocular tissue,Condition,SNOMED,Disorder,S,37911007,2002-01-31,2099-12-31,NA
376552,Cerebral laceration and contusion,Condition,SNOMED,Disorder,S,269144002,2002-01-31,2099-12-31,NA
377114,Open fracture of multiple sites of mandible,Condition,SNOMED,Disorder,S,207776000,2002-01-31,2099-12-31,NA
378264,Open fracture of base of skull with cerebral laceration AND contusion,Condition,SNOMED,Disorder,S,30371007,2002-01-31,2099-12-31,NA
378265,Open fracture of mandible,Condition,SNOMED,Disorder,S,23611004,2002-01-31,2099-12-31,NA
379157,Open fracture of orbital floor (blow-out),Condition,SNOMED,Disorder,S,3421000,2002-01-31,2099-12-31,NA
379185,Open wound of eyeball,Condition,SNOMED,Disorder,S,85100000,2002-01-31,2099-12-31,NA
432476,Cortex laceration with open intracranial wound,Condition,SNOMED,Disorder,S,59748008,2002-01-31,2099-12-31,NA
432751,Cortex contusion with open intracranial wound,Condition,SNOMED,Disorder,S,87888006,2002-01-31,2099-12-31,NA
432756,Penetrating wound of orbit with foreign body,Condition,SNOMED,Disorder,S,76371008,2002-01-31,2099-12-31,NA
433037,Open fracture of vault of skull with intracranial hemorrhage,Condition,SNOMED,Disorder,S,111597003,2002-01-31,2099-12-31,NA
433050,Subdural hemorrhage following injury with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,43262000,2002-01-31,2099-12-31,NA
433624,Intracranial hemorrhage following injury with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,13289004,2002-01-31,2099-12-31,NA
434176,Open fracture of nasal bones,Condition,SNOMED,Disorder,S,40613008,2002-01-31,2099-12-31,NA
434178,"Open fracture of mandible, coronoid process",Condition,SNOMED,Disorder,S,207769005,2002-01-31,2099-12-31,NA
434506,Cerebellar contusion with open intracranial wound,Condition,SNOMED,Disorder,S,82344002,2002-01-31,2099-12-31,NA
434508,Extradural hemorrhage following injury with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,28155008,2002-01-31,2099-12-31,NA
434774,Cortex contusion with open intracranial wound AND loss of consciousness,Condition,SNOMED,Disorder,S,81412002,2002-01-31,2099-12-31,NA
434785,Intracranial hemorrhage following injury with open intracranial wound,Condition,SNOMED,Disorder,S,77768006,2002-01-31,2099-12-31,NA
435378,Open fracture of base of skull with intracranial hemorrhage,Condition,SNOMED,Disorder,S,111605007,2002-01-31,2099-12-31,NA
435384,"Cortex laceration with open intracranial wound, with no loss of consciousness",Condition,SNOMED,Disorder,S,209864000,2002-01-31,2099-12-31,NA
435660,Open fracture of symphysis of body of mandible,Condition,SNOMED,Disorder,S,61202000,2002-01-31,2099-12-31,NA
435681,Brain injury with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,5202009,2002-01-31,2099-12-31,NA
435931,Open skull fracture with intracranial hemorrhage,Condition,SNOMED,Disorder,S,111615001,2002-01-31,2099-12-31,NA
435953,Cerebellar laceration with open intracranial wound,Condition,SNOMED,Disorder,S,30858001,2002-01-31,2099-12-31,NA
435960,Extradural hemorrhage following injury with open intracranial wound,Condition,SNOMED,Disorder,S,65189006,2002-01-31,2099-12-31,NA
436261,Penetrating wound of orbit without foreign body,Condition,SNOMED,Disorder,S,37795008,2002-01-31,2099-12-31,NA
436527,Open fracture of ramus of mandible,Condition,SNOMED,Disorder,S,20158009,2002-01-31,2099-12-31,NA
436818,Open fracture of base of skull with intracranial injury,Condition,SNOMED,Disorder,S,111607004,2002-01-31,2099-12-31,NA
437386,Open skull fracture with intracranial injury,Condition,SNOMED,Disorder,S,111617009,2002-01-31,2099-12-31,NA
437397,"Open fracture of mandible, condylar process",Condition,SNOMED,Disorder,S,207767007,2002-01-31,2099-12-31,NA
437398,"Open fracture of mandible, subcondylar",Condition,SNOMED,Disorder,S,207768002,2002-01-31,2099-12-31,NA
