concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
22281,Sickle cell-hemoglobin SS disease,Condition,SNOMED,Disorder,S,127040003,2002-01-31,2099-12-31,NA
22288,Hereditary elliptocytosis,Condition,SNOMED,Disorder,S,191169008,2002-01-31,2099-12-31,NA
23988,Hemolytic anemia due to glutathione metabolism disorder,Condition,SNOMED,Disorder,S,191170009,2002-01-31,2099-12-31,NA
24909,Hereditary spherocytosis,Condition,SNOMED,Disorder,S,55995005,2002-01-31,2099-12-31,NA
26942,Hemoglobin SS disease with crisis,Condition,SNOMED,Disorder,S,417425009,2005-07-31,2099-12-31,NA
28396,Hereditary hemolytic anemia,Condition,SNOMED,Disorder,S,38911009,2002-01-31,2099-12-31,NA
30683,Hemoglobin SS disease without crisis,Condition,SNOMED,Disorder,S,416180004,2005-07-31,2099-12-31,NA
30978,Thalassemia,Condition,SNOMED,Disorder,S,40108008,2002-01-31,2099-12-31,NA
137829,Aplastic anemia,Condition,SNOMED,Disorder,S,306058006,2002-01-31,2099-12-31,NA
138723,Acquired red cell aplasia,Condition,SNOMED,Disorder,S,234376007,2002-01-31,2099-12-31,NA
140065,Pure red cell aplasia,Condition,SNOMED,Disorder,S,50715003,2002-01-31,2099-12-31,NA
140681,Constitutional aplastic anemia,Condition,SNOMED,Disorder,S,28975000,2002-01-31,2099-12-31,NA
197253,Hemolytic uremic syndrome,Condition,SNOMED,Disorder,S,111407006,2002-01-31,2099-12-31,NA
315523,Sickle cell-thalassemia disease,Condition,SNOMED,Disorder,S,36472007,2002-01-31,2099-12-31,NA
318397,Chronic idiopathic thrombocytopenic purpura,Condition,SNOMED,Disorder,S,13172003,2002-01-31,2099-12-31,NA
321263,Sickle cell-thalassemia disease without crisis,Condition,SNOMED,Disorder,S,417048006,2005-07-31,2099-12-31,NA
432282,Sideroblastic anemia,Condition,SNOMED,Disorder,S,41841004,2002-01-31,2099-12-31,NA
432295,Pernicious anemia,Condition,SNOMED,Disorder,S,84027009,2002-01-31,2099-12-31,NA
432452,Anemia of prematurity,Condition,SNOMED,Disorder,S,47100003,2002-01-31,2099-12-31,NA
432588,Megaloblastic anemia due to vitamin B-12 deficiency,Condition,SNOMED,Disorder,S,49472006,2002-01-31,2099-12-31,NA
432875,Anemia due to chronic blood loss,Condition,SNOMED,Disorder,S,413533008,2005-01-31,2099-12-31,NA
432881,Pancytopenia,Condition,SNOMED,Disorder,S,127034005,2002-01-31,2099-12-31,NA
433168,Iron deficiency anemia secondary to inadequate dietary iron intake,Condition,SNOMED,Disorder,S,371315009,2002-07-31,2099-12-31,NA
433603,Hemolytic disease of fetus OR newborn due to RhD isoimmunization,Condition,SNOMED,Disorder,S,86986002,2002-01-31,2099-12-31,NA
434156,Congenital anemia,Condition,SNOMED,Disorder,S,63565007,2002-01-31,2099-12-31,NA
434616,Hemoglobinuria due to hemolysis from external causes,Condition,SNOMED,Disorder,S,191222008,2002-01-31,2099-12-31,NA
434622,Deficiency anemias,Condition,SNOMED,Disorder,S,267513007,2002-01-31,2099-12-31,NA
434701,"Anemia in mother complicating pregnancy, childbirth AND/OR puerperium",Condition,SNOMED,Disorder,S,45828008,2002-01-31,2099-12-31,NA
434894,Acute posthemorrhagic anemia,Condition,SNOMED,Disorder,S,267530009,2002-01-31,2099-12-31,NA
435503,Hemolytic anemia,Condition,SNOMED,Disorder,S,61261009,2002-01-31,2099-12-31,NA
435789,Megaloblastic anemia,Condition,SNOMED,Disorder,S,53165003,2002-01-31,2099-12-31,NA
436659,Iron deficiency anemia,Condition,SNOMED,Disorder,S,87522002,2002-01-31,2099-12-31,NA
436820,Late anemia due to isoimmunization,Condition,SNOMED,Disorder,S,68361004,2002-01-31,2099-12-31,NA
436956,Evans syndrome,Condition,SNOMED,Disorder,S,75331009,2002-01-31,2099-12-31,NA
437090,Hemolytic disease of fetus OR newborn due to ABO immunization,Condition,SNOMED,Disorder,S,32858009,2002-01-31,2099-12-31,NA
437247,Anemia of chronic disease,Condition,SNOMED,Disorder,S,234347009,2002-01-31,2099-12-31,NA
437834,Non-autoimmune hemolytic anemia,Condition,SNOMED,Disorder,S,191216004,2002-01-31,2099-12-31,NA
438722,Non megaloblastic anemia associated with nutritional deficiency,Condition,SNOMED,Disorder,S,52565000,2002-01-31,2099-12-31,NA
439777,Anemia,Condition,SNOMED,Disorder,S,271737000,2002-01-31,2099-12-31,NA
440218,Hemolytic disease of fetus OR newborn due to isoimmunization,Condition,SNOMED,Disorder,S,387705004,2003-01-31,2099-12-31,NA
440977,Megaloblastic anemia due to folate deficiency,Condition,SNOMED,Disorder,S,85649008,2002-01-31,2099-12-31,NA
440979,Acquired hemolytic anemia,Condition,SNOMED,Disorder,S,4854004,2002-01-31,2099-12-31,NA
