concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
72468,Open dislocation of jaw,Condition,SNOMED,Disorder,S,208748005,2002-01-31,2099-12-31,NA
75103,Sprain of jaw,Condition,SNOMED,Disorder,S,23415000,2002-01-31,2099-12-31,NA
79173,Traumatic closed dislocation of temporomandibular joint,Condition,SNOMED,Disorder,S,8135006,2002-01-31,2099-12-31,NA
132780,Superficial injury of face with infection,Condition,SNOMED,Disorder,S,44422006,2002-01-31,2099-12-31,NA
133077,Full thickness burn of chin,Condition,SNOMED,Disorder,S,73545001,2002-01-31,2099-12-31,NA
133228,Dental caries,Condition,SNOMED,Disorder,S,80967001,2002-01-31,2099-12-31,NA
133924,Full thickness burn of scalp,Condition,SNOMED,Disorder,S,56716005,2002-01-31,2099-12-31,NA
134067,"Primary dental caries, root surface origin",Condition,SNOMED,Disorder,S,109576008,2002-01-31,2099-12-31,NA
134210,Abrasion and/or friction burn of face with infection,Condition,SNOMED,Disorder,S,111703006,2002-01-31,2099-12-31,NA
134232,Epidermal burn of scalp,Condition,SNOMED,Disorder,S,7765006,2002-01-31,2099-12-31,NA
134521,Partial thickness burn of scalp,Condition,SNOMED,Disorder,S,22045003,2002-01-31,2099-12-31,NA
134825,Frostbite of face,Condition,SNOMED,Disorder,S,86018005,2002-01-31,2099-12-31,NA
135695,Partial thickness burn of chin,Condition,SNOMED,Disorder,S,88756008,2002-01-31,2099-12-31,NA
136566,Epidermal burn of lip,Condition,SNOMED,Disorder,S,78202006,2002-01-31,2099-12-31,NA
137436,Epidermal burn of nose,Condition,SNOMED,Disorder,S,58340008,2002-01-31,2099-12-31,NA
138296,Epidermal burn of chin,Condition,SNOMED,Disorder,S,10137002,2002-01-31,2099-12-31,NA
138312,Burn of scalp,Condition,SNOMED,Disorder,S,38978009,2002-01-31,2099-12-31,NA
138622,Burn of lip,Condition,SNOMED,Disorder,S,73518002,2002-01-31,2099-12-31,NA
138906,Superficial injury of face without infection,Condition,SNOMED,Disorder,S,28417005,2002-01-31,2099-12-31,NA
138918,Partial thickness burn of lip,Condition,SNOMED,Disorder,S,284205006,2002-01-31,2099-12-31,NA
139046,Odontoclasia,Condition,SNOMED,Disorder,S,196305005,2002-01-31,2099-12-31,NA
140435,Arrested dental caries,Condition,SNOMED,Disorder,S,80753001,2002-01-31,2099-12-31,NA
140581,Burn of chin,Condition,SNOMED,Disorder,S,81116005,2002-01-31,2099-12-31,NA
140885,Partial thickness burn of nose,Condition,SNOMED,Disorder,S,11406003,2002-01-31,2099-12-31,NA
141055,Cancrum oris,Condition,SNOMED,Disorder,S,18116006,2002-01-31,2099-12-31,NA
141173,Abrasion and/or friction burn of face without infection,Condition,SNOMED,Disorder,S,66176005,2002-01-31,2099-12-31,NA
141411,Scalp injury,Condition,SNOMED,Disorder,S,212400009,2002-01-31,2099-12-31,NA
141753,Epidermal burn of ear,Condition,SNOMED,Disorder,S,9269007,2002-01-31,2099-12-31,NA
142004,Partial thickness burn of ear,Condition,SNOMED,Disorder,S,42066004,2002-01-31,2099-12-31,NA
196284,Burn of mouth and pharynx,Condition,SNOMED,Disorder,S,212032004,2002-01-31,2099-12-31,NA
253607,Multiple closed fractures of skull AND/OR face without intracranial injury,Condition,SNOMED,Disorder,S,82601009,2002-01-31,2099-12-31,NA
253910,Third degree burn of nose,Condition,SNOMED,Disorder,S,89614009,2002-01-31,2099-12-31,NA
256301,Burn of nose,Condition,SNOMED,Disorder,S,22233004,2002-01-31,2099-12-31,NA
257429,Deep third degree burn of nose,Condition,SNOMED,Disorder,S,31717008,2002-01-31,2099-12-31,NA
259988,Sinus barotrauma,Condition,SNOMED,Disorder,S,88548007,2002-01-31,2099-12-31,NA
260730,Chronic atticoantral suppurative otitis media,Condition,SNOMED,Disorder,S,41954005,2002-01-31,2099-12-31,NA
261738,Multiple burns of head and neck,Condition,SNOMED,Disorder,S,284210005,2002-01-31,2099-12-31,NA
372435,Periventricular leukomalacia,Condition,SNOMED,Disorder,S,230769007,2002-01-31,2099-12-31,NA
372479,Laceration of eye,Condition,SNOMED,Disorder,S,231795004,2002-01-31,2099-12-31,NA
373035,Closed fracture of malar AND/OR maxillary bones,Condition,SNOMED,Disorder,S,34649000,2002-01-31,2099-12-31,NA
373057,Subarachnoid hemorrhage following injury with open intracranial wound AND concussion,Condition,SNOMED,Disorder,S,48518008,2002-01-31,2099-12-31,NA
373638,Superficial injury of cornea,Condition,SNOMED,Disorder,S,62635000,2002-01-31,2099-12-31,NA
373648,Superficial injury of eyelid AND/OR periocular area,Condition,SNOMED,Disorder,S,63943002,2002-01-31,2099-12-31,NA
374202,Penetrating wound of eye,Condition,SNOMED,Disorder,S,315296002,2002-01-31,2099-12-31,NA
374226,Burn of eye region,Condition,SNOMED,Disorder,S,274205003,2002-01-31,2099-12-31,NA
374524,Full thickness burn of ear,Condition,SNOMED,Disorder,S,36520004,2002-01-31,2099-12-31,NA
374642,Total traumatic cataract,Condition,SNOMED,Disorder,S,8656007,2002-01-31,2099-12-31,NA
374748,Perinatal anoxic-ischemic brain injury,Condition,SNOMED,Disorder,S,126945001,2002-01-31,2099-12-31,NA
374753,Closed fracture of vault of skull with cerebral laceration AND/OR contusion,Condition,SNOMED,Disorder,S,22383006,2002-01-31,2099-12-31,NA
374835,Anoxic brain damage during AND/OR resulting from a procedure,Condition,SNOMED,Disorder,S,4069002,2002-01-31,2099-12-31,NA
375258,Photokeratitis,Condition,SNOMED,Disorder,S,1714005,2002-01-31,2099-12-31,NA
375292,Perforation of tympanic membrane,Condition,SNOMED,Disorder,S,60442001,2002-01-31,2099-12-31,NA
375393,Laceration of skin of eyelid AND periocular area,Condition,SNOMED,Disorder,S,14997005,2002-01-31,2099-12-31,NA
375404,Ocular laceration with prolapse AND/OR exposure of intraocular tissue,Condition,SNOMED,Disorder,S,37911007,2002-01-31,2099-12-31,NA
375415,Injury of head,Condition,SNOMED,Disorder,S,82271004,2002-01-31,2099-12-31,NA
375671,Concussion with loss of consciousness,Condition,SNOMED,Disorder,S,62564004,2002-01-31,2099-12-31,NA
376119,Perforated corneal ulcer,Condition,SNOMED,Disorder,S,46606001,2002-01-31,2099-12-31,NA
376189,Benign mucous membrane pemphigoid with ocular involvement,Condition,SNOMED,Disorder,S,76092003,2002-01-31,2099-12-31,NA
376267,Superficial injury of conjunctiva,Condition,SNOMED,Disorder,S,7581004,2002-01-31,2099-12-31,NA
376401,Traumatic cataract,Condition,SNOMED,Disorder,S,34361001,2002-01-31,2099-12-31,NA
376537,"Closed fracture of mandible, multiple sites",Condition,SNOMED,Disorder,S,207763006,2002-01-31,2099-12-31,NA
