concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
193402,Bacterial enteritis of intestine,Condition,SNOMED,Disorder,S,75375008,2002-01-31,2099-12-31,NA
195461,Staphylococcal enterocolitis,Condition,SNOMED,Disorder,S,32527003,2002-01-31,2099-12-31,NA
201780,Shigellosis,Condition,SNOMED,Disorder,S,36188001,2002-01-31,2099-12-31,NA
600578,Proctocolitis due to secondary syphilis,Condition,SNOMED,Disorder,S,1052300001,2021-01-31,2099-12-31,NA
1076103,Mycoplasma genitalium proctitis,Condition,SNOMED,Disorder,S,1335829006,2024-06-01,2099-12-31,NA
1076289,Proctitis caused by Chlamydia trachomatis,Condition,SNOMED,Disorder,S,1339029002,2024-06-01,2099-12-31,NA
1076290,Neisseria gonorrhoeae proctitis,Condition,SNOMED,Disorder,S,1339030007,2024-07-01,2099-12-31,NA
4101109,Clostridial gastroenteritis,Condition,SNOMED,Disorder,S,27858009,2002-01-31,2099-12-31,NA
4148098,Ileocecal actinomycosis,Condition,SNOMED,Disorder,S,266090008,2002-01-31,2099-12-31,NA
4166768,Bacillary dysentery,Condition,SNOMED,Disorder,S,274081004,2002-01-31,2099-12-31,NA
4193870,Bacterial dysentery,Condition,SNOMED,Disorder,S,312109000,2002-01-31,2099-12-31,NA
4200644,Tuberculosis of colon,Condition,SNOMED,Disorder,S,301836007,2002-01-31,2099-12-31,NA
4216631,Enteritis necroticans,Condition,SNOMED,Disorder,S,39747007,2002-01-31,2099-12-31,NA
4244525,Tuberculosis of large intestine,Condition,SNOMED,Disorder,S,38420005,2002-01-31,2099-12-31,NA
4244573,Tuberculosis of intestine,Condition,SNOMED,Disorder,S,60136008,2002-01-31,2099-12-31,NA
4251787,Tuberculosis of rectum,Condition,SNOMED,Disorder,S,7444001,2002-01-31,2099-12-31,NA
4263219,Helicobacter-associated proctitis,Condition,SNOMED,Disorder,S,46672003,2002-01-31,2099-12-31,NA
4301601,Helicobacter-associated colitis,Condition,SNOMED,Disorder,S,78128001,2002-01-31,2099-12-31,NA
4307981,Clostridium difficile colitis,Condition,SNOMED,Disorder,S,423590009,2007-01-31,2099-12-31,NA
4320492,Acute hemorrhagic colitis caused by Escherichia coli,Condition,SNOMED,Disorder,S,69810009,2002-01-31,2099-12-31,NA
4341241,Tuberculous duodenitis,Condition,SNOMED,Disorder,S,235694001,2002-01-31,2099-12-31,NA
36715899,Colitis caused by Salmonella,Condition,SNOMED,Disorder,S,721682003,2017-01-31,2099-12-31,NA
36717493,Colitis caused by bacterium,Condition,SNOMED,Disorder,S,721681005,2017-01-31,2099-12-31,NA
37110311,Duodenitis caused by Helicobacter pylori,Condition,SNOMED,Disorder,S,724525007,2017-07-31,2099-12-31,NA
37116439,Duodenitis caused by Tropheryma whipplei,Condition,SNOMED,Disorder,S,733148009,2017-07-31,2099-12-31,NA
37152653,Non-tuberculous mycobacterial enteritis of intestine,Condition,SNOMED,Disorder,S,1193740008,2022-01-31,2099-12-31,NA
37155414,Typhoid colitis,Condition,SNOMED,Disorder,S,1179407003,2021-11-30,2099-12-31,NA
37159348,Mycobacterial colitis,Condition,SNOMED,Disorder,S,1163487005,2021-09-30,2099-12-31,NA
37160675,Bacterial duodenitis,Condition,SNOMED,Disorder,S,1163080001,2021-09-30,2099-12-31,NA
37160702,Methicillin-resistant Staphylococcus aureus colitis,Condition,SNOMED,Disorder,S,1163107004,2021-09-30,2099-12-31,NA
37160703,Pseudomonas aeruginosa colitis,Condition,SNOMED,Disorder,S,1163108009,2021-09-30,2099-12-31,NA
37160705,Klebsiella oxytoca colitis,Condition,SNOMED,Disorder,S,1163110006,2021-09-30,2099-12-31,NA
37160706,Escherichia coli colitis,Condition,SNOMED,Disorder,S,1163111005,2021-09-30,2099-12-31,NA
37160707,Enteropathogenic Escherichia coli colitis,Condition,SNOMED,Disorder,S,1163112003,2021-09-30,2099-12-31,NA
37160708,Colitis caused by enterotoxigenic Escherichia coli,Condition,SNOMED,Disorder,S,1163113008,2021-09-30,2099-12-31,NA
37160709,Enterohemorrhagic Escherichia coli colitis,Condition,SNOMED,Disorder,S,1163114002,2021-09-30,2099-12-31,NA
37160710,Enteroinvasive Escherichia coli colitis,Condition,SNOMED,Disorder,S,1163115001,2021-09-30,2099-12-31,NA
37160712,Chlamydial colitis,Condition,SNOMED,Disorder,S,1163117009,2021-09-30,2099-12-31,NA
37160715,Shigella sonnei colitis,Condition,SNOMED,Disorder,S,1163120001,2021-09-30,2099-12-31,NA
37160716,Yersinia enterocolitica colitis,Condition,SNOMED,Disorder,S,1163121002,2021-09-30,2099-12-31,NA
37160717,Shigella flexneri colitis,Condition,SNOMED,Disorder,S,1163122009,2021-09-30,2099-12-31,NA
37160718,Shigella boydii colitis,Condition,SNOMED,Disorder,S,1163123004,2021-09-30,2099-12-31,NA
37160719,Shigella dysenteriae colitis,Condition,SNOMED,Disorder,S,1163124005,2021-09-30,2099-12-31,NA
37160720,Salmonella paratyphi C colitis,Condition,SNOMED,Disorder,S,1163125006,2021-09-30,2099-12-31,NA
37160721,Shigella colitis,Condition,SNOMED,Disorder,S,1163126007,2021-09-30,2099-12-31,NA
37160722,Salmonella paratyphi A colitis,Condition,SNOMED,Disorder,S,1163127003,2021-09-30,2099-12-31,NA
37160723,Salmonella paratyphi B colitis,Condition,SNOMED,Disorder,S,1163128008,2021-09-30,2099-12-31,NA
37160734,Colitis caused by Brachyspira pilosicoli,Condition,SNOMED,Disorder,S,1163142000,2021-09-30,2099-12-31,NA
